country_id,year_id,fxratestomines
country_20,Y_25,0.999999489
country_20,Y_26,0.999999489
country_20,Y_27,0.999999489
country_56,Y_10,1
country_56,Y_11,1
country_56,Y_12,0.766666667
country_56,Y_13,0.766666667
country_56,Y_14,0.766666667
country_56,Y_15,0.766666667
country_56,Y_16,0.766666667
country_56,Y_17,0.766666667
country_56,Y_18,0.766666667
country_56,Y_19,0.766666667
country_56,Y_20,0.766666667
country_56,Y_21,0.766666667
country_56,Y_22,0.766666667
country_56,Y_23,0.766666667
country_56,Y_24,0.766666667
country_56,Y_25,0.766666667
country_56,Y_26,0.766666667
country_56,Y_27,0.766666667
country_19,Y_10,1
country_19,Y_11,1
country_19,Y_12,1
country_19,Y_13,1
country_19,Y_14,1
country_19,Y_15,1
country_19,Y_16,1
country_19,Y_17,1
country_19,Y_18,1
country_19,Y_19,1
country_19,Y_20,1
country_19,Y_21,1
country_19,Y_22,1
country_19,Y_23,1
country_19,Y_24,1
country_19,Y_25,1
country_19,Y_26,1
country_19,Y_27,1
country_5,Y_10,1
country_5,Y_11,1
country_5,Y_12,1
country_5,Y_13,1
country_5,Y_14,1
country_5,Y_15,1
country_5,Y_16,1
country_5,Y_17,1
country_5,Y_18,1
country_5,Y_19,1
country_5,Y_20,1
country_5,Y_21,1
country_5,Y_22,1
country_5,Y_23,1
country_5,Y_24,1
country_5,Y_25,1
country_5,Y_26,1
country_5,Y_27,1
country_57,Y_10,1
country_57,Y_11,1
country_57,Y_12,0.95917676
country_57,Y_13,0.939994783
country_57,Y_14,0.923545098
country_57,Y_15,0.909692734
country_57,Y_16,0.909692734
country_57,Y_17,0.909692734
country_57,Y_18,0.909692734
country_57,Y_19,0.909692734
country_57,Y_20,0.909692734
country_57,Y_21,0.909692734
country_57,Y_22,0.909692734
country_57,Y_23,0.909692734
country_57,Y_24,0.909692734
country_57,Y_25,0.909692734
country_57,Y_26,0.909692734
country_57,Y_27,0.909692734
country_58,Y_10,1
country_58,Y_11,1
country_58,Y_12,0.965895275
country_58,Y_13,0.965895275
country_58,Y_14,0.965895275
country_58,Y_15,0.965895275
country_58,Y_16,0.965895275
country_58,Y_17,0.965895275
country_58,Y_18,0.965895275
country_58,Y_19,0.965895275
country_58,Y_20,0.965895275
country_58,Y_21,0.965895275
country_58,Y_22,0.965895275
country_58,Y_23,0.965895275
country_58,Y_24,0.965895275
country_58,Y_25,0.965895275
country_58,Y_26,0.965895275
country_58,Y_27,0.965895275
