Date,Vesssel class,Applicable Time Charter Index,Vessel Time Charter Rates,model_id
2019-12-13 00:00:00.000,Panamax,Panamax_General,10382.0,model_8
2019-12-13 00:00:00.000,Supramax,Supramax_General,8121.0,model_8
2019-12-13 00:00:00.000,Handysize,Handysize_General,8121.0,model_8
2019-12-13 00:00:00.000,Panamax,P3A_03,10382.0,model_8
2019-12-20 00:00:00.000,Capesize,Capesize_General,11729.0,model_8
2019-12-20 00:00:00.000,Panamax,Panamax_General,8149.0,model_8
2019-12-20 00:00:00.000,Supramax,Supramax_General,7414.0,model_8
2019-12-20 00:00:00.000,Handysize,Handysize_General,7414.0,model_8
2019-12-20 00:00:00.000,Panamax,P3A_03,8149.0,model_8
2019-12-27 00:00:00.000,Capesize,Capesize_General,11525.0,model_8
2019-12-27 00:00:00.000,Panamax,Panamax_General,5931.0,model_8
2019-12-27 00:00:00.000,Supramax,Supramax_General,7088.0,model_8
2019-12-27 00:00:00.000,Handysize,Handysize_General,7088.0,model_8
2019-12-27 00:00:00.000,Panamax,P3A_03,5931.0,model_8
2020-01-03 00:00:00.000,Capesize,Capesize_General,11525.0,model_8
2020-01-03 00:00:00.000,Panamax,Panamax_General,5931.0,model_8
2020-01-03 00:00:00.000,Supramax,Supramax_General,7088.0,model_8
2020-01-03 00:00:00.000,Handysize,Handysize_General,7088.0,model_8
2020-01-03 00:00:00.000,Panamax,P3A_03,5931.0,model_8
2020-01-10 00:00:00.000,Capesize,Capesize_General,5758.0,model_8
2020-01-10 00:00:00.000,Panamax,Panamax_General,2607.0,model_8
2020-01-10 00:00:00.000,Supramax,Supramax_General,4421.0,model_8
2020-01-10 00:00:00.000,Handysize,Handysize_General,4421.0,model_8
2020-01-10 00:00:00.000,Panamax,P3A_03,2607.0,model_8
2020-01-17 00:00:00.000,Capesize,Capesize_General,3871.0,model_8
2020-01-17 00:00:00.000,Panamax,Panamax_General,5538.0,model_8
2020-01-17 00:00:00.000,Supramax,Supramax_General,4414.0,model_8
2020-01-17 00:00:00.000,Handysize,Handysize_General,4414.0,model_8
2020-01-17 00:00:00.000,Panamax,P3A_03,5538.0,model_8
2020-01-24 00:00:00.000,Capesize,Capesize_General,4772.0,model_8
2020-01-24 00:00:00.000,Panamax,Panamax_General,4880.0,model_8
2020-01-24 00:00:00.000,Supramax,Supramax_General,5976.0,model_8
2020-01-24 00:00:00.000,Handysize,Handysize_General,5976.0,model_8
2020-01-24 00:00:00.000,Panamax,P3A_03,4880.0,model_8
2020-01-31 00:00:00.000,Capesize,Capesize_General,3973.0,model_8
2020-01-31 00:00:00.000,Panamax,Panamax_General,3827.0,model_8
2020-01-31 00:00:00.000,Supramax,Supramax_General,5764.0,model_8
2020-01-31 00:00:00.000,Handysize,Handysize_General,5764.0,model_8
2020-01-31 00:00:00.000,Panamax,P3A_03,3827.0,model_8
2020-02-07 00:00:00.000,Capesize,Capesize_General,2660.0,model_8
2020-02-07 00:00:00.000,Panamax,Panamax_General,3535.0,model_8
2020-02-07 00:00:00.000,Supramax,Supramax_General,5400.0,model_8
2020-02-07 00:00:00.000,Handysize,Handysize_General,5400.0,model_8
2020-02-07 00:00:00.000,Panamax,P3A_03,3535.0,model_8
2020-02-14 00:00:00.000,Capesize,Capesize_General,2445.0,model_8
2020-02-14 00:00:00.000,Panamax,Panamax_General,4388.0,model_8
2020-02-14 00:00:00.000,Supramax,Supramax_General,5171.0,model_8
2020-02-14 00:00:00.000,Handysize,Handysize_General,5171.0,model_8
2020-02-14 00:00:00.000,Panamax,P3A_03,4388.0,model_8
2020-02-21 00:00:00.000,Capesize,Capesize_General,3980.0,model_8
2020-02-21 00:00:00.000,Panamax,Panamax_General,5301.0,model_8
2020-02-21 00:00:00.000,Supramax,Supramax_General,5389.0,model_8
2020-02-21 00:00:00.000,Handysize,Handysize_General,5389.0,model_8
2020-02-21 00:00:00.000,Panamax,P3A_03,5301.0,model_8
2020-02-28 00:00:00.000,Capesize,Capesize_General,4134.0,model_8
2020-02-28 00:00:00.000,Panamax,Panamax_General,6467.0,model_8
2020-02-28 00:00:00.000,Supramax,Supramax_General,4673.0,model_8
2020-02-28 00:00:00.000,Handysize,Handysize_General,4673.0,model_8
2020-02-28 00:00:00.000,Panamax,P3A_03,6467.0,model_8
