Mine,Date,Total Alumina,LT Avail. Alumina,Total Silica,LT R.Silica,Quartz / HT Silica,Mono-hydrate / HT Alumina,Moisture,Processing,Processing Penalties to be applied,DWT,Specific Index,General Index,Exporting Port,Handysize,Supramax loading rates,Panamax loading rates,NeoPanamax loading rate,Suezmax loading rate,Capesize loading rates,VLOC loading rates,Spare,model_id
Metro LT,2015-01-01 00:00:00.000,0.513,0.405,0.095,0.051,0.044,0.057,0.1,LT,0.67,,CBIX LT,CBIX LT,Metro LT wharf,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,,model_9
Metro Blend,2015-01-01 00:00:00.000,0.513,0.405,0.095,0.051,0.044,0.057,0.1,LT,0.67,,CBIX LT,CBIX LT,Metro Blend wharf,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,,model_9
Metallica,2015-01-01 00:00:00.000,0.513,0.405,0.095,0.051,0.044,0.057,0.1,LT,0.67,,CBIX LT,CBIX LT,Metallica wharf,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,,model_9
QBL South Johnston,2015-01-01 00:00:00.000,0.513,0.405,0.095,0.051,0.044,0.057,0.1,HT-D,0.67,,CBIX LT,CBIX LT,QBL South Johnston wharf,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,,model_9
Aurukun,2015-01-01 00:00:00.000,0.513,0.405,0.095,0.051,0.044,0.057,0.1,HT-D,0.67,,Australia HT,CBIX HT,Aurukun wharf,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,,model_9
Amrun,2015-01-01 00:00:00.000,0.513,0.405,0.095,0.051,0.044,0.057,0.1,HT-D,0.67,,Australia HT,CBIX HT,Amrun wharf,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,80000.0,,model_9
ABx Tasmania,2015-01-01 00:00:00.000,0.513,0.405,0.095,0.051,0.044,0.057,0.1,HT-D,0.67,,CBIX LT,CBIX LT,ABx Tasmania wharf,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,,model_9
Jajce,2015-01-01 00:00:00.000,0.513,0.405,0.095,0.051,0.044,0.057,0.1,HT-D,0.67,,CBIX HT,CBIX HT,Jajce wharf,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,,model_9
Milici (Vlasenica),2015-01-01 00:00:00.000,0.513,0.405,0.095,0.051,0.044,0.057,0.1,HT-D,0.67,,CBIX HT,CBIX HT,Milici (Vlasenica) wharf,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,,model_9
MRN,2015-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.005,0.00500000000000005,0.12,LT,,,CBIX LT,CBIX LT,MRN_wharf,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,,model_9
