,,Bx origin Prov,Bx Origin Cty,Refiney No.,Refiney Name,Refiney Prov,Allocation,Self Supply,Factored up allocation
,180,Yunnan,Malipo,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,181,Yunnan,Songming,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,182,Yunnan,Wenshan,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,183,Yunnan,Xichou,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,184,Yunnan,Xishan,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
,185,Yunnan,Yanshan,1.1,Bosai Xianfeng domestic,Chongqing,0,0,0
1,186,0,0,0,0,0,0,0,0
2,26,Beijing,0,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,27,Chongqing,Fengdu,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,28,Chongqing,Nanchuan,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,29,Chongqing,Qinjiang,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,30,Chongqing,Wulong,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,31,Chongqing,0,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,32,Fujian,0,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,33,Guangdong,0,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,34,Guangxi,Binyang,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,35,Guangxi,Chongzuo,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,36,Guangxi,Debao,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,37,Guangxi,Donglan,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,38,Guangxi,Guigang,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,39,Guangxi,Heng,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,40,Guangxi,Jingxi,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,41,Guangxi,Laibin,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,42,Guangxi,Lingyun,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,43,Guangxi,Long'an,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,44,Guangxi,Longzhou,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,45,Guangxi,Mashan,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,46,Guangxi,Napo,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,47,Guangxi,Ningming,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,48,Guangxi,Pingguo,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,49,Guangxi,Pingxiang,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,50,Guangxi,Shanglin,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,51,Guangxi,Tiandong,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,52,Guangxi,Tianyang,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,53,Guangxi,Tian'e,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,54,Guangxi,Tianlin,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,55,Guangxi,Yizhou,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,56,Guangxi,Yongning,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,57,Guangxi,0,1.2,Bosai Xianfeng import,Chongqing,0,0,0
,58,Guizhou,Daozhen,1.2,Bosai Xianfeng import,Chongqing,0,0,0
