,initialisation,bar,x,line 1,line 2,line 3,line 4,line 5,line 6,line 7,line 8,line 9,line 10,labels for cc
66,bar 14 start,14.0,92.11,0.0,43.18924573,43.18924573,43.18924573,43.18924573,43.18924573,43.18924573,43.18924573,43.18924573,43.18924573,
67,bar 14,14.0,92.11,43.18924573,43.18924573,43.18924573,43.18924573,43.18924573,43.18924573,43.18924573,43.18924573,43.18924573,43.18924573,
68,bar 14 naming,14.0,95.11,43.18924573,43.18924573,43.18924573,43.18924573,43.18924573,43.18924573,43.18924573,43.18924573,43.18924573,43.18924573,AMC 9.0mln t $43.3
69,bar 14,14.0,98.11,43.18924573,43.18924573,43.18924573,43.18924573,43.18924573,43.18924573,43.18924573,43.18924573,43.18924573,43.18924573,
70,bar 14 end,14.0,98.11,0.0,43.18924573,43.18924573,43.18924573,43.18924573,43.18924573,43.18924573,43.18924573,43.18924573,43.18924573,
71,bar 15 start,15.0,98.11,0.0,43.26388006,43.26388006,43.26388006,43.26388006,43.26388006,43.26388006,43.26388006,43.26388006,43.26388006,
72,bar 15,15.0,98.11,43.26388006,43.26388006,43.26388006,43.26388006,43.26388006,43.26388006,43.26388006,43.26388006,43.26388006,43.26388006,
73,bar 15 naming,15.0,102.61,43.26388006,43.26388006,43.26388006,43.26388006,43.26388006,43.26388006,43.26388006,43.26388006,43.26388006,43.26388006,Dynamic 5.6mln t $44.6
74,bar 15,15.0,107.11,43.26388006,43.26388006,43.26388006,43.26388006,43.26388006,43.26388006,43.26388006,43.26388006,43.26388006,43.26388006,
75,bar 15 end,15.0,107.11,0.0,43.26388006,43.26388006,43.26388006,43.26388006,43.26388006,43.26388006,43.26388006,43.26388006,43.26388006,
76,bar 16 start,16.0,107.11,0.0,44.61228172,44.61228172,44.61228172,44.61228172,44.61228172,44.61228172,44.61228172,44.61228172,44.61228172,
77,bar 16,16.0,107.11,44.61228172,44.61228172,44.61228172,44.61228172,44.61228172,44.61228172,44.61228172,44.61228172,44.61228172,44.61228172,
78,bar 16 naming,16.0,109.90921949700001,44.61228172,44.61228172,44.61228172,44.61228172,44.61228172,44.61228172,44.61228172,44.61228172,44.61228172,44.61228172,SMB Malapouya-Boké § 7.0mln t $46.2
79,bar 16,16.0,112.708438994,44.61228172,44.61228172,44.61228172,44.61228172,44.61228172,44.61228172,44.61228172,44.61228172,44.61228172,44.61228172,
80,bar 16 end,16.0,112.708438994,0.0,44.61228172,44.61228172,44.61228172,44.61228172,44.61228172,44.61228172,44.61228172,44.61228172,44.61228172,
81,bar 17 start,17.0,112.708438994,0.0,0.0,46.19089083,46.19089083,46.19089083,46.19089083,46.19089083,46.19089083,46.19089083,46.19089083,
82,bar 17,17.0,112.708438994,0.0,46.19089083,46.19089083,46.19089083,46.19089083,46.19089083,46.19089083,46.19089083,46.19089083,46.19089083,
83,bar 17 naming,17.0,116.208438994,0.0,46.19089083,46.19089083,46.19089083,46.19089083,46.19089083,46.19089083,46.19089083,46.19089083,46.19089083,0
84,bar 17,17.0,119.708438994,0.0,46.19089083,46.19089083,46.19089083,46.19089083,46.19089083,46.19089083,46.19089083,46.19089083,46.19089083,
85,bar 17 end,17.0,119.708438994,0.0,0.0,46.19089083,46.19089083,46.19089083,46.19089083,46.19089083,46.19089083,46.19089083,46.19089083,
86,bar 18 start,18.0,119.708438994,0.0,0.0,46.73237702,46.73237702,46.73237702,46.73237702,46.73237702,46.73237702,46.73237702,46.73237702,
87,bar 18,18.0,119.708438994,0.0,46.73237702,46.73237702,46.73237702,46.73237702,46.73237702,46.73237702,46.73237702,46.73237702,46.73237702,
88,bar 18 naming,18.0,121.188484152,0.0,46.73237702,46.73237702,46.73237702,46.73237702,46.73237702,46.73237702,46.73237702,46.73237702,46.73237702,SMB Santou-Houda § 26.4mln t $47.5
89,bar 18,18.0,122.66852931000001,0.0,46.73237702,46.73237702,46.73237702,46.73237702,46.73237702,46.73237702,46.73237702,46.73237702,46.73237702,
90,bar 18 end,18.0,122.66852931000001,0.0,0.0,46.73237702,46.73237702,46.73237702,46.73237702,46.73237702,46.73237702,46.73237702,46.73237702,
91,bar 19 start,19.0,122.66852931000001,0.0,0.0,47.50551135,47.50551135,47.50551135,47.50551135,47.50551135,47.50551135,47.50551135,47.50551135,
92,bar 19,19.0,122.66852931000001,0.0,47.50551135,47.50551135,47.50551135,47.50551135,47.50551135,47.50551135,47.50551135,47.50551135,47.50551135,
93,bar 19 naming,19.0,135.86852931,0.0,47.50551135,47.50551135,47.50551135,47.50551135,47.50551135,47.50551135,47.50551135,47.50551135,47.50551135,Chalco Boffa § 10.8mln t $48.2
94,bar 19,19.0,149.06852931,0.0,47.50551135,47.50551135,47.50551135,47.50551135,47.50551135,47.50551135,47.50551135,47.50551135,47.50551135,
95,bar 19 end,19.0,149.06852931,0.0,0.0,47.50551135,47.50551135,47.50551135,47.50551135,47.50551135,47.50551135,47.50551135,47.50551135,
96,bar 20 start,20.0,149.06852931,0.0,0.0,48.16825339,48.16825339,48.16825339,48.16825339,48.16825339,48.16825339,48.16825339,48.16825339,
97,bar 20,20.0,149.06852931,0.0,48.16825339,48.16825339,48.16825339,48.16825339,48.16825339,48.16825339,48.16825339,48.16825339,48.16825339,
98,bar 20 naming,20.0,154.46852931,0.0,48.16825339,48.16825339,48.16825339,48.16825339,48.16825339,48.16825339,48.16825339,48.16825339,48.16825339,0
99,bar 20,20.0,159.86852931,0.0,48.16825339,48.16825339,48.16825339,48.16825339,48.16825339,48.16825339,48.16825339,48.16825339,48.16825339,
100,bar 20 end,20.0,159.86852931,0.0,0.0,48.16825339,48.16825339,48.16825339,48.16825339,48.16825339,48.16825339,48.16825339,48.16825339,
101,bar 21 start,21.0,159.86852931,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
102,bar 21,21.0,159.86852931,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
103,bar 21 naming,21.0,160.42885078350002,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,0.0
104,bar 21,21.0,160.989172257,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
105,bar 21 end,21.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
106,bar 22 start,22.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
107,bar 22,22.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
108,bar 22 naming,22.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,0.0
109,bar 22,22.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
110,bar 22 end,22.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
111,bar 23 start,23.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
112,bar 23,23.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
113,bar 23 naming,23.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,0.0
114,bar 23,23.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
115,bar 23 end,23.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
116,bar 24 start,24.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
117,bar 24,24.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
118,bar 24 naming,24.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,0
119,bar 24,24.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
120,bar 24 end,24.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
121,bar 25 start,25.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
122,bar 25,25.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
123,bar 25 naming,25.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,0
124,bar 25,25.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
125,bar 25 end,25.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
126,bar 26 start,26.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
127,bar 26,26.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
128,bar 26 naming,26.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,0
129,bar 26,26.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
130,bar 26 end,26.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
131,bar 27 start,27.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
132,bar 27,27.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
133,bar 27 naming,27.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,0
134,bar 27,27.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
135,bar 27 end,27.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
136,bar 28 start,28.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
137,bar 28,28.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
138,bar 28 naming,28.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,0
139,bar 28,28.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
140,bar 28 end,28.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
141,bar 29 start,29.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
142,bar 29,29.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
143,bar 29 naming,29.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,0
144,bar 29,29.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
145,bar 29 end,29.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
146,bar 30 start,30.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
147,bar 30,30.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
148,bar 30 naming,30.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,0
149,bar 30,30.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
150,bar 30 end,30.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
151,bar 31 start,31.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
152,bar 31,31.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
153,bar 31 naming,31.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,0
154,bar 31,31.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
155,bar 31 end,31.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
156,bar 32 start,32.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
157,bar 32,32.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,
158,bar 32 naming,32.0,160.989172257,0.0,0.0,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,52.31608248,0
