,initialisation,bar,x,area 1,area 2,area 3,area 4,area 5,area 6,area 7,area 8,area 9,area 10
164,bar 33 bn,33,1000.0,46.73237702,0.0,0,0,0,0,0,0,0,0
165,bar 33 end,33,1000.0,0,0,0,0,0,0,0,0,0,0
166,bar 34 start,34,1000.0,0,0,0,0,0,0,0,0,0,0
167,bar 34 an,34,1000.0,47.50551135,0.0,0,0,0,0,0,0,0,0
168,bar 34 naming,34,1000.0,47.50551135,0.0,0,0,0,0,0,0,0,0
169,bar 34 bn,34,1000.0,47.50551135,0.0,0,0,0,0,0,0,0,0
170,bar 34 end,34,1000.0,0,0,0,0,0,0,0,0,0,0
171,bar 35 start,35,1000.0,0,0,0,0,0,0,0,0,0,0
172,bar 35 an,35,1000.0,47.78133815,0.0,0,0,0,0,0,0,0,0
173,bar 35 naming,35,1000.0,47.78133815,0.0,0,0,0,0,0,0,0,0
174,bar 35 bn,35,1000.0,47.78133815,0.0,0,0,0,0,0,0,0,0
175,bar 35 end,35,1000.0,0,0,0,0,0,0,0,0,0,0
176,bar 36 start,36,1000.0,0,0,0,0,0,0,0,0,0,0
177,bar 36 an,36,1000.0,0.0,48.37500407,0,0,0,0,0,0,0,0
178,bar 36 naming,36,1000.0,0.0,48.37500407,0,0,0,0,0,0,0,0
179,bar 36 bn,36,1000.0,0.0,48.37500407,0,0,0,0,0,0,0,0
180,bar 36 end,36,1000.0,0,0,0,0,0,0,0,0,0,0
181,bar 37 start,37,1000.0,0,0,0,0,0,0,0,0,0,0
182,bar 37 an,37,1000.0,0.0,49.49918761,0,0,0,0,0,0,0,0
183,bar 37 naming,37,1000.0,0.0,49.49918761,0,0,0,0,0,0,0,0
184,bar 37 bn,37,1000.0,0.0,49.49918761,0,0,0,0,0,0,0,0
185,bar 37 end,37,1000.0,0,0,0,0,0,0,0,0,0,0
186,bar 38 start,38,1000.0,0,0,0,0,0,0,0,0,0,0
187,bar 38 an,38,1000.0,49.66662188,0.0,0,0,0,0,0,0,0,0
188,bar 38 naming,38,1000.0,49.66662188,0.0,0,0,0,0,0,0,0,0
189,bar 38 bn,38,1000.0,49.66662188,0.0,0,0,0,0,0,0,0,0
190,bar 38 end,38,1000.0,0,0,0,0,0,0,0,0,0,0
191,bar 39 start,39,1000.0,0,0,0,0,0,0,0,0,0,0
192,bar 39 an,39,1000.0,50.00286218,0.0,0,0,0,0,0,0,0,0
193,bar 39 naming,39,1000.0,50.00286218,0.0,0,0,0,0,0,0,0,0
194,bar 39 bn,39,1000.0,50.00286218,0.0,0,0,0,0,0,0,0,0
195,bar 39 end,39,1000.0,0,0,0,0,0,0,0,0,0,0
196,bar 40 start,40,1000.0,0,0,0,0,0,0,0,0,0,0
197,bar 40 an,40,1000.0,0.0,50.00286218,0,0,0,0,0,0,0,0
198,bar 40 naming,40,1000.0,0.0,50.00286218,0,0,0,0,0,0,0,0
199,bar 40 bn,40,1000.0,0.0,50.00286218,0,0,0,0,0,0,0,0
200,bar 40 end,40,1000.0,0,0,0,0,0,0,0,0,0,0
201,bar 41 start,41,1000.0,0,0,0,0,0,0,0,0,0,0
202,bar 41 an,41,1000.0,51.38632167,0.0,0,0,0,0,0,0,0,0
203,bar 41 naming,41,1000.0,51.38632167,0.0,0,0,0,0,0,0,0,0
204,bar 41 bn,41,1000.0,51.38632167,0.0,0,0,0,0,0,0,0,0
205,bar 41 end,41,1000.0,0,0,0,0,0,0,0,0,0,0
206,bar 42 start,42,1000.0,0,0,0,0,0,0,0,0,0,0
207,bar 42 an,42,1000.0,0.0,51.38632167,0,0,0,0,0,0,0,0
208,bar 42 naming,42,1000.0,0.0,51.38632167,0,0,0,0,0,0,0,0
209,bar 42 bn,42,1000.0,0.0,51.38632167,0,0,0,0,0,0,0,0
210,bar 42 end,42,1000.0,0,0,0,0,0,0,0,0,0,0
211,bar 43 start,43,1000.0,0,0,0,0,0,0,0,0,0,0
212,bar 43 an,43,1000.0,51.59333104,0.0,0,0,0,0,0,0,0,0
213,bar 43 naming,43,1000.0,51.59333104,0.0,0,0,0,0,0,0,0,0
214,bar 43 bn,43,1000.0,51.59333104,0.0,0,0,0,0,0,0,0,0
215,bar 43 end,43,1000.0,0,0,0,0,0,0,0,0,0,0
216,bar 44 start,44,1000.0,0,0,0,0,0,0,0,0,0,0
217,bar 44 an,44,1000.0,51.90709735,0.0,0,0,0,0,0,0,0,0
218,bar 44 naming,44,1000.0,51.90709735,0.0,0,0,0,0,0,0,0,0
219,bar 44 bn,44,1000.0,51.90709735,0.0,0,0,0,0,0,0,0,0
220,bar 44 end,44,1000.0,0,0,0,0,0,0,0,0,0,0
221,bar 45 start,45,1000.0,0,0,0,0,0,0,0,0,0,0
222,bar 45 an,45,1000.0,52.02479945,0.0,0,0,0,0,0,0,0,0
223,bar 45 naming,45,1000.0,52.02479945,0.0,0,0,0,0,0,0,0,0
224,bar 45 bn,45,1000.0,52.02479945,0.0,0,0,0,0,0,0,0,0
225,bar 45 end,45,1000.0,0,0,0,0,0,0,0,0,0,0
226,bar 46 start,46,1000.0,0,0,0,0,0,0,0,0,0,0
227,bar 46 an,46,1000.0,52.31608248,0.0,0,0,0,0,0,0,0,0
228,bar 46 naming,46,1000.0,52.31608248,0.0,0,0,0,0,0,0,0,0
229,bar 46 bn,46,1000.0,52.31608248,0.0,0,0,0,0,0,0,0,0
230,bar 46 end,46,1000.0,0,0,0,0,0,0,0,0,0,0
231,bar 47 start,47,1000.0,0,0,0,0,0,0,0,0,0,0
232,bar 47 an,47,1000.0,52.55354986,0.0,0,0,0,0,0,0,0,0
233,bar 47 naming,47,1000.0,52.55354986,0.0,0,0,0,0,0,0,0,0
234,bar 47 bn,47,1000.0,52.55354986,0.0,0,0,0,0,0,0,0,0
235,bar 47 end,47,1000.0,0,0,0,0,0,0,0,0,0,0
236,bar 48 start,48,1000.0,0,0,0,0,0,0,0,0,0,0
237,bar 48 an,48,1000.0,54.98061112,0.0,0,0,0,0,0,0,0,0
238,bar 48 naming,48,1000.0,54.98061112,0.0,0,0,0,0,0,0,0,0
239,bar 48 bn,48,1000.0,54.98061112,0.0,0,0,0,0,0,0,0,0
240,bar 48 end,48,1000.0,0,0,0,0,0,0,0,0,0,0
241,bar 49 start,49,1000.0,0,0,0,0,0,0,0,0,0,0
242,bar 49 an,49,1000.0,0.0,54.98061112,0,0,0,0,0,0,0,0
243,bar 49 naming,49,1000.0,0.0,54.98061112,0,0,0,0,0,0,0,0
244,bar 49 bn,49,1000.0,0.0,54.98061112,0,0,0,0,0,0,0,0
245,bar 49 end,49,1000.0,0,0,0,0,0,0,0,0,0,0
246,bar 50 start,50,1000.0,0,0,0,0,0,0,0,0,0,0
247,bar 50 an,50,1000.0,57.06558465,0.0,0,0,0,0,0,0,0,0
248,bar 50 naming,50,1000.0,57.06558465,0.0,0,0,0,0,0,0,0,0
249,bar 50 bn,50,1000.0,57.06558465,0.0,0,0,0,0,0,0,0,0
250,bar 50 end,50,1000.0,0,0,0,0,0,0,0,0,0,0
251,bar 51 start,51,1000.0,0,0,0,0,0,0,0,0,0,0
252,bar 51 an,51,1000.0,62.26113509,0.0,0,0,0,0,0,0,0,0
253,bar 51 naming,51,1000.0,62.26113509,0.0,0,0,0,0,0,0,0,0
254,bar 51 bn,51,1000.0,62.26113509,0.0,0,0,0,0,0,0,0,0
255,bar 51 end,51,1000.0,0,0,0,0,0,0,0,0,0,0
256,bar 52 start,52,1000.0,0,0,0,0,0,0,0,0,0,0
257,bar 52 an,52,1000.0,66.9091472,0.0,0,0,0,0,0,0,0,0
258,bar 52 naming,52,1000.0,66.9091472,0.0,0,0,0,0,0,0,0,0
259,bar 52 bn,52,1000.0,66.9091472,0.0,0,0,0,0,0,0,0,0
260,bar 52 end,52,1000.0,0,0,0,0,0,0,0,0,0,0
261,bar 53 start,53,1000.0,0,0,0,0,0,0,0,0,0,0
262,bar 53 an,53,1000.0,74.25698773,0.0,0,0,0,0,0,0,0,0
263,bar 53 naming,53,1000.0,74.25698773,0.0,0,0,0,0,0,0,0,0
264,bar 53 bn,53,1000.0,74.25698773,0.0,0,0,0,0,0,0,0,0
265,bar 53 end,53,1000.0,0,0,0,0,0,0,0,0,0,0
