Available Alumina Check,Reactive Silica Check,Contract Date
,铝矿砂,"天然开采|颗粒|AL2O3：54.04%,SIO2:10.34%，水:11.5%,其他:24.12%|澳大利亚/WEIPA|"
,铝矾土,"天然开采|颗粒|AL2O3：54.04%,SIO2:10.34%，水:11.5%,其他:24.12%|澳大利亚/WEIPA|"
,铝矿砂,"加工方法：筛选|外观：天然粉红色粉末|成分含量：AL2O3:49.9%,FE2O3:15.2%,SIO2:6%,水分：9.3%|来源：澳大利亚，高夫|"
,铝矿砂,"加工方法：筛选|外观：天然粉红色粉末|成分含量：AL2O3:50.2%,FE2O3:14.8%,SIO2:5.7%,水分：10%|来源：澳大利亚，高夫|"
,铝矿砂,"加工方法:天然原矿|外观:天然砖红颗粒|成分:AL2O3:49.2%,SiO2:5.9%,水分:12.8%|来源:GOVE NORTHERN TERRITORY,AUSTRALIA|"
,"水洗,破碎|红褐色|AL2O3:52.73%|",开采破碎水洗|粉末与颗粒的混合物红褐色|Al2O3:53.86% Si02:10.56% TiO2:2.08% 水份:12.4%|开采AUSTRALIA WEIPA铝矿山|
,铝矿砂,"加工方法：天然原矿|外观:天然砖红色颗粒|成分含量：AL2O3：25.63%,SIO2：3.42%,水份:17.62%|矿区名称：KUANTAN,MALAYSIA|"
,铝矿砂,"天然开采|红褐色颗粒|AL2O3：40%,SIO2:4.5-5%,水≤15%,其他:40%|马来西亚/Kemaman|"
,铝矿砂,"天然开采|红褐色颗粒|AL2O3：41.5-42.5%,SIO2:6-7%,水≤10%,其他约40.5%|印度/古吉拉特邦|"
,铝矾土,"天然开采|颗粒|AL2O3：54.04%,SIO2:10.34%，水:11.5%,其他:24.12%|澳大利亚/WEIPA|"
,铝矿砂,"天然开采|颗粒|AL2O3：54.04%,SIO2:10.34%，水:11.5%,其他:24.12%|澳大利亚/WEIPA|"
,氧化铝（非人造刚玉）SA34,"天然开采|红褐色颗粒|AL2O3：55.28%,SIO2:10.04%,水:11.5%,其他:23.18%|澳大利亚/WEIPA|"
,破碎，研磨，煅烧|灰白色|AL2O3：85.5%|矿山采矿得来,天然开采|红褐色颗粒|AL2O3:41.54%SIO2:5.26%Moisture:18.33%FE2O3:27.42%|马来西亚 关丹矿区
,铝矿砂,"天然开采|红褐色颗粒|AL2O3：40%,SIO2:4.5-5%,水≤15%,其他:40%|马来西亚/Kemaman|"
,铝矿砂,"天然开采|红褐色颗粒|AL2O3：40%,SIO2:4.5-5%,水≤15%,其他:40%|马来西亚/Kemaman|"
,铝矿砂,"天然开采|红褐色颗粒|AL2O3：40%,SIO2:4.5-5%,水≤15%,其他:40%|马来西亚/Kemaman|"
,铝矿砂,"天然开采|红褐色颗粒|AL2O3：40%,SIO2:4.5-5%,水≤15%,其他:40%|马来西亚/Kemaman|"
,氧化铝,"天然开采|红褐色颗粒|AL2O3：40%,SIO2:4.5-5%,水≤15%,其他:40%|马来西亚/甘马挽|"
,铝矿石,"天然开采|红褐色颗粒|AL2O3：40%,SIO2:4.5-5%,水≤15%,其他:40%|马来西亚/关丹|"
