Date,COUNTRY,REGION,CUSTOMER,MONTH KEY,REGION KEY,CUSTOMER KEY,CIF PRICE,CFR PRICE,VIU CFR PRICE,IMPORT TONNAGE,CIF LANDED TON*PRICE,CFR LANDED TON*PRICE,VIU CFR TON*PRICE
2018-05-03 00:00:00,Guinea,SMB,Weiqiao,5 2018,SMB,Weiqiao,56.7,56.53040877367897,53.230471682260294,151204.0,8573266.8,8547623.928215355,8048660.240244485
2018-05-04 00:00:00,Australia,Weipa,Weiqiao,5 2018,AUS HT,Weiqiao,45.0,44.865403788634104,59.7613961521692,69847.0,3143115.0,3133713.8584247264,4174154.237040562
2018-05-04 00:00:00,Guinea,SMB,Weiqiao,5 2018,SMB,Weiqiao,56.5,56.33100697906282,53.011719635683605,158284.0,8943046.0,8916297.108673979,8390907.030814543
2018-05-04 00:00:00,Jamaica,Discovery Bay,Weiqiao,5 2018,Jamaica,Weiqiao,56.5,56.33100697906282,46.4794157746925,139806.0,7899039.0,7875412.761714857,6498101.201796659
2018-05-04 00:00:00,Vietnam,Cam Pha,Xinfa,5 2018,Vietnam Sea,Xinfa,45.8,45.66301096709871,50.680684484469296,51838.0,2374180.4,2367079.1625124626,2627185.3223059196
2018-05-07 00:00:00,Australia,Gove,Chalco,5 2018,AUS LT,Chalco,46.6,46.460618145563316,45.6985555703368,85242.0,3972277.2,3960396.0119641083,3895436.2739266497
2018-05-07 00:00:00,Australia,Weipa,Weiqiao,5 2018,AUS HT,Weiqiao,45.2,45.064805583250255,55.944541434220504,59963.0,2710327.6,2702220.937188435,3354602.5380201642
2018-05-07 00:00:00,Australia,Weipa,Weiqiao,5 2018,AUS HT,Weiqiao,45.0,44.865403788634104,57.2048542487002,69488.0,3126960.0,3117607.178464607,3975050.9120336794
2018-05-07 00:00:00,Guinea,SMB,Weiqiao,5 2018,SMB,Weiqiao,56.5,56.33100697906282,53.043198440794,181006.0,10226839.0,10196250.249252245,9601137.176974358
2018-05-08 00:00:00,Australia,Weipa,Weiqiao,5 2018,AUS HT,Weiqiao,44.7,44.56630109670988,56.4694969552612,66844.0,2987926.8000000003,2978989.830508475,3774647.05447748
2018-05-08 00:00:00,Australia,Weipa,Xinfa,5 2018,AUS HT,Xinfa,56.1,55.93220338983052,72.50915940163851,49458.0,2774593.8000000003,2766294.9152542376,3586158.0056862375
2018-05-08 00:00:00,Guinea,SMB,Weiqiao,5 2018,SMB,Weiqiao,55.2,55.034895314057835,51.611494827372894,188169.0,10386928.8,10355861.216350948,9711683.37017193
2018-05-08 00:00:00,Guinea,SMB,Weiqiao,5 2018,SMB,Weiqiao,56.6,56.430707876370896,53.1616207066656,159933.0,9052207.8,9025132.402791627,8502297.48447915
2018-05-08 00:00:00,Guinea,SMB,Weiqiao,5 2018,SMB,Weiqiao,56.5,56.33100697906282,52.99612475982679,184197.0,10407130.5,10376002.492522435,9761727.192385815
2018-05-08 00:00:00,Indonesia,W-Kalimantan,Lubei,5 2018,Indonesia,Lubei,45.2,45.064805583250255,44.4159436103576,51833.0,2342851.6,2335844.0677966103,2302211.6051556654
2018-05-08 00:00:00,Solomon Islands,Rennell Island,Weiqiao,5 2018,Solomon Islands,Weiqiao,47.0,46.85942173479562,34.2230585077706,55350.0,2601450.0,2593668.9930209373,1894246.288405103
2018-05-09 00:00:00,Australia,Weipa,Chalco,5 2018,AUS HT,Chalco,37.9,37.78664007976072,55.1390785198273,64213.0,2433672.6999999997,2426393.5194416754,3540645.6489936705
2018-05-09 00:00:00,Australia,Weipa,Weiqiao,5 2018,AUS HT,Weiqiao,42.0,41.87437686939183,59.3478312966944,73314.0,3079188.0,3069978.065802593,4351026.903685854
2018-05-09 00:00:00,Indonesia,W-Kalimantan,Chalco,5 2018,Indonesia,Chalco,44.0,43.868394815553344,43.7302849293896,157632.0,6935808.0,6915062.811565305,6893292.273989541
2018-05-09 00:00:00,Indonesia,W-Kalimantan,Lubei,5 2018,Indonesia,Lubei,49.0,48.85343968095713,45.360889109146,43945.0,2153305.0,2146864.4067796613,1993384.271901421
2018-05-09 00:00:00,Indonesia,W-Kalimantan,Xinfa,5 2018,Indonesia,Xinfa,58.9,58.723828514456635,45.1450260111252,48678.0,2867134.1999999997,2858558.52442672,2197569.5761695527
2018-05-10 00:00:00,Australia,Weipa,Nanshan,5 2018,AUS HT,Nanshan,57.8,57.6271186440678,72.1703191967582,65807.0,3803644.5999999996,3792267.7966101696,4749312.195381067
2018-05-10 00:00:00,Australia,Weipa,Weiqiao,5 2018,AUS HT,Weiqiao,42.0,41.87437686939183,58.8540449377081,61017.0,2562714.0,2555048.853439681,3591097.2599641355
2018-05-11 00:00:00,Australia,Gove,Xinfa,5 2018,AUS LT,Xinfa,54.8,54.636091724825526,53.6699765596349,84195.0,4613886.0,4600085.742771685,4518743.67643846
2018-05-11 00:00:00,Australia,Weipa,Xinfa,5 2018,AUS HT,Xinfa,54.6,54.436689930209376,73.0215425500265,65569.0,3580067.4,3569359.3220338984,4787949.523462688
2018-05-11 00:00:00,Guinea,SMB,Weiqiao,5 2018,SMB,Weiqiao,60.1,59.920239282153545,56.95197159975449,157532.0,9467673.200000001,9439355.134596212,8971757.990052525
2018-05-11 00:00:00,Guinea,SMB,Weiqiao,5 2018,SMB,Weiqiao,60.0,59.82053838484547,56.941576021865394,182568.0,10954080.0,10921316.051844468,10395709.651159922
2018-05-14 00:00:00,Australia,Kwinana,Xinfa,5 2018,WA,Xinfa,46.5,46.36091724825524,48.767678308656905,42085.0,1956952.5,1951099.202392822,2052387.7416198258
2018-05-14 00:00:00,Ghana,Awaso,Bosai,5 2018,Ghana,Bosai,60.0,59.82053838484547,45.7237007733679,61181.0,3670860.0,3659880.358923231,2797421.7370154215
2018-05-14 00:00:00,Solomon Islands,Rennell Island,Weiqiao,5 2018,Solomon Islands,Weiqiao,47.0,46.85942173479562,33.452062878508,59835.0,2812245.0,2803833.4995014956,2001604.1823355262
2018-05-15 00:00:00,Australia,Weipa,Nanshan,5 2018,AUS HT,Nanshan,56.6,56.430707876370896,71.810801552923,64690.0,3661454.0,3650502.4925224334,4645440.752458588
2018-05-15 00:00:00,Australia,Weipa,Xinfa,5 2018,AUS HT,Xinfa,54.6,54.436689930209376,70.0862225580879,71540.0,3906084.0,3894400.797607179,5013968.3618056085
2018-05-16 00:00:00,Australia,Gove,Nanshan,5 2018,AUS LT,Nanshan,46.9,46.75972083748754,45.2358414991952,77670.0,3642723.0,3631827.5174476574,3513467.8092424916
2018-05-16 00:00:00,Australia,Kwinana,Xinfa,5 2018,WA,Xinfa,46.1,45.96211365902294,48.92002597989529,42869.0,1976260.9000000001,1970349.8504486545,2097152.593732131
