lookup key,country,monthly average cif price by country
8 2018Indonesia,Indonesia,47.801618896179704
8 2018Vietnam,Vietnam,46.70596457795111
8 2018Australia,Australia,46.83501183335184
8 2018Guinea,Guinea,59.01777441174695
8 2018Solomon Islands,Solomon Islands,48.61691138580728
8 2018Australia,Australia,46.83501183335184
8 2018Australia,Australia,46.83501183335184
8 2018Guinea,Guinea,59.01777441174695
8 2018India,India,38.24393273507197
8 2018Australia,Australia,46.83501183335184
8 2018Australia,Australia,46.83501183335184
8 2018Guinea,Guinea,59.01777441174695
8 2018Malaysia,Malaysia,48.776057336966666
8 2018Vietnam,Vietnam,46.70596457795111
8 2018Australia,Australia,46.83501183335184
8 2018Guinea,Guinea,59.01777441174695
8 2018Indonesia,Indonesia,47.801618896179704
8 2018Australia,Australia,46.83501183335184
8 2018Guinea,Guinea,59.01777441174695
8 2018Guinea,Guinea,59.01777441174695
8 2018Guinea,Guinea,59.01777441174695
8 2018Guinea,Guinea,59.01777441174695
8 2018Guinea,Guinea,59.01777441174695
8 2018Indonesia,Indonesia,47.801618896179704
8 2018Australia,Australia,46.83501183335184
8 2018Australia,Australia,46.83501183335184
8 2018India,India,38.24393273507197
8 2018Indonesia,Indonesia,47.801618896179704
8 2018Australia,Australia,46.83501183335184
9 2018Australia,Australia,46.5650301971293
9 2018Australia,Australia,46.5650301971293
9 2018Guinea,Guinea,64.39292634528812
9 2018Guinea,Guinea,64.39292634528812
9 2018Australia,Australia,46.5650301971293
9 2018Australia,Australia,46.5650301971293
9 2018Brazil,Brazil,62.29148810720724
9 2018Guinea,Guinea,64.39292634528812
9 2018Indonesia,Indonesia,50.118769577539496
9 2018Indonesia,Indonesia,50.118769577539496
9 2018Indonesia,Indonesia,50.118769577539496
9 2018Australia,Australia,46.5650301971293
9 2018Australia,Australia,46.5650301971293
9 2018Australia,Australia,46.5650301971293
9 2018Australia,Australia,46.5650301971293
9 2018Australia,Australia,46.5650301971293
9 2018Indonesia,Indonesia,50.118769577539496
9 2018Australia,Australia,46.5650301971293
9 2018Australia,Australia,46.5650301971293
9 2018Australia,Australia,46.5650301971293
9 2018Australia,Australia,46.5650301971293
9 2018Australia,Australia,46.5650301971293
9 2018Australia,Australia,46.5650301971293
9 2018Brazil,Brazil,62.29148810720724
9 2018Indonesia,Indonesia,50.118769577539496
9 2018Australia,Australia,46.5650301971293
9 2018Guinea,Guinea,64.39292634528812
9 2018Guinea,Guinea,64.39292634528812
9 2018Guinea,Guinea,64.39292634528812
9 2018Australia,Australia,46.5650301971293
9 2018Australia,Australia,46.5650301971293
9 2018Australia,Australia,46.5650301971293
9 2018Australia,Australia,46.5650301971293
9 2018Australia,Australia,46.5650301971293
9 2018Indonesia,Indonesia,50.118769577539496
9 2018Australia,Australia,46.5650301971293
9 2018Australia,Australia,46.5650301971293
9 2018Australia,Australia,46.5650301971293
9 2018Australia,Australia,46.5650301971293
9 2018Australia,Australia,46.5650301971293
9 2018Australia,Australia,46.5650301971293
9 2018Guinea,Guinea,64.39292634528812
9 2018Australia,Australia,46.5650301971293
9 2018Indonesia,Indonesia,50.118769577539496
9 2018Australia,Australia,46.5650301971293
9 2018Australia,Australia,46.5650301971293
9 2018Indonesia,Indonesia,50.118769577539496
9 2018Australia,Australia,46.5650301971293
9 2018Australia,Australia,46.5650301971293
9 2018Australia,Australia,46.5650301971293
9 2018Australia,Australia,46.5650301971293
9 2018Guinea,Guinea,64.39292634528812
9 2018Ghana,Ghana,62.0
9 2018Indonesia,Indonesia,50.118769577539496
9 2018Guinea,Guinea,64.39292634528812
9 2018Indonesia,Indonesia,50.118769577539496
9 2018Australia,Australia,46.5650301971293
9 2018Australia,Australia,46.5650301971293
9 2018Australia,Australia,46.5650301971293
9 2018Australia,Australia,46.5650301971293
9 2018Australia,Australia,46.5650301971293
9 2018Guinea,Guinea,64.39292634528812
9 2018Indonesia,Indonesia,50.118769577539496
9 2018Guinea,Guinea,64.39292634528812
9 2018Guinea,Guinea,64.39292634528812
9 2018Australia,Australia,46.5650301971293
9 2018Australia,Australia,46.5650301971293
9 2018Australia,Australia,46.5650301971293
9 2018Australia,Australia,46.5650301971293
9 2018Australia,Australia,46.5650301971293
