Ref. No.,Refinery,Refinery Province,Refinery Province Category,Technology,Refinery Ownership,Owner,Bauxite Source,Bauxite Self Supply,Bauxite Origin Province,Bauxite Origin Province Category,Bauxite Origin County,,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
24.1,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Sinter,Chalco,Chalco,Domestic,1,Xingyang,Henan,Xingyang,,2.363262894,2.377627124,2.387089149,2.396915617,2.408935911,2.424020259,2.444208526,2.476873176,2.512569795,2.54067347,2.565785963,2.590140604,2.616986247
24.1,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Sinter,Chalco,Chalco,Domestic,0.8,Xinmi,Henan,Xinmi,,2.363262894,2.377627124,2.387089149,2.396915617,2.408935911,2.424020259,2.444208526,2.476873176,2.512569795,2.54067347,2.565785963,2.590140604,2.616986247
24.1,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Sinter,Chalco,Chalco,Domestic,0.8,Yanshi,Henan,Yanshi,,2.363262894,2.377627124,2.387089149,2.396915617,2.408935911,2.424020259,2.444208526,2.476873176,2.512569795,2.54067347,2.565785963,2.590140604,2.616986247
25.1,Kaiman,Henan,Henan,"H-B, ODT, Sweetening",Jinjiang,Jinjiang,Domestic,1,Hubin,Henan,Hubin,,2.455590207,2.508083185,2.562454306,2.616206615,2.676373076,2.756402792,0,0,0,0,0,0,0
25.1,Kaiman,Henan,Henan,"H-B, ODT, Sweetening",Jinjiang,Jinjiang,Domestic,1,Mianchi,Henan,Mianchi,,2.455590207,2.508083185,2.562454306,2.616206615,2.676373076,2.756402792,0,0,0,0,0,0,0
25.1,Kaiman,Henan,Henan,"H-B, ODT, Sweetening",Jinjiang,Jinjiang,Domestic,0,Ruzhou,Henan,Ruzhou,,2.455590207,2.508083185,2.562454306,2.616206615,2.676373076,2.756402792,0,0,0,0,0,0,0
25.1,Kaiman,Henan,Henan,"H-B, ODT, Sweetening",Jinjiang,Jinjiang,Domestic,1,Sanmenxia,Henan,Sanmenxia,,2.455590207,2.508083185,2.562454306,2.616206615,2.676373076,2.756402792,0,0,0,0,0,0,0
25.1,Kaiman,Henan,Henan,"H-B, ODT, Sweetening",Jinjiang,Jinjiang,Domestic,1,Shaan,Henan,Shaan,,2.455590207,2.508083185,2.562454306,2.616206615,2.676373076,2.756402792,0,0,0,0,0,0,0
25.1,Kaiman,Henan,Henan,"H-B, ODT, Sweetening",Jinjiang,Jinjiang,Domestic,0,Xin'an,Henan,Xin'an,,2.455590207,2.508083185,2.562454306,2.616206615,2.676373076,2.756402792,0,0,0,0,0,0,0
26.1,East Hope Mianchi,Henan,Henan,"H-B, ODT",East Hope,East Hope,Domestic,0.7,Mianchi,Henan,Mianchi,,2.455830939,2.50869966,2.562689347,2.630854374,2.715428783,0,0,0,0,0,0,0,0
26.1,East Hope Mianchi,Henan,Henan,"H-B, ODT",East Hope,East Hope,Domestic,0,Ruzhou,Henan,Ruzhou,,2.455830939,2.50869966,2.562689347,2.630854374,2.715428783,0,0,0,0,0,0,0,0
26.1,East Hope Mianchi,Henan,Henan,"H-B, ODT",East Hope,East Hope,Domestic,1,Sanmenxia,Henan,Sanmenxia,,2.455830939,2.50869966,2.562689347,2.630854374,2.715428783,0,0,0,0,0,0,0,0
26.1,East Hope Mianchi,Henan,Henan,"H-B, ODT",East Hope,East Hope,Domestic,0,Xin'an,Henan,Xin'an,,2.455830939,2.50869966,2.562689347,2.630854374,2.715428783,0,0,0,0,0,0,0,0
26.1,East Hope Mianchi,Henan,Henan,"H-B, ODT",East Hope,East Hope,Domestic,0,Xinmi,Henan,Xinmi,,2.455830939,2.50869966,2.562689347,2.630854374,2.715428783,0,0,0,0,0,0,0,0
28,Jingxin,Henan,Henan,H-B,Private,Other,Domestic,0,Dengfeng,Henan,Dengfeng,,2.617091417,2.657649039,2.679895456,2.679895456,2.679895456,2.679895456,2.679895456,2.679895456,2.679895456,2.679895456,2.679895456,2.679895456,2.679895456
28,Jingxin,Henan,Henan,H-B,Private,Other,Domestic,0.75,Gongyi,Henan,Gongyi,,2.617091417,2.657649039,2.679895456,2.679895456,2.679895456,2.679895456,2.679895456,2.679895456,2.679895456,2.679895456,2.679895456,2.679895456,2.679895456
