,Region Key,Customer Key,MONTHLY IMPORTED TONNAGE (dmt),2017-03-01 00:00:00,2017-04-01 00:00:00,2017-05-01 00:00:00,2017-06-01 00:00:00,2017-07-01 00:00:00,2017-08-01 00:00:00,2017-09-01 00:00:00,2017-10-01 00:00:00,2017-11-01 00:00:00,2017-12-01 00:00:00,2018-01-01 00:00:00,2018-02-01 00:00:00,2018-03-01 00:00:00,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00
65,W-Kal,Bonded Warehouses,W-Kalimantan-Bonded Warehouses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44829.0,44058.0,0.0,0.0,0.0,0.0,46884.0,0.0,0.0,50052.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,W-Kal,Chalco,W-Kalimantan-Chalco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253355.0,249191.0,296605.0,309827.0,189097.0,340280.0,326961.0,398358.0,488927.0,393410.0,605491.0,553894.0,570739.0,411509.0,494524.0,742008.0,605336.0,575315.0000100001,496319.0,1179561.0,1011427.0,905240.0,896612.0,366303.1
67,W-Kal,Lubei,W-Kalimantan-Lubei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46866.0,95778.0,46750.0,47971.0,106415.0,0.0,0.0,0.0,43860.0,90127.0,46691.0,0.0,147050.0,48216.0,0.0,137556.0,141484.0,191241.0,0.0,0.0,40631.0,0.0,0.0,0.0
68,W-Kal,Traders,W-Kalimantan-Traders,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48859.0,48543.0,53890.0,0.0,154558.0,147432.0,53464.0,192291.0,204152.0,91943.0,0.0,112977.0,365242.0,237747.0,222867.0,233942.0,237394.0,293912.0,534975.0,279564.0,508082.0,194785.0,553998.0,688403.0
69,W-Kal,Wanji,W-Kalimantan-Wanji,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47849.0,0.0,0.0,0.0,58726.0,0.0,0.0,0.0,0.0,96741.0,89245.0
70,W-Kal,Weiqiao,W-Kalimantan-Weiqiao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46750.0,139766.0,0.0,46750.0,0.0,46835.0,226058.0,0.0,0.0,48833.0,92702.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,W-Kal,Xinfa,W-Kalimantan-Xinfa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232741.0,397151.0,312249.0,104802.0,0.0,156903.0,62504.0,487752.0,97294.0,251789.0,274717.0,233426.0,188465.0,142250.0,260849.0,47262.0,99991.0,45101.0,45915.0,0.0,0.0,0.0,0.0,0.0
72,W-Kal,Yantai Port,W-Kalimantan-Yantai Port,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46052.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,W-Kal,Yunnan Aluminium,W-Kalimantan-Yunnan Aluminium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,W-Kal,SPIC,W-Kalimantan-SPIC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4571730.0,5424631.0,5338924.0,5360694.0,5632882.0,4901948.0,4402298.0,6047746.0,6143096.0,6791094.0,6957921.0,7056799.0,7651844.0,7553528.0,6864887.0,7311136.0,6641443.0,4284197.000010001,4572074.0,5074617.0,6178465.0,5883216.0,7064215.0,6234093.199999999
75,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.86076,65.095572,64.067088,64.328328,67.594584,58.823376,52.827576,72.572952,73.717152,81.493128,83.495052,84.681588,91.822128,90.642336,82.378644,87.733632,79.697316,51.410364000120005,54.864888,60.895404,74.14158,70.598592,84.77058,74.80911839999999
