,bauxite,owner,ownership,technology,category,province,refinery,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
52,Domestic,Shenhuo,Shenhuo,Sintering,Henan,Henan,Shenhuo,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
53,Domestic,Shenhuo,"Shenhuo, Huiyuan","H-B, ODT",Henan,Henan,Huiyuan Lushan,0.3,0.4,0.4,0.4,0.4,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
54,Domestic,Xinfa,Xinfa,H-B,Guangxi,Guangxi,Xinfa Jingxi,0.0,0.0,0.0,1.6,1.6,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.232,2.2,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4
55,Domestic,Xinfa,Xinfa,H-B,Shanxi,Shanxi,Xinfa - Jiaokou,0.0,0.0,0.0,0.2,0.2,0.0,1.2,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8
56,Domestic,Xinfa,Xinfa,H-B,Shanxi,Shanxi,Xinfa - Xiaoyi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,3.0,3.32,3.32,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47
57,Domestic,Xinfa,"Xinfa, Yangquan Coal",H-B (Lime),Shanxi,Shanxi,Yangquan Zhaofeng,0.0,0.0,0.4,0.4,0.4,0.4,0.4,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
58,Fly ash,Other,Private,fly ash,Other,Inner Mongolia,Datang Tuoketuo Fly Ash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
59,Fly ash,Other,Private,fly ash,Other,Inner Mongolia,Mengxi Fly Ash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Imported,Chalco,Chalco,H-B,Shanxi,Shanxi,Chalco Xinghua import,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
61,Imported,Chalco,Chalco,L-B,Guangxi,Guangxi,Huasheng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0
62,Imported,Chalco,Chalco,L-B,Henan,Henan,Chalco Zhengzhou import,0.0,0.0,0.0,0.0,0.0,0.0,0.175,0.175,0.175,0.175,0.175,0.0,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
63,Imported,Chalco,Chalco,L-B,Henan,Henan,Chalco Zhongzhou LT Amt,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,2.0,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
64,Imported,Chalco,Chalco,L-B,Other,Jiangsu,Chalco Lianyungang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
65,Imported,Chalco,Chalco,L-B,Other,Shandong,Chalco Shandong L-B,0.925,1.15,1.7,1.7,1.7,1.7,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
66,Imported,Chalco,Chalco,L-B,Other,Shandong,Chalco Shandong sinter import,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
67,Imported,Chalco,Chalco,L-B,Shanxi,Shanxi,Chalco Shanxi import,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
68,Imported,East Hope,East Hope,L-B,Henan,Henan,East Hope Mianchi Added LT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
69,Imported,East Hope,East Hope,L-B,Shanxi,Shanxi,East Hope Lingshi Import,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3
70,Imported,Jinjiang,Jinjiang,L-B,Henan,Henan,Kaiman Import,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
71,Imported,Jinjiang,Jinjiang,L-B,Other,Jiangsu,Jinjiang Lianyungang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0
72,Imported,Jinjiang,Jinjiang,L-B,Shanxi,Shanxi,Xingan Chemical import,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
73,Imported,Jinjiang,Lubei Group,L-B,Other,Shandong,Lubei,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
74,Imported,Nanshan,Nanshan Group,H-B,Other,Shandong,Nanshan Donghai H-B,0.0,0.0,0.0,0.0,0.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
75,Imported,Nanshan,Nanshan Group,L-B,Other,Shandong,Nanshan Donghai L-B,0.0,0.5,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
76,Imported,Other,BXG,L-B,Other,Inner Mongolia,Xinwang L-B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
77,Imported,Other,Bosai,L-B,Other,Chongqing,Bosai Wanzhou,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,1.2,1.2,2.4,2.4,2.4,2.4,2.4,2.4
78,Imported,Other,Bosai,L-B,Other,Chongqing,Bosai Xianfeng import,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
79,Imported,Other,Chuangxin Group,L-B,Other,Shandong,Bochuang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
80,Imported,Other,Jinguotou,H-B,Other,Inner Mongolia,Qihui H-B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3
81,Imported,Other,Jinguotou,L-B,Other,Inner Mongolia,Qihui L-B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,1.3,1.3,1.3,1.3,1.3
82,Imported,Other,Private,L-B,Other,Inner Mongolia,Mengxi import,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
83,Imported,Other,Private,L-B,Other,Shandong,Nanhan,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
