,province,refinery,drawdowntechfactorinputs1_id,factorx,Bauxite Consumption,bayerconstant
142,Guangxi,Shaoxing,201.0,5.0,0.1,1.23
143,Guangxi,Zhongchao,206.0,5.0,0.1,1.23
144,Guangxi,Jialu Xianfeng,211.0,5.0,0.1,1.23
145,Guangxi,Jinshi,216.0,5.0,0.1,1.23
146,Guangxi,Huixiang,221.0,5.0,0.1,1.23
147,Guangxi,Xinwang L-B,226.0,10.0,0.1,1.0
148,Guangxi,Tuoyuan,21.0,5.0,0.1,1.23
149,Guangxi,Xinwang H-B,231.0,10.0,0.1,1.23
150,Guangxi,Datang Tuoketuo Fly Ash,236.0,10.0,0.1,1.0
151,Guangxi,Mengxi Fly Ash,241.0,10.0,0.1,1.0
152,Guangxi,Mengxi import,246.0,5.0,0.1,1.0
153,Guangxi,Qihui H-B,251.0,5.0,0.1,1.0
154,Guangxi,Qihui L-B,256.0,5.0,0.1,1.0
155,Guangxi,Jinjiang Lianyungang,261.0,5.0,0.1,1.0
156,Guangxi,Chalco Lianyungang,266.0,5.0,0.1,1.0
157,Guangxi,Chalco Shandong L-B,271.0,10.0,0.1,1.0
158,Guangxi,Chalco Shandong sinter,276.0,5.0,0.1,1.23
159,Guangxi,Chalco Pingguo,26.0,3.0,0.1,1.23
160,Guangxi,Chalco Shandong sinter import,281.0,5.0,0.1,1.0
161,Guangxi,Chiping Xinfa L-B,286.0,10.0,0.1,1.0
162,Guangxi,Chiping Xinfa H-B,291.0,10.0,0.1,1.0
163,Guangxi,Lubei,296.0,10.0,0.1,1.0
164,Guangxi,Nanshan Donghai H-B,301.0,10.0,0.1,1.0
165,Guangxi,Nanshan Donghai L-B,306.0,10.0,0.1,1.0
166,Guangxi,Bochuang,311.0,10.0,0.1,1.0
167,Guangxi,Nanhan,316.0,10.0,0.1,1.0
168,Guangxi,Weiqiao - Binzhou L-B,321.0,10.0,0.1,1.0
169,Guangxi,Weiqiao - Binzhou H-B,326.0,10.0,0.1,1.0
170,Guangxi,Weiqiao-Wudi-Zhanhua L-B,331.0,10.0,0.1,1.0
171,Guangxi,Weiqiao-Wudi-Zhanhua H-B,336.0,10.0,0.1,1.0
172,Guangxi,Aokaida,341.0,5.0,0.1,1.23
173,Guangxi,Chalco Shanxi,351.0,5.0,0.1,1.23
174,Guangxi,Chalco Shanxi import,356.0,10.0,0.1,1.0
175,Guangxi,SPIC Shanxi,361.0,5.0,0.1,1.23
