AL2O3%,SIO2%,Working H2O_6
,"4|3|煅烧破碎加工|灰色粉末|成分含量：氧化铝63.8%，氧化钙33.8%,氧化钠1.69%|西班牙安达卢西亚矿区|签约日期：2019.1.11|定价方式：现货价|无二次结算|计价日期：2019.1.11|型号ALUJANG NW",低温煅烧|粉末状|氧化铝:60.2&，烧失量:31.84%，氧化硅4.58%，氧化钛:2.63%|GUYANA INDUSTRIAL MINERALS INC|2017.4.29
,4|3|煅烧破碎加工|灰色粉末|成分含量：氧化铝63.8%，氧化钙33.8%，氧化钠1.69%|西班牙安达卢西亚矿区|签约日期：2019.2.1|定价方式：现货价|无二次结算|计价日期：2019.2.1|型号ALUJANG NW,低温煅烧|粉末状|氧化铝:60.2%，烧失量:31.84%，氧化硅4.58%，氧化钛:2.63%|GUYANA INDUSTRIAL MINERALS INC|2017.5.2
,0|3|矿山开采，破碎，筛选，水洗|红褐色块状|AL203:56.94% FE203:6.56%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|含水量11.9%,低温煅烧|粉末状|氧化铝:60.2%，烧失量:31.84%，氧化硅4.58%，氧化钛:2.63%|GUYANA INDUSTRIAL MINERALS INC|2017.5.2
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:55.31%,FE2O3:5.89%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|含水量14%",低温煅烧|粉末状|氧化铝:60.2%，烧失量:31.84%，氧化硅4.58%，氧化钛:2.63%|GUYANA INDUSTRIAL MINERALS INC|2017.5.2
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:56.02%,FE2O3:6.51%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|含水量14.2%",低温煅烧|粉末状|氧化铝:60.2%，烧失量:31.84%，氧化硅4.58%，氧化钛:2.63%|GUYANA INDUSTRIAL MINERALS INC|2017.5.2
,4|3|煅烧破碎加工|灰色粉末|成分含量：氧化铝48.42%，氧化镁49.51%，氧化钙1.3%|西班牙安达卢西亚矿区|签约日期：2019.3.21|定价方式：现货价|无二次结算|计价日期：2019.3.21|型号ZHENGTAG-86/90,;天然粉红色粉末;AL2O3:53.6% SIO2:10.1%
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:57.33%,FE2O3:5.31%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|含水量13%",加工方法：矿石粉碎|外观：粉末 灰色|成分含量：100%铝土矿|来源（印尼产区）|签约日期:2007.7.25|无其他申报要素
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:57.82%,FE2O3:4.98%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|含水量15.1%","天然原矿|红色颗粒|AL2O3:49.8%,SIO2:4.6%,FE2O3:16.5%,TIO2:3.1%,L.O.I:25.3%,杂质0.7%|澳大利亚高夫矿区|20160101"
,0|3|加工方法：天然开采矿石粉碎|外观：灰色粉末和颗粒|三氧化二铝含量50%左右，水分10%，氧化亚铁18%，其他杂质22%|几内亚|2019.7.24|现货价|不需要二次结算|2019.7.24,化验分析提炼|红色颗粒|氧化铝43.66%氧化铁23.83%氧化镁0.06%二氧化硅5.93%二氧化钛2.2%其他24.32%|非洲几内亚特立梅莱矿区|2017年4月7日
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:56.36%,FE2O3:5.17%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|含水量14.7%","破碎，研磨，煅烧|灰白色|Al2O3, 86.5%min, SiO2:7.5%max, TiO2: 3.25%max, Fe2O3: 1.75%max, MgO+ CaO:0.1% max, NaO + K2O: 0.1% max|矿山采矿得来|2017.04.26"
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:56.55%,FE2O3:5.12%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|含水量14.5%",;天然粉红色粉末;AL2LO3:48.9%SIO2:5.1%
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:57.19%,FE2O3:5.02%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|含水量14.6%",;天然粉红色粉末;AL2O3:53.36%SIO2:10.7%
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:57.41%,FE2O3:4.98%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|含水量14.3%","天然原矿|红色颗粒|AL2O3:49.1%,SIO2:4.9%,FE2O3:17.1%,TIO2:3.1%,L.O.I:25%,杂质0.7%|澳大利亚高夫矿区|20160101"
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:56.41%,FE2O3:5.21%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|含水量14.1%",低温煅烧|粉末状|氧化铝:60.2%，烧失量:31.84%，氧化硅4.58%，氧化钛:2.63%|GUYANA INDUSTRIAL MINERALS INC|2017.5.13
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:57.01%,FE2O3:5.06%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|含水量14.4%",低温煅烧|粉末状|氧化铝:60.2%，烧失量:31.84%，氧化硅4.58%，氧化钛:2.63%|GUYANA INDUSTRIAL MINERALS INC|2017.5.13
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:56.21%,FE2O3:5.34%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|含水量14.9%","天然原矿|红色颗粒|AL2O3:48.8%,SIO2:5.1%,FE2O3:17.3%,TIO2:3.1%,L.O.I:25%,杂质0.7%|澳大利亚高夫矿区|20160101"
,0|3|天然开采|外观：粉红色粉末状|成分含量：氧化铝48.90%，其他杂质51.1%|Boulevard|2019-9-26|现货价|不需要二次结算|2019-9-26,";天然粉红色粉末;成分：AL2O3: 53.04%,SIO2：9.74%"
,0|3|自然开采破碎，筛选。|粉红色粉末|氧化铝：50.00%、二氧化硫:4.50%、铁20%、其他25.5%|澳大利亚戈夫矿|2019.10.16|现货价|不需要二次结算|2019.10.16,"天然原矿|红色颗粒|AL2O3:49%,SIO2:4.8%,FE2O3:17.4%,TIO2:2.9%,L,O.I:25.3%,AG*:43.4%,AB*:1.9%,AK*:3.3%|澳大利亚GOVE矿区|2017.1.1"
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:55.82%,FE2O3:5.19%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|含水量15.2%",;天然粉红色粉末;AL203：49.81%SIO2：6.64%
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:56.23%,FE2O3:5.18%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|含水量14.2%","天然原矿|红色颗粒|AL2O3:48.9%,SIO2:4.8%,FE2O3:17.3%,TIO2:3.0%,L.O.I:25.3%,杂质0.7%|澳大利亚高夫矿区|20160101"
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:55.83%,FE2O3:5.77%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|含水量13.6%",;天然粉红色粉末;AL203：50.4%SIO2：6.81%
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:55.71%,FE2O3:5.21%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|含水量15%","天然原矿|红色颗粒|AL2O3:48.9%,SIO2:5.1%,FE2O3:17.2%,TIO2:3.0%,L.O.I:25.1%,杂质0.7%|澳大利亚高夫矿区|20160101"
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:56.34%,FE2O3:5.17%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|含水量13.5%","天然原矿|红色颗粒|AL2O3:49%,SIO2:4.8%,FE2O3:17%,TIO2:3.1%,L.O.I:25.3%,杂质0.8%|澳大利亚高夫矿区|20160101"
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:55.74%,FE2O3:5.49%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|||含水量13.9%",加工方法:天然开采|外观：红棕色颗粒或粉末|成分含量：氧化铝80%，其他20%|来源矿区 TOLL PRIORITY|签约日期 2017.09.01
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:56.35%,FE2O3:5.49%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|||含水量13.1%",;天然粉红色粉末;AL2O3：49.82%SIO2：6.47%
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:56.2%,FE2O3:5.53%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|||含水量13.4%",拜耳法|红褐色颗粒状|AL2O3:52.79%;SiO2:9.92%;Fe2O3:11.39%;TiO2:2.27% ;LOI:23.45%|WEIPA|20170801
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:56.46%,FE2O3:5.27%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|||含水量13.4%","天然原矿|红色颗粒|AL2O3:48.8%,SIO2:4.8%,FE2O3:17.7%,TIO2:3.1%,L,O.I:25.1%,AG*:42.8%,AB*:2.3%,AK*:3.4%|澳大利亚GOVE矿区|2017.6.21"
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:56.27%,FE2O3:5.47%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|含水量13.1%",";天然粉红色粉末;AL2O3：52.69%,SIO2：9.74%"
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:55.89%,FE2O3:5.67%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|含水量13.9%",";天然粉红色粉末;AL2O3：49.8%,SIO2：4.3%"
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:55.86%,FE2O3:5.63%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|含水量13%",;天然粉红色粉末;AL2O3：49.3%SIO2：4.9%
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:56.35%,FE2O3:5.72%|WEIPA矿区|2019年1月2日|现货价|不需要二次结算|2019年1月2日|含水量14.2%",;天然粉红色粉末;AL2O3：53.1%SIO2：9.93%
,0|3|自然形成|淡黄色，三角，菱形等|水软铝和为AlO(OH)和Al2O3·H2O|塔雁矿区|2019-12-13|现货价|无需二次结算|2019-12-13|无自滞期费|00000000|无其他,加工方法：矿石粉碎|外观：灰色粉末|成分含量：100%铝土矿|天然开采|签约日期:2017.9.14
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:56.5%,FE2O3:5.32%|WEIPA矿区|20190102|现货价|不需要二次结算|2019年1月2日|滞期费未确定|含水量14.6%",;天然粉红色粉末;成分：AL2O3：53.26%SIO2：9.76%
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:56.96%,FE2O3:5.53%|WEIPA矿区|20190102|现货价|不需要二次结算|2019年1月2日|滞期费未确定|含水量13.2%","天然原矿|红色颗粒|AL2O3:48.9%,SIO2:4.1%,FE2O3:18.4%,TIO2:3%,L.O.I:25.1%,杂质0.5%|澳大利亚高夫矿区|20160101"
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:56.85%,FE2O3:5.5%|WEIPA矿区|20200106|现货价|不需要二次结算|20200106|滞期费未确定|含水量14.6%",;天然粉红色粉末;成分：AL2O3：53.31%SIO2：10.03%
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:57.63%,FE2O3:5.71%|WEIPA矿区|20200106|现货价|不需要二次结算|2020年1月6日|滞期费未确定|含水量14%","天然原矿|红色颗粒|AL2O3:49.3%,SIO2:4.7%,FE2O3:16.8%,TIO2:3%,L.O.I:25.4%,杂质0.8%|澳大利亚高夫矿区|20160101"
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:56.34%,FE2O3:6.09%|WEIPA矿区|20200106|现货价|不需要二次结算|2020年1月6日|滞期费未确定|含水量14.2%","天然原矿|红色颗粒|AL2O3:49.3%,SIO2:4.8%,FE2O3:16.7%,TIO2:3.1%,L.O.I:25.4%,杂质0.7%|澳大利亚高夫矿区|20160101"
,"0|3|矿山开采,破碎,筛选,水洗|红褐色块状|AL2O3:56.88%,FE2O3:5.82%|WEIPA矿区|20200106|现货价|不需要二次结算|20200106|滞期费未确定|含水量14.9%",原矿|红褐色粉状|AL2O3:52.88%|澳大利亚|签约日:20170828
,,";天然粉红色粉末;成分：AL2O3：49.2%,SIO2：5.8%"
,,低温煅烧|粉末状|氧化铝:60.2%，烧失量:31.84%，氧化硅4.58%，氧化钛:2.63%|GUYANA INDUSTRIAL MINERALS INC|2017.8.15
,,;天然粉红色粉末;成分：AL2O3：52.62%SIO2：9.55%
,,天然原矿|红色颗粒|AL2O3:49.3% SIO2:5.1% FE2O3:16.3% TIO2:3.1% L.O.I:25.4%|澳大利亚高夫矿区|2017.1.1
,,"天然原矿|红色颗粒|AL2O3:49.3%,SIO2:5.2%,FE2O3:16.4%,TIO2:3.0%,L,O.I:25.5%,AG*:43.8%,AB*:1.7%,AK*:3.6%|澳大利亚GOVE矿区|2017.1.1"
,,"原矿开采|棕色或灰白色|Al2O3≥40% SiO2≤25%，Fe2O3≤20%, TiO2: ≤6%, 其他氧化物：≤5%|沙特西部矿区|2017.11.01|||无其他申报要素"
,,开采、分拣、然后在特定温度煅烧|细粉 浅黄色(夹杂有黑色或灰色的点)|SiO2：50%；Al2O3：44%；Fe2O3：1%|印度中央邦 矿区名称：Khajuraho |20171006
,,化验分析提炼|红色颗粒|氧化铝43.66%氧化铁23.83%氧化镁0.06%二氧化硅5.93%二氧化钛2.2%其他24.32%|印尼曼帕瓦矿区|2017年11月01日
,,;天然粉红色粉末;成分：AL2O3：50.85%SIO2：7.06%
,,"水洗、破碎|红褐色|AL2O3：51.07%,FE2O3：17.56%,TIO2：1.89%，水：11.4%|AWASO矿区|签约日期：2017年9月25日"
,,;天然粉红色粉末;成分：AL2O3：48.9%SIO2：5.3%
,,"天然原矿|红色颗粒|AL2O3:48.7%,SIO2:4.9%,FE2O3:17.7%,TIO2:3.0%,L.O.I:25.1%,AG*:42.9%,AB*:2.2%,AK*:3.4%|澳大利亚GOVE矿区|2017.1.1"
,,;天然粉红色粉末;成分：AL2O3：48.7%SIO2：4.2%
,,"天然原矿|红色颗粒|AL2O3:49%,SIO2:4.9%,FE2O3:17.2%,TIO2:3%,L.O.I:25.2%,杂质0.7%|澳大利亚高夫矿区|20160101"
,,"天然原矿|红色颗粒|AL2O3:48.6%,SIO2:4.3%,FE2O3:18.3%,TIO2:2.9%,L.O.I:25.3%,杂质0.6%|澳大利亚高夫矿区|20160101"
,,"天然原矿|红色颗粒|AL2O3:49.6%,SIO2:4.4%,FE2O3:16.7%,TIO2:3.1%,L.O.I:25.5%,杂质0.7%|澳大利亚高夫矿区|20160101"
,,"天然原矿|红色颗粒|AL2O3:49.6%,SIO2:4.8%,FE2O3:16.4%,TIO2:3.1%,L.O.I:25.5%,杂质0.6%|澳大利亚高夫矿区|20160101"
,,"天然原矿|红色颗粒|AL2O3:49.4%,SIO2:5.1%,FE2O3:16.6%,TIO2:3.1%,L.O.I:25.2%,杂质0.6%|澳大利亚高夫矿区|20160101"
,,;天然粉红色粉末;成分：AL2O3：52.23%SIO2：10.27%
,,;天然粉红色粉末;成分：AL2O3：49.46%SIO2：0.21%
,,;天然粉红色粉末;成分：AL2O3：52.30%SIO2：9.46%
,,;天然粉红色粉末;成分：AL2O3：53.01%SIO2：9.68%
,,";天然粉红色粉末;成分：AL2O3：48.70%,SIO2：4.40%"
,,;天然粉红色粉末;成分：AL2O3：49.7%SIO2：6.65%
,,;天然粉红色粉末;成分：AL2O3：49.40%SIO2：4.20%
,,;天然粉红色粉末;成分:AL2O3:49.5%SIO2:5.00%
,,";天然粉红色粉末;成分：AL2O3:47.9%,SIO2:2.05%"
,,;天然粉红色粉末;成分：AL2O3：52.03%SIO2：9.79%
,,"矿山开采,筛选,破碎,水洗|红褐色块状|AL2O3:51.34%,FE2O3:17.40%|AWASO矿区|2017年10月24日"
,,"天然矿石|黄褐色，土状|Al2O3 31.27%,SiO2 39.45%,Fe2O3 10.78%,TiO2 2.44%,MgO 0.12%,K2O 0.02%,Na2O 0.06%,CaO 0.07%.Loss 15.79%|马达加斯加矿区|2017年8月17日"
,,4|3|低温煅烧|粉末状|氧化铝60.2% 烧失量31.84% 氧化硅4.58% 氧化钛2.63%|GUYANA INDUSTRIAL MINERALS 1NC|2017.8.15
,,"0|3|天然原矿|红色颗粒|AL2O3:48.9%,SIO2:5.3%,FE2O3:17.3%,TIO2:3.0%,L.O.I:25.1%,杂质0.4%|澳大利亚高夫矿区|20160101"
,,"0|3|天然原矿|红色颗粒|AL2O3:49.3%,SIO2:5.3%,FE2O3:16.4%,TIO2:3.1%,L.O.I:25.4%,杂质0.5%|澳大利亚高夫矿区|20160101"
,,0|3|天然原矿|红色颗粒|AL2O3:50.0% SIO2:5.0% FE2O3:15.7% TIO2:3.2% L.O.I:25.7%|澳大利亚高夫矿区|2015.12.31
,,"0|3|天然原矿|红色颗粒|AL2O3:50.1%,SIO2:4.8%,FE2O3:15.7%,TIO2:3.1%,L.O.I:25.7%,杂质0.6%|澳大利亚高夫矿区|20160101"
,,"0|3|天然原矿|红色颗粒|AL2O3:49.7%,SIO2:5.4%,FE2O3:15.9%,TIO2:3.1%,L.O.I:25.4%,杂质0.5%|澳大利亚高夫矿区|20160101"
,,"0|3|天然原矿|红色颗粒|AL2O3:50.1%,SIO2:5.3%,FE2O3:15.3%,TIO2:3.1%,L.O.I:25.7%,杂质0.5%|澳大利亚高夫矿区|20160101"
,,"0|3|天然原矿|红色颗粒|AL2O3:48.5%,SIO2:4.5%,FE2O3:18.6%,TIO2:3.0%,L.O.I:25.1%,杂质0.3%|澳大利亚高夫矿区|20160101"
,,天然红褐色颗粒状
,,";红褐色颗粒;AL203：45.3%,SIO2：1.89%"
,,;天然粉红色粉末;成分：AL2O3：52.93%SIO2：9.49%
,,;天然粉红色粉末;成分：AL2O3：48.93%SIO2：7.08%
,,;天然粉红色粉末;成分：AL2O3：49.4%SIO2：6.84%
,,;天然粉红色粉末;成分：AL2O3：52.96%SIO2：9.86%
,,"0|3|矿山开采,筛选,破碎,水洗|红褐色块状|AL2O3:50.28%,FE2O3:17.67%|AWASO矿区|2017年11月29日"
,,"0|3|水洗、破碎|红褐色|AL2O3：51.34%;FE2O3：17.4%|AWASO,GHANA|2017.10.24"
,,0|3|破碎 筛选 水洗|红褐色块|Al2O3:50.94% Fe2O3:19.12% TiO2:1.72% SiO2:2.33%|矿山开采 矿区：|签约日期：171114
,,"0|3|矿山开采,筛选,破碎,水洗|红褐色块状|AL2O3:50.94%,FE2O3:19.12%|AWASO矿区|2017年11月14日"
,,0|3|原矿|灰褐色|AL2O3:53.05% SIO2:5.81% CAO:3.44% S:0.013% AL2O3/SIO2:9.13/1 SIZE:0-150MM90%|土耳其|20171122
,,"0|3|天然原矿|红色颗粒|AL2O3:48.2%,SIO2:4.5%,FE2O3:19%,TIO2:2.9%,L.O.I:25%,杂质0.4%|澳大利亚高夫矿区|20160101"
,,"0|3|天然原矿|红色颗粒|AL2O3:48.9%,SIO2:4.2%,FE2O3:18.2%,TIO2:3%,L.O.I:25.2%,杂质0.5%|澳大利亚高夫矿区|20160101"
,,"0|3|天然原矿|红色颗粒|AL2O3:49.5%,SIO2:4.9%,FE2O3:16.6%,TIO2:3.1%,L.O.I:25.4%,杂质0.5%|澳大利亚高夫矿区|20160101"
,,"0|3|天然原矿|红色颗粒|AL2O3:53.42%,SIO2:11.2%,FE2O3:8.66%,TIO2:2.08%,L.O.I:23.79%,杂质0.85%|澳大利亚高夫矿区|20180109"
,,"0|3|天然原矿|红色颗粒|AL2O3:49%,SIO2:4.5%,FE2O3:17.8%,TIO2:3%,L.O.I:25.3%,杂质0.4%|澳大利亚高夫矿区|20160101"
,,"0|3|天然原矿|红色颗粒|AL2O3:49%,SIO2:4.9%,FE2O3:17.6%,TIO2:2.9%,L.O.I:25.2%,杂质0.4%|澳大利亚高夫矿区|20160101"
,,天然红褐色颗粒状
,,天然红褐色颗粒状
,,";;;红褐色颗粒状;AL2O3:46.44%,SIO2:1.83%;几内亚"
,,";;;红褐色颗粒状;AL203：44.5%,SIO2：1.95%"
,,;;;天然粉红色粉末;成分：AL2O3：48.8%SIO2：4.9%
,,;;;天然粉红色粉末;成分：AL2O3：53.23%SIO2：9.48%
,,;;;天然粉红色粉末;成分：AL2O3：49.5%SIO2：5%
,,;;;天然粉红色粉末;成分：AL2O3：53.85%SIO2：9.27%
,,"0|3|粗略破碎|红褐色小颗粒泥土豆石|Al2O3:52.87%，SiO2:9.64%,Fe2O3:10.51%,TiO2:2.26%,L.O.I.:23.86%|澳大利亚WEIPA矿山开采而得|签约日期：20180201|未烧结"
,,"0|3|天然原矿|红色颗粒|AL2O3:49.4%,SIO2:4.7%,FE2O3:17.1%,TIO2:3%,L.O.I:25.3%,杂质0.5%|澳大利亚高夫矿区|20160101"
,,"0|3|天然原矿|红色颗粒|AL2O3:49.2%,SIO2:4.8%,FE2O3:17.2%,TIO2:2.9%,L.O.I:25.4%,杂质0.5%|澳大利亚高夫矿区|20160101"
,,"0|3|天然原矿|红色颗粒|AL2O3:50.5%,SIO2:5.1%,FE2O3:14.7%,TIO2:3.2%,L.O.I:26%,杂质0.5%|澳大利亚高夫矿区|20160101"
,,"0|3|天然原矿|红色颗粒|AL2O3:49.6%,SIO2:5.0%,FE2O3:16.3%,TIO2:3.1%,L.O.I:25.5%,杂质0.5%|澳大利亚高夫矿区|20160101"
,,天然红褐色颗粒状
,,天然红褐色颗粒状
,,";;;红褐色颗粒;AL2O3:46.44%,SIO2:1.83%;几内亚"
,,";;;红褐色颗粒;AL2O3:47.1%,SIO2:1.78%,;几内亚CDM"
,,;;;天然粉红色粉末;成分：AL2O3：49.2%，SIO2：4.5%
,,;;;天然粉红色粉末;成分：AL2O3：49.6%SIO2：5%
,,;;;天然粉红色粉末;成分：AL2O3：50.4%SIO2：6.65%
,,";;;天然粉红色粉末;成分：AL2O3：53.61%,SIO2：9.82%"
,,;;;天然粉红色粉末;成分：AL2O3：53.91%SIO2：9.5%
,,";;;天然粉红色粉末;成分：AL2O3：50.31%,SIO2：6.79%"
,,"0|3|天然原矿|红色颗粒|AL2O3:48.4,SIO2:4.1%,FE2O3:18.9%,TIO2:3%,L.O.I:25.1%,杂质0.5%|澳大利亚高夫矿区|20180322"
,,"0|3|天然原矿|红色颗粒|AL2O3:48.7%,SIO2:5.5%,FE2O3:17.3%,TIO2:2.9%,L.O.I:25.2%,杂质0.4%|澳大利亚高夫矿区|20160101"
,,"0|3|天然原矿|红色颗粒|AL2O3:48.6%,SIO2:4.7%,FE2O3:18%,TIO2:3.1%,L.O.I:25.1%,杂质0.5%|澳大利亚高夫矿区|20160101"
,,"0|3|天然原矿|红色颗粒|AL2O3:48.4%,SIO2:4.5%,FE2O3:18.6%,TIO2:2.9%,L.O.I:25.2%,杂质0.4%|澳大利亚高夫矿区|20160101"
,,"0|3|天然原矿|红色颗粒|AL2O3:48.9%,SIO2:4.2%,FE2O3:18.1%,TIO2:3%,L.O.I:25.3%,杂质0.5%|澳大利亚高夫矿区|20160101"
,,;天然粉红色粉末;AL2O3:54.35% SIO2:9.34%
,,";天然粉红色粉末;成分:AL2O3:53.59%,SIO2:10.18%"
,,;天然粉红色粉末;AL2O3:49.8% SIO2:4.8%
,,;天然粉红色粉末;AL2O3:53.7% SIO2:9.62%
,,;天然粉红色粉末;AL2O3:53.65% SIO2:9.66%
,,;天然粉红色粉末;AL2O3:50.8% SIO2:4%
,,;天然粉红色粉末;AL2O3:48.2% SIO2:4.5%
,,"0|3|天然原矿|红色颗粒|AL2O3:47.9%,SIO2:5.5%,FE2O3:18.5%,TIO2:2.8%,L.O.I:24.7%,杂质0.6%|澳大利亚高夫矿区|20160101"
,,0|3|天然原矿|红色颗粒|AL2O3:48.9% SIO2:4.3% FE2O3:18.1% TIO2:3.0% L.O.I:25.3%|澳大利亚高夫矿区|2015.12.31
,,"0|3|天然原矿|红色颗粒|AL2O3:54%,SIO2:10.33%,FE2O3:7.71%,TIO2:2.23%,L.O.I:25.02%,杂质0.71%|澳大利亚韦帕矿区|20180301"
,,"0|3|天然原矿|红色颗粒|AL2O3:54.14%,SIO2:10.38%,FE2O3:7.62%,TIO2:2.18%,L.O.I:25.02%,杂质0.66%|澳大利亚韦帕矿区|20180301"
,,"0|3|天然原矿|红色颗粒|AL2O3:54.55%,SIO2:10.48%,FE2O3:7.35%,TIO2:2.19%,L.O.I:25.1%,杂质0.33%|澳大利亚韦帕矿区|20180301"
,,"0|3|天然原矿|红色颗粒|AL2O3:50.1%,SIO2:4.4%,FE2O3:16.2%,TIO2:3%,L.O.I:25.8%,杂质0.5%|澳大利亚高夫矿区|20160101"
,,"0|3|天然原矿|红色颗粒|AL2O3:53.66%,SIO2:10.94%,FE2O3:8.2%,TIO2:2.18%,L.O.I:24.59%,杂质0.43%|澳大利亚韦帕矿区|20180301"
,,"0|3|天然原矿|红色颗粒|AL2O3:48.9%,SIO2:5.5%,FE2O3:16.9%,TIO2:2.8%,L.O.I:25.4%,杂质0.5%|澳大利亚高夫矿区|20160101"
,,"0|3|水洗、破碎|红褐色|AL2O3:50.37%,FE2O3:18.43%, SIO2:2.55%|AWASO,GHANA|2018.03.30"
,,"0|3|水洗、破碎|红褐色|AL2O3:50.35%,FE2O3:18.43%, SIO2:2.27%|AWASO,GHANA|2018.03.16"
,,"0|3|矿山开采,筛选,破碎,水洗|红褐色块状|AL2O3:50.37%,FE2O3:18.43%|AWASO矿区|2018年3月30日"
,,"0|3|矿山开采,筛选,破碎,水洗|红褐色块状|AL2O3:50.35%,FE2O3:18.43%|AWASO矿区|2018年3月16日"
,,"0|3|天然原矿|红色颗粒|AL2O3:53.33%,SIO2:9.5%,FE2O3:10.21%,TIO2:2.32%,L.O.I:24.03%,杂质0.61%|澳大利亚韦帕矿区|20180301"
,,"0|3|天然原矿|红色颗粒|AL2O3:49.4%,SIO2:4.6%,FE2O3:17.1%,TIO2:3.1%,L.O.I:25.3%,杂质0.5%|澳大利亚高夫矿区|20160101"
,,"0|3|天然原矿|红色颗粒|AL2O3:48.8%,SIO2:4.7%,FE2O3:17.9%,TIO2:2.8%,L.O.I:25.3%,杂质0.5%|澳大利亚高夫矿区|20160101"
,,"0|3|天然原矿|红色颗粒|AL2O3:53.68%,SIO2:10.56%,FE2O3:9%,TIO2:2.31%,L.O.I:23.89%,杂质0.56%|澳大利亚韦帕矿区|20180301"
,,0|3|加工方法：化学风化或外生作用形成的|外观：天然红褐色粉末及颗粒状混合物|成分含量：AL2O3: 71% 氧化铝 AL: 15% 铝 SI: 14% 硅|来源：oud-beijerlan 旧拜耶兰|签约日期：2018.06.11
,,0|3|简易破碎|小块|铝土矿|印度古吉拉特邦布季地区|2018.5.8|无GTIN|无CAS
,,"天然原矿,红色颗粒状"
,,4|3|低温煅烧|土状矿物|氧化铝60.2%，烧失量31.84%，氧化硅4.58%，氧化钛2.63%，氧化铁0.75%|GUYANA INDUSTRIAL MINERALS INC|2018.04.08
,,"4|3|加工方法;高温煅烧|外观;粉末 棕褐色|铝70%，锰20%，其他物质10%|矿区名称：Boké region , Guinea|2018.7.1"
