Name,Company,Group,Ownership, Ownership(%),Offtake,Offtake( %),Country,Region
Bakony - Total,Bakony,Hungalu MAL,,,,1.0,Hungary,East & Central Europe
Bakony,Bakony,Hungalu MAL,Hungalu MAL,1.0,Hungalu MAL,1.0,Hungary,East & Central Europe
Chhattisgarh - Total,,,,,,1.0,India,Africa & Asia (ex China)
Chhattisgarh,,,Hindalco,0.6235967422408101,Hindalco,0.6235967422408101,India,Africa & Asia (ex China)
Chhattisgarh,,,Hindalco,0.06980912549919815,Hindalco,0.06980912549919815,India,Africa & Asia (ex China)
Chhattisgarh,,,Vedanta,0.3065941322599918,Vedanta,0.3065941322599918,India,Africa & Asia (ex China)
Goa - Total,,,,,,1.0,India,Africa & Asia (ex China)
Goa,,,Other,1.0,Other,1.0,India,Africa & Asia (ex China)
Gujarat & Maharashtra - Total,,,,,,1.0,India,Africa & Asia (ex China)
Gujarat & Maharashtra,,,Ashupura,0.8,Ashupura,0.8,India,Africa & Asia (ex China)
Gujarat & Maharashtra,,,Scabal,0.1,Scabal,0.1,India,Africa & Asia (ex China)
Gujarat & Maharashtra,,,Thankys,0.1,Thankys,0.1,India,Africa & Asia (ex China)
Jharkhand - Total,,,,,,1.0,India,Africa & Asia (ex China)
Jharkhand,,,Hindalco,0.36942992282798104,Hindalco,0.36942992282798104,India,Africa & Asia (ex China)
Jharkhand,,,Hindalco,0.5374657704754792,Hindalco,0.5374657704754792,India,Africa & Asia (ex China)
Jharkhand,,,Vedanta,0.09310430669653971,Vedanta,0.09310430669653971,India,Africa & Asia (ex China)
Karnataka - Total,,,,,,1.0,India,Africa & Asia (ex China)
Karnataka,,,Hindalco,1.0,Hindalco,1.0,India,Africa & Asia (ex China)
Odisha - Total,,,,,,1.0,India,Africa & Asia (ex China)
Odisha,,,Nalco,0.6,Nalco,0.6,India,Africa & Asia (ex China)
Odisha,,,Vedanta,0.2,Vedanta,0.2,India,Africa & Asia (ex China)
Odisha,,,Hindalco,0.2,Vedanta,0.2,India,Africa & Asia (ex China)
Andhra Pradesh - Total,,,,,,1.0,India,Africa & Asia (ex China)
Andhra Pradesh,,,Anrak,1.0,Anrak,1.0,India,Africa & Asia (ex China)
Madhya Pradesh - Total,,,,,,1.0,India,Africa & Asia (ex China)
Madhya Pradesh,,,Hindalco,0.6556947085437022,Hindalco,0.6556947085437022,India,Africa & Asia (ex China)
Madhya Pradesh,,,Hindalco,0.34430529145629774,Hindalco,0.34430529145629774,India,Africa & Asia (ex China)
Tamil Nadu - Total,,,,,,1.0,India,Africa & Asia (ex China)
Tamil Nadu,,,Other,1.0,Other,1.0,India,Africa & Asia (ex China)
Bintan - Total,,,,,,1.0,Indonesia,Africa & Asia (ex China)
Bintan,,,Other,1.0,Other,1.0,Indonesia,Africa & Asia (ex China)
Indonesia Other - Total,,,,,,1.0,Indonesia,Africa & Asia (ex China)
Indonesia Other,,,Other,1.0,Other,1.0,Indonesia,Africa & Asia (ex China)
West Kalimantan - Total,,,,,,1.0,Indonesia,Africa & Asia (ex China)
West Kalimantan,,,Various,,Various,1.0,Indonesia,Africa & Asia (ex China)
Jajarm - Total,Iran Alumina Co.,Iran Alumina Co.,,,,1.0,Iran,Africa & Asia (ex China)
Jajarm,Iran Alumina Co.,Iran Alumina Co.,Iran Alumina Co.,1.0,Iran Alumina Co.,1.0,Iran,Africa & Asia (ex China)
Discovery Bay - Total,New Day Aluminum,New Day Aluminum,,,,1.0,Jamaica,South America
Discovery Bay,New Day Aluminum,New Day Aluminum,Noranda,0.49,Noranda,1.0,Jamaica,South America
Discovery Bay,New Day Aluminum,New Day Aluminum,Jamaica Government,0.51,Jamaica Government,0.0,Jamaica,South America
Jamalco - Total,Nobel Group,Nobel Group,,,,1.0,Jamaica,South America
Jamalco,Nobel Group,Nobel Group,Nobel Group,0.55,Nobel Group,0.55,Jamaica,South America
Jamalco,Clarendon Alumina Partners,Clarendon Alumina Partners,Clarendon Alumina Partners,0.45,Clarendon Alumina Partners,0.45,Jamaica,South America
Windalco - Tatol,Rusal,Rusal,,,,1.0,Jamaica,South America
Windalco,Rusal,Rusal,Rusal,0.93,Rusal,1.0,Jamaica,South America
Windalco,Rusal,Rusal,Jamaica Government,0.07,Jamaica Government,0.0,Jamaica,South America
Alpart - Total,JISCO,JISCO,,,,1.0,Jamaica,South America
Alpart,JISCO,JISCO,JISCO,1.0,JISCO,1.0,Jamaica,South America
Krasnogorsky - Total,Krasnogorsky,ENRC,,,,1.0,Kazakhstan,Africa & Asia (ex China)
Krasnogorsky,Krasnogorsky,ENRC,ENRC,1.0,ENRC,1.0,Kazakhstan,Africa & Asia (ex China)
Kuantan & Johor - Total,,,,,,1.0,Malaysia,Africa & Asia (ex China)
Kuantan & Johor ,,,Malaysia,1.0,Malaysia,1.0,Malaysia,Africa & Asia (ex China)
