No.,Refinery Key,Supplyinh Mines Keys,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,Q1 2017,Q1 2018,Q1 2019,Q1 2020,Q2 2017,Q2 2018,Q2 2019,Q2 2020,Q3 2017,Q3 2018,Q3 2019,Q3 2020,Q4 2017,Q4 2018,Q4 2019,Q4 2020
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,R_036,M_064,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.0,R_037,M_064,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0,R_038,M_066,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,R_039,M_034,,,0.2,0.2,0.2,0.2,0.2,0.2,,,,,,,,,0.2,0.2,,,0.2,0.2,,,0.2,0.2,,,0.2,0.2
Not available,Not available,M_031,0.8,,0.3,0.3,0.3,0.3,0.3,0.3,,,,,,,0.8,,0.3,0.3,0.8,0.7,0.3,0.3,0.8,0.7,0.3,0.3,0.8,0.7,0.3,0.3
Not available,Not available,M_017,0.2,,0.2,0.2,0.2,0.2,0.2,0.2,,,,,,,0.2,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Not available,Not available,M_032,,,0.3,0.3,0.3,0.3,0.3,0.3,,,,,,,,,0.3,0.3,,0.1,0.3,0.3,,0.1,0.3,0.3,,0.1,0.3,0.3
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.0,R_040,M_031,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,,,,,,,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Not available,Not available,M_068,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,,,,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.0,R_041,M_070,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,Not available,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,R_042,M_069,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Not available,Not available,M_068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
