Date,Year,Quarter,Africa & Asia (ex China),North America,South America,West Europe,East & Central Europe,Oceania,ROW Est_Un-reported
2015-06-01 00:00:00.000,2015,Q2,0,0,0,0,0,0,0
2015-07-01 00:00:00.000,2015,Q3,0,0,0,0,0,0,0
2015-08-01 00:00:00.000,2015,Q3,0,0,0,0,0,0,0
2015-09-01 00:00:00.000,2015,Q3,0,0,0,0,0,0,0
2015-10-01 00:00:00.000,2015,Q4,0,0,0,0,0,0,0
2015-11-01 00:00:00.000,2015,Q4,0,0,0,0,0,0,0
2015-12-01 00:00:00.000,2015,Q4,0,0,0,0,0,0,0
2016-01-01 00:00:00.000,2016,Q1,498,420,1060,500,354,1779,372
2016-02-01 00:00:00.000,2016,Q1,470,349,986,420,341,1648,348
2016-03-01 00:00:00.000,2016,Q1,519,384,1052,505,352,1763,372
2016-04-01 00:00:00.000,2016,Q2,454,370,997,489,343,1712,360
2016-05-01 00:00:00.000,2016,Q2,513,362,1098,477,360,1750,372
2016-06-01 00:00:00.000,2016,Q2,524,329,1068,497,338,1738,360
2016-07-01 00:00:00.000,2016,Q3,517,347,1070,512,336,1737,372
2016-08-01 00:00:00.000,2016,Q3,502,320,1093,476,344,1763,372
2016-09-01 00:00:00.000,2016,Q3,681,282,1057,512,348,1717,360
2016-10-01 00:00:00.000,2016,Q4,718,308,1101,521,356,1766,372
2016-11-01 00:00:00.000,2016,Q4,717,293,1061,490,350,1733,360
2016-12-01 00:00:00.000,2016,Q4,710,327,1078,508,370,1794,372
2017-01-01 00:00:00.000,2017,Q1,730,264,1093,503,375,1813,543
2017-02-01 00:00:00.000,2017,Q1,681,242,927,420,336,1602,490
2017-03-01 00:00:00.000,2017,Q1,770,268,1069,525,374,1747,543
2017-04-01 00:00:00.000,2017,Q2,681,245,1026,503,382,1711,525
2017-05-01 00:00:00.000,2017,Q2,723,258,1063,472,383,1766,543
2017-06-01 00:00:00.000,2017,Q2,708,253,1056,483,362,1718,525
2017-07-01 00:00:00.000,2017,Q3,665,267,1084,491,382,1763,543
2017-08-01 00:00:00.000,2017,Q3,693,262,1074,524,387,1709,543
2017-09-01 00:00:00.000,2017,Q3,668,223,1030,500,363,1697,525
2017-10-01 00:00:00.000,2017,Q4,685,256,1118,489,381,1773,543
2017-11-01 00:00:00.000,2017,Q4,674,251,1086,482,381,1707,525
2017-12-01 00:00:00.000,2017,Q4,723,249,1088,498,393,1778,543
2018-01-01 00:00:00.000,2018,Q1,744,198,1076,472,381,1759,543
2018-02-01 00:00:00.000,2018,Q1,698,198,967,463,351,1510,490
2018-03-01 00:00:00.000,2018,Q1,778,249,787,502,379,1749,543
2018-04-01 00:00:00.000,2018,Q2,742,253,758,473,388,1714,525
2018-05-01 00:00:00.000,2018,Q2,752,259,789,492,384,1777,543
2018-06-01 00:00:00.000,2018,Q2,746,252,795,503,373,1665,525
2018-07-01 00:00:00.000,2018,Q3,752,243,827,508,386,1725,543
2018-08-01 00:00:00.000,2018,Q3,735,238,766,502,378,1651,543
2018-09-01 00:00:00.000,2018,Q3,730,250,803,489,365,1552,525
2018-10-01 00:00:00.000,2018,Q4,721,233,805,498,360,1742,543
2018-11-01 00:00:00.000,2018,Q4,762,236,792,446,374,1731,525
2018-12-01 00:00:00.000,2018,Q4,783,260,825,507,360,1790,543
2019-01-01 00:00:00.000,2019,Q1,875,255,842,518,379,1769,543
2019-02-01 00:00:00.000,2019,Q1,821,211,730,464,338,1556,490
2019-03-01 00:00:00.000,2019,Q1,896,237,768,480,375,1730,543
2019-04-01 00:00:00.000,2019,Q2,839,250,732,491,358,1697,525
