Province,County,minable_shallow_inventory,refractory_allocation,remaining_inventory_available_to_mining_for_SGA000t,remaining_inventory_available_to_mining_for_SGA_AA,remaining_inventory_available_to_mining_for_SGA_SiO2,remaining_inventory_available_to_mining_for_SGA_AS,extractable_to_SGA,working_stock_prior_to_AA_and_AS_de_rating000t,working_stock_prior_to_AA_and_AS_de_rating_AA,working_stock_prior_to_AA_and_AS_de_rating_AS,de_rated_Al2O3,de_rated_AS,de_rated_SiO2,province_county_000twstockprior,refractory_depletion_end_2009,refractory_depletion_end_2009_000t,SGA_depletion_end_2009,SGA_depletion_end_2009_000t,endowment_end_2009_prov_totals,geol_endowment_end_2009,endowment_end_2009_all,max_extr_inventory_end_2009_1,AA_end_2009_1,SiO2_end_2009_1,AS_end_2009_1,max_extr_inventory_end_2009_2,AA_end_2009_2,SiO2_end_2009_2,AS_end_2009_2,max_extr_inventory_end_2009_3,AA_end_2009_3,SiO2_end_2009_3,AS_end_2009_3,unallocated,check_sum,deposit,deep bauxite,Include Inventory in Allocations Further Processed?,correction_factor
Henan,Xin'an,158774.7,0.0,158774.7,0.641838064,0.11632052828051538,5.517840002,0.7,111142.29,0.641838064,5.517840002,0.6053853916857899,4.3188494507211725,0.1401728396864357,Henan-Xin'an-111142.29,0,0.0,0.0,0.0,427184.8,,something,111142.29,0.6053853916857899,0.1401728396864357,4.3188494507211725,0.0,0.7,0.07777777777777778,9,111142.29,0.6053853916857899,0.1401728396864357,4.3188494507211725,0,1.01,,0.0,Yes,1.0
Shanxi,Xing,126902.8,0.0,126902.8,0.619375025,0.07310895473194946,8.471944746999998,0.7,88831.95999999985,0.619375025,8.471944746999998,0.60023584246623,5.591483533019999,0.10734822680270659,Shanxi-Xing-88831.95999999985,0,0.0,0.0,0.0,424954.2,,something,88831.95999999985,0.60023584246623,0.1073482268027066,5.591483533019998,0.0,0.7,0.07777777777777778,9,88831.95999999985,0.60023584246623,0.1073482268027066,5.591483533019998,0,0.95,,0.0,Yes,1.0
Henan,Xingyang,22116.0,0.0,22116.0,0.6672,0.1668,4.0,0.7,12661.410000082957,0.6672,4.0,0.63384,3.4,0.1864235294117647,Henan-Xingyang-12661.410000082957,0,0.0,0.0,0.0,28088.4,,something,12661.410000082957,0.63384,0.1864235294117647,3.4,0.0,0.7,0.07777777777777778,9,12661.410000082957,0.63384,0.1864235294117647,3.4,0,1.0,,0.0,Yes,1.0
Henan,Xinmi,42951.0,8590.2,34360.8,0.6727249074999999,0.09958017930992458,6.755610525727918,0.7,24052.560000000045,0.6727249074999999,6.755610525727918,0.6359579282232273,5.109986598453277,0.12445393270027812,Henan-Xinmi-24052.560000000045,0,0.0,0.0,0.0,71445.0,,something,32642.760000000046,0.6528111050065885,0.11217073403646226,5.819798814852949,8590.2,0.7,0.07777777777777778,9,24052.560000000045,0.6359579282232273,0.12445393270027813,5.109986598453276,0,1.0,,0.0,Yes,1.25
Yunnan,Xishan,1058.0,0.0,1058.0,0.632240076,0.0987977933754277,6.399333977,0.7,740.5999999999988,0.632240076,6.399333977,0.6006280721999999,5.119467181600001,0.11732237963332036,Yunnan-Xishan-740.5999999999988,0,0.0,0.0,0.0,1058.0,,something,740.5999999999988,0.6006280721999999,0.11732237963332036,5.119467181600001,0.0,0.7,0.07777777777777778,9,740.5999999999988,0.6006280721999999,0.11732237963332036,5.119467181600001,740.5999999999988,0.0,,0.0,Yes,1.0
Guizhou,Xiuwen,87444.2,18363.282,69080.918,0.6217631822784808,0.12009366012379638,5.177318949539447,0.6,28298.504623702203,0.6217631822784808,5.177318949539447,0.5990204112916018,4.083514453034249,0.14669236957065268,Guizhou-Xiuwen-28298.504623702203,0,0.0,0.0,0.0,90137.2,,something,46661.7866237022,0.638759924025013,0.11957171743590075,5.342065312120614,18363.282,0.7,0.07777777777777778,9,28298.504623702203,0.5990204112916018,0.14669236957065268,4.083514453034249,0,1.0,,0.0,Yes,1.2658227848101264
Shaanxi,Xixiang,,,,,,,0.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,NO,
Shanxi,Xiyang,19152.0,3830.4,15321.6,0.6024999999999999,0.16436170212765955,3.665695792880259,0.7,3715.488000015322,0.6024999999999999,3.665695792880259,0.5723749999999999,2.895899676375405,0.19765014812819814,Shanxi-Xiyang-3715.488000015322,0,0.0,0.0,0.0,27352.0,,something,7545.888000015322,0.6371592639592593,0.13680122916871745,4.657555109928497,3830.4,0.7,0.07777777777777778,9,3715.488000015322,0.5723749999999999,0.19765014812819814,2.895899676375405,0,1.0,,0.0,Yes,1.25
Shanxi,Yangquan,111240.8,22248.160000000003,88992.64,0.5945758649999999,0.12530160353941303,4.745157669215134,0.7,36705.75597356447,0.5945758649999999,4.745157669215134,0.5844387300031828,3.5588682519113504,0.16422038935813377,Shanxi-Yangquan-36705.75597356447,0,0.0,0.0,0.0,166705.4,,something,58953.91597356447,0.6280494992325799,0.1315984842395664,4.772467577128449,22248.160000000003,0.7,0.07777777777777778,9,36705.75597356447,0.5844387300031828,0.16422038935813377,3.55886825191135,0,1.0,,0.0,Yes,1.25
Yunnan,Yanshan,5666.0,0.0,5666.0,0.6374,0.10785109983079524,5.910000000000001,0.7,3966.2000000000044,0.6374,5.910000000000001,0.6055299999999999,4.728000000000001,0.12807318104906934,Yunnan-Yanshan-3966.2000000000044,0,0.0,0.0,0.0,13931.0,,something,3966.2000000000044,0.6055299999999999,0.12807318104906934,4.728000000000001,0.0,0.7,0.07777777777777778,9,3966.2000000000044,0.6055299999999999,0.12807318104906934,4.728000000000001,3966.2000000000044,0.0,,0.0,Yes,1.0
