Bx Origin Cty / Mine,Bx origin Prov,Country,Destination,Refiney Prov,Bx Prov category,Self Supply,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Lingshi,Shanxi,China,General 3rd Party Domestic Supply,Shanxi,Shanxi,0,0,479.2932532,842.8545101,0,0,0,0,0,0,0,0,0,0
Lingshi,Shanxi,China,General 3rd Party Domestic Supply,Shanxi,Shanxi,0,0,166.7311605,0,0,0,0,0,0,0,0,0,0,0
Liulin,Shanxi,China,Senze,Shanxi,Shanxi,1,2207.076849,2188.042162,2274.54553,2394.499737,2566.960262,0,0,0,0,0,0,0,0
Liulin,Shanxi,China,General 3rd Party Domestic Supply,Shanxi,Shanxi,0,0,522.1955298,1132.569648,2033.79777,3048.277477,0,0,0,0,0,0,0,0
Longli,Guizhou,China,Qingzhen Guanglv,Guizhou,Guizhou,0,1.308393173,1.199550062,1.208724415,1.21876243,1.22976589,1.991160099,2.022676005,2.058798846,2.635378869,0,0,0,0
Longli,Guizhou,China,Huajin,Guizhou,Guizhou,0,2.290473812,2.318302321,2.343803668,2.371062838,2.400662935,2.431067637,2.464084747,2.500763665,2.541866922,2.595561024,0,0,0
Longli,Guizhou,China,General 3rd Party Domestic Supply,Guizhou,Guizhou,0,0.025329051,0,0.298980239,0.296929851,0.360696966,0.680413602,0.689802126,0.559025766,1.166934761,0,0,0,0
Longli,Guizhou,China,General 3rd Party Domestic Supply,Guizhou,Guizhou,0,0.044250974,0,0.574564903,0.570624572,0.693168947,0.817239997,0.828516488,0.67144192,1.121277715,1.51179743,0,0,0
Longzhou,Guangxi,China,Chalco Pingguo ,Guangxi,Guangxi,1,194.0684279,202.7452053,203.3273014,203.8926275,204.4444531,204.9855453,205.5182895,206.0447904,206.5669481,207.0865175,207.6051574,166.4930229,166.8995121
Longzhou,Guangxi,China,Jinjiang Chongzuo domestic,Guangxi,Guangxi,1,0,0,0,0,282.3508884,518.8603894,527.4795268,426.2464553,429.3988809,323.8945551,325.3583275,326.8809124,328.47202
Longzhou,Guangxi,China,General 3rd Party Domestic Supply,Guangxi,Guangxi,0,0,0,0,0,0,0,0,0,0,0,49.98126756,43.60013397,44.15057045
Longzhou,Guangxi,China,General 3rd Party Domestic Supply,Guangxi,Guangxi,0,0,0,0,0,0,0,0,0,0,0,59.20470668,64.55751497,65.37253107
Loufan,Shanxi,China,Chalco Shanxi,Shanxi,Shanxi,0.5,549.8348203,364.9229517,228.3794745,232.6233363,0,0,0,0,0,0,0,0,0
Loufan,Shanxi,China,SPIC Shanxi,Shanxi,Shanxi,0,1052.924215,694.314699,353.227186,358.5723547,324.6836266,332.0114118,341.1406842,0,0,0,0,0,0
Loufan,Shanxi,China,Xinfa - Jiaokou,Shanxi,Shanxi,0,483.3559437,200.0874602,223.5845249,432.3624615,0,0,0,0,0,0,0,0,0
Loufan,Shanxi,China,Xinfa - Xiaoyi,Shanxi,Shanxi,0,673.0193299,1070.33729,0,0,0,0,0,0,0,0,0,0,0
Loufan,Shanxi,China,Xingan Chemical,Shanxi,Shanxi,0,1379.696335,0,0,0,0,0,0,0,0,0,0,0,0
Loufan,Shanxi,China,General 3rd Party Domestic Supply,Shanxi,Shanxi,0,0,69.84960579,93.22714035,167.4114705,0,0,0,0,0,0,0,0,0
Loufan,Shanxi,China,General 3rd Party Domestic Supply,Shanxi,Shanxi,0,0,124.3655786,134.8658419,242.1836477,322.655464,676.6088759,265.4794476,0,0,0,0,0,0
Loufan,Shanxi,China,General 3rd Party Domestic Supply,Shanxi,Shanxi,0,0,35.20374902,83.2237312,274.2164656,0,0,0,0,0,0,0,0,0
Loufan,Shanxi,China,General 3rd Party Domestic Supply,Shanxi,Shanxi,0,0,168.257414,0,0,0,0,0,0,0,0,0,0,0
Lushan,Henan,China,Chalco Zhengzhou domestic,Henan,Henan,0.8,79.02632571,59.64102857,64.99634798,70.46468807,70.94870358,61.21748086,51.39107069,51.95392854,52.56669377,53.04885569,42.75275239,43.01677824,43.30231345
Lushan,Henan,China,Chalco Zhongzhou Dom. Sinter,Henan,Henan,0.8,12.70404266,5.680559797,5.703166202,5.726643323,8.633042805,8.687101453,8.759451312,8.876513505,9.004441544,9.105158305,9.195155399,9.282436534,9.378644813
Lushan,Henan,China,General 3rd Party Domestic Supply,Henan,Henan,0,24.3718004,6.071539036,2.642330278,0,4.27461166,39.62498671,72.7780608,26.99351219,13.66471604,0,0,0,0
Lushan,Henan,China,General 3rd Party Domestic Supply,Henan,Henan,0,3.544524217,0.523269408,0.210209117,0,0.473661067,5.122558684,11.29014548,4.18753504,2.119823343,0,0,0,0
Malipo,Yunnan,China,YMG - Wenshan,Yunnan,Other,1,46.12964887,52.11709761,53.46679962,55.07660736,56.99059483,59.23681878,0,0,0,0,0,0,0
Malipo,Yunnan,China,General 3rd Party Domestic Supply,Yunnan,Other,0,14.61405251,5.369179391,14.15220689,12.80349499,9.663717858,7.730844218,0,0,0,0,0,0,0
Mianchi,Henan,China,Chalco Zhengzhou domestic,Henan,Henan,0.8,36.68221535,27.6840032,30.16982014,32.70809871,32.93276765,28.41575634,23.85456119,24.11582694,24.40025857,24.62406712,19.84485114,19.96740591,20.09994483
Mianchi,Henan,China,Chalco Zhongzhou Dom. Sinter,Henan,Henan,0.8,123.835455,55.37250826,55.59286917,55.82171758,84.15248692,84.6794355,85.3846817,86.52577121,87.77277796,88.75453678,89.63180329,90.48259538,91.42040678
Mianchi,Henan,China,Kaiman,Henan,Henan,1,699.3086783,710.498499,537.704399,509.7706364,521.4941353,537.0880103,0,0,0,0,0,0,0
Mianchi,Henan,China,East Hope Mianchi,Henan,Henan,0.7,4852.969763,3449.476028,3851.051529,3953.485728,4080.578935,0,0,0,0,0,0,0,0
Mianchi,Henan,China,Yima Yixiang,Henan,Henan,0.85,615.9883632,1050.355744,648.3938993,667.0112952,0,0,0,0,0,0,0,0,0
Mianchi,Henan,China,General 3rd Party Domestic Supply,Henan,Henan,0,11.31283307,2.81826974,1.226509361,0,1.984177096,18.39301375,33.78191349,12.5297718,6.34284907,0,0,0,0
Mianchi,Henan,China,General 3rd Party Domestic Supply,Henan,Henan,0,34.55103079,5.100683851,2.049059689,0,4.617115618,49.93326946,110.0531807,40.81892047,20.66344511,0,0,0,0
Mianchi,Henan,China,General 3rd Party Domestic Supply,Henan,Henan,0,187.7764246,62.04391358,18.46254722,0,25.75323656,278.5165907,0,0,0,0,0,0,0
Mianchi,Henan,China,General 3rd Party Domestic Supply,Henan,Henan,0,1302.978229,301.1496871,132.217069,0,198.6151657,0,0,0,0,0,0,0,0
Mianchi,Henan,China,General 3rd Party Domestic Supply,Henan,Henan,0,164.9992524,91.34412954,22.01699761,0,0,0,0,0,0,0,0,0,0
Nanchuan,Chongqing,China,Bosai Xianfeng domestic,Chongqing,Other,1,1005.127676,1009.967697,845.247893,848.779805,852.3518922,684.2795775,686.2638568,689.1540516,692.280981,694.5056802,522.1000425,348.5788488,0
Nanchuan,Chongqing,China,General 3rd Party Domestic Supply,Chongqing,Other,0,422.7347721,140.7515684,309.1635255,279.7000979,211.1097659,135.107977,900.7213121,327.3481745,164.416733,0,0,0,0
Napo,Guangxi,China,Jinjiang Chongzuo domestic,Guangxi,Guangxi,1,0,0,0,0,148.3731956,272.6570987,277.1863884,223.9891968,225.6457719,170.2040694,170.9732703,171.7733769,172.6094915
Napo,Guangxi,China,Jinjiang Tiandong,Guangxi,Guangxi,1,549.801042,514.0299814,589.3265099,594.6091579,599.712162,604.6904097,609.5860229,614.4322682,619.2567706,498.8829573,501.9844141,505.4323013,509.2740967
Napo,Guangxi,China,Xinfa Jingxi,Guangxi,Guangxi,0,309.0387711,334.750778,331.8099652,365.8313336,371.4605517,301.452564,305.4850199,309.7844217,314.4277427,319.5207263,325.2250345,332.5589672,342.8158801
Napo,Guangxi,China,General 3rd Party Domestic Supply,Guangxi,Guangxi,0,0,0,0,0,0,0,0,0,0,0,31.11161284,33.92447196,34.35275659
Napo,Guangxi,China,General 3rd Party Domestic Supply,Guangxi,Guangxi,0,0,0,0,0,0,0,0,0,0,0,105.1722528,114.6810729,116.1288814
Napo,Guangxi,China,General 3rd Party Domestic Supply,Guangxi,Guangxi,0,0,0,0,0,0,0,0,0,0,0,61.62946891,67.20150449,68.04990004
Ningwu,Shanxi,China,Chalco Shanxi,Shanxi,Shanxi,0,181.1458836,120.2257261,75.24078172,76.63894362,0,0,0,0,0,0,0,0,0
Ningwu,Shanxi,China,SPIC Shanxi,Shanxi,Shanxi,1,578.1520808,381.2425265,193.9541608,196.8891493,178.2811257,182.3047526,187.3175615,0,0,0,0,0,0
Ningwu,Shanxi,China,Xingan Chemical,Shanxi,Shanxi,0,272.7287931,0,0,0,0,0,0,0,0,0,0,0,0
Ningwu,Shanxi,China,General 3rd Party Domestic Supply,Shanxi,Shanxi,0,0,23.01230859,30.71415648,55.1545621,0,0,0,0,0,0,0,0,0
Ningwu,Shanxi,China,General 3rd Party Domestic Supply,Shanxi,Shanxi,0,0,68.28812275,74.05373151,132.9810616,177.1674782,371.5204037,145.7725949,0,0,0,0,0,0
Pingdingshan,Henan,China,Chalco Zhengzhou domestic,Henan,Henan,1,21.95532595,16.56964576,18.05747633,19.57670663,19.71117724,17.00762036,14.27761822,14.43399304,14.60423328,14.73818892,11.87769526,11.95104769,12.03037593
Pingdingshan,Henan,China,General 3rd Party Domestic Supply,Henan,Henan,0,6.77104518,1.686812811,0.73409996,0,1.187585168,11.00873021,20.21941464,7.499416851,3.796371552,0,0,0,0
