Province,county,china_bx_data2_id,deposit_mine,inventory_000_t,geological_endowment_000_t,inventory_reference,endowment_reference,filter_for_DDM
Hebei,Jingxing,233,Zhaocunpu,0,2929,???????????????????????????? http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=37034,???????????????????????????? http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=37034,
Hebei,Wu'an,234,Yehe,323.34,323.34,"CM Field Research + ???????????????????????????????????, http://www.hb12369.net/hjzw/hpsp/xgwj/201511/t20151118_48912.html","CM Field Research + ???????????????????????????????????, http://www.hb12369.net/hjzw/hpsp/xgwj/201511/t20151118_48912.html",
Henan,Baofeng,235,Bianzhuang,14331,14331,"?????????, http://www.baofeng.gov.cn/publicfiles/business/htmlfiles/bfxzfw/zrdl/201308/37266.html","?????????, http://www.baofeng.gov.cn/publicfiles/business/htmlfiles/bfxzfw/zrdl/201308/37266.html",
Henan,Baofeng,236,Ligou,473.3,12608," 2002: Prev D class, re-assed to 333, file ?????????????????, ref http://222.143.25.246/datagateway/datasetView.action?datasetVO.serverNodeVO.id=1&datasetVO.lid=7688",CM Field Research,
Henan,Baofeng,237,Daying or Dayin Town Qingliangsi Haogou Nanpo Aluminum Clay Mine,133,756.66,BHL2008,Henan Bx Report,
Henan,Baofeng,238,Baofeng County Ganshiya Bauxite Mine,1044,1044,BHL2008,BHL2008,
Henan,Baofeng,239,"Yongshun Bauxitic Clay Co., Ltd.",2874,2874,BHL2008,BHL2008,
Henan,Baofeng,240,Zhangbaqiao,3778,3778,BHL2008,BHL2008,
Henan,Baofeng,241,Laoguojia-Manziying deposit,1231.56,2443.5,CM Field Research,"?????????????????, http://www.calre.org.cn/uploadfile/546.pdf",
Henan,Dengfeng,242,Daye,17062,19114,BHL2008,"????????????????????, http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=72894",
Henan,Dengfeng,243,"Banqiaohe Bauxite Mine (""Dengfeng City Jinhua Mining Co., Ltd. Banqiaohe Bauxite Mine"")",678,678,BHL2008,BHL2008,
Henan,Dengfeng,244,"Chantong Bauxitic Clay  Co., Ltd. (""Dengfeng City Chantong Bauxitic Clay  Co., Ltd."")",1074,1074,BHL2008,BHL2008,
Henan,Dengfeng,245,Dongtou Xiaohong Bauxite Mine,2773,2773,BHL2008,BHL2008,
Henan,Dengfeng,246,Feizhuang,2963,3317,"??????????????????, http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=63495","??????????????????, http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=63495",
Henan,Dengfeng,247,Gaocheng (Jiangzhuang),4500,7180,CM Research,CM Research,
Henan,Dengfeng,248,"Genzhuangjun Bauxite Mine (""Dengfeng City Junzhao County Genzhuangjun Bauxite Mine"")",1502,1502,BHL2008,BHL2008,
Henan,Dengfeng,249,"Henan Zhongmei Aluminum Dengfeng City Jinlou Bauxitic Clay  Co., Ltd.",1245,1245,BHL2008,BHL2008,
Henan,Dengfeng,250,"Lehua Bauxite Mine (""Dengfeng City Shidao County Lehua Bauxite Mine"")",686,686,BHL2008,BHL2008,
Henan,Dengfeng,251,Liulou,45,45,BHL2008,BHL2008,
