refinery,province,category,technology,ownership,owner,bauxite,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
Xinwang H-B,Inner Mongolia,Other,H-B,BXG,Other,Domestic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Datang Tuoketuo Fly Ash,Inner Mongolia,Other,fly ash,Private,Other,Fly ash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,180.0,0.0,140.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mengxi Fly Ash,Inner Mongolia,Other,fly ash,Private,Other,Fly ash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,180.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mengxi import,Inner Mongolia,Other,L-B,Private,Other,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,190.0,200.0,200.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qihui H-B,Inner Mongolia,Other,H-B,Jinguotou,Other,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1000.0,1300.0,1300.0,1300.0,1800.0,2000.0,2000.0,2000.0,2000.0
Qihui L-B,Inner Mongolia,Other,L-B,Jinguotou,Other,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,500.0,1000.0,1200.0,2000.0,2000.0,2200.0,2700.0,2700.0,2700.0,2700.0
Jinjiang Lianyungang,Jiangsu,Other,L-B,Jinjiang,Jinjiang,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1000.0,1200.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
Chalco Lianyungang,Jiangsu,Other,L-B,Chalco,Chalco,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1000.0,1600.0,1900.0,2700.0,3000.0,3000.0,3000.0,3000.0
Chalco Shandong L-B,Shandong,Other,L-B,Chalco,Chalco,Imported,900.0,1150.0,1150.0,1150.0,1150.0,1250.0,1250.0,1350.0,1200.0,1500.0,1500.0,1500.0,1500.0,1500.0,2150.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
Chalco Shandong sinter,Shandong,Other,Sintering,Chalco,Chalco,Domestic,300.0,250.0,300.0,300.0,200.0,200.0,400.0,500.0,500.0,500.0,700.0,700.0,700.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chalco Shandong sinter import,Shandong,Other,L-B,Chalco,Chalco,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
Chiping Xinfa L-B,Shandong,Other,L-B,Xinfa,Xinfa,Imported,0.0,600.0,1800.0,1800.0,1800.0,1800.0,2400.0,3250.0,3200.0,1000.0,1700.0,2000.0,2900.0,3100.0,3300.0,3250.0,3250.0,3250.0,3250.0,3250.0,3250.0,3250.0,3250.0,3250.0,3250.0,3200.0,3200.0
Chiping Xinfa H-B,Shandong,Other,H-B,Xinfa,Xinfa,Imported,300.0,800.0,800.0,1000.0,1000.0,1200.0,800.0,800.0,800.0,2000.0,2000.0,2000.0,2000.0,1600.0,1260.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0
Lubei,Shandong,Other,L-B,Lubei Group,Jinjiang,Imported,0.0,0.0,200.0,200.0,200.0,700.0,700.0,500.0,250.0,250.0,250.0,500.0,900.0,900.0,920.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0
Nanshan Donghai H-B,Shandong,Other,H-B,Nanshan Group,Nanshan,Imported,0.0,0.0,0.0,0.0,0.0,380.0,800.0,950.0,950.0,950.0,950.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
Nanshan Donghai L-B,Shandong,Other,L-B,Nanshan Group,Nanshan,Imported,0.0,140.0,250.0,220.0,250.0,390.0,400.0,600.0,660.0,670.0,670.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0
Bochuang,Shandong,Other,L-B,Chuangxin Group,Other,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,400.0,500.0,450.0,100.0,0.0,390.0,500.0,800.0,800.0,1200.0,1200.0,1200.0,1200.0,1200.0,1400.0,1400.0,1400.0,1400.0
Nanhan,Shandong,Other,L-B,Private,Other,Imported,0.0,0.0,0.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Weiqiao - Binzhou L-B,Shandong,Other,L-B,Weiqiao,Weiqiao,Imported,0.0,600.0,2100.0,1800.0,1800.0,2920.0,3520.0,5200.0,5400.0,3000.0,3000.0,3600.0,4000.0,4000.0,3800.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
Weiqiao - Binzhou H-B,Shandong,Other,H-B,Weiqiao,Weiqiao,Imported,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1800.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
