refinery,province,Province,technology,ownership,owner,bauxite,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,Alumina Grade
Beihai_GIG,Henan,Guangxi,L-B,GIG,Other,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Beihai_GIG,Shanxi,Guangxi,L-B,GIG,Other,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Beihai_GIG,Other,Guangxi,L-B,GIG,Other,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4957755878625868
Baise Mining,Guangxi,Guangxi,H-B,Baise Mining,Other,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Baise Mining,Guizhou,Guangxi,H-B,Baise Mining,Other,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Baise Mining,Henan,Guangxi,H-B,Baise Mining,Other,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Baise Mining,Shanxi,Guangxi,H-B,Baise Mining,Other,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Baise Mining,Other,Guangxi,H-B,Baise Mining,Other,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4924408068444095
Chalco Guizhou,Guangxi,Guizhou,Series & Sinter (95:25),Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Chalco Guizhou,Guizhou,Guizhou,Series & Sinter (95:25),Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5807388835168309
Chalco Guizhou,Henan,Guizhou,Series & Sinter (95:25),Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Chalco Guizhou,Shanxi,Guizhou,Series & Sinter (95:25),Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Chalco Guizhou,Other,Guizhou,Series & Sinter (95:25),Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Chalco Zunyi,Guangxi,Guizhou,H-B,Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Chalco Zunyi,Guizhou,Guizhou,H-B,Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5336294459805286
Chalco Zunyi,Henan,Guizhou,H-B,Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Chalco Zunyi,Shanxi,Guizhou,H-B,Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Chalco Zunyi,Other,Guizhou,H-B,Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Xian,Guangxi,Guizhou,H-B,Zengshi Group,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Xian,Guizhou,Guizhou,H-B,Zengshi Group,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6010707349704147
Xian,Henan,Guizhou,H-B,Zengshi Group,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Xian,Shanxi,Guizhou,H-B,Zengshi Group,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Xian,Other,Guizhou,H-B,Zengshi Group,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
