refinery,province,Province,technology,ownership,owner,bauxite,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,Alumina Grade
Xian,Other,Guizhou,H-B,Zengshi Group,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Huafei,Guangxi,Guizhou,H-B,Shanghai Huafei Investment Co.Ltd,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Huafei,Guizhou,Guizhou,H-B,Shanghai Huafei Investment Co.Ltd,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1333928941604849
Huafei,Henan,Guizhou,H-B,Shanghai Huafei Investment Co.Ltd,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Huafei,Shanxi,Guizhou,H-B,Shanghai Huafei Investment Co.Ltd,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Huafei,Other,Guizhou,H-B,Shanghai Huafei Investment Co.Ltd,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Qingzhen Guanglv,Guangxi,Guizhou,H-B,Guangdong Guang Al Group Co.Ltd,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Qingzhen Guanglv,Guizhou,Guizhou,H-B,Guangdong Guang Al Group Co.Ltd,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1241829656972573
Qingzhen Guanglv,Henan,Guizhou,H-B,Guangdong Guang Al Group Co.Ltd,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Qingzhen Guanglv,Shanxi,Guizhou,H-B,Guangdong Guang Al Group Co.Ltd,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Qingzhen Guanglv,Other,Guizhou,H-B,Guangdong Guang Al Group Co.Ltd,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Qizheng Chemical,Guangxi,Guizhou,H-B,Qiya,Qiya,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Qizheng Chemical,Guizhou,Guizhou,H-B,Qiya,Qiya,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13616580569473422
Qizheng Chemical,Henan,Guizhou,H-B,Qiya,Qiya,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Qizheng Chemical,Shanxi,Guizhou,H-B,Qiya,Qiya,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Qizheng Chemical,Other,Guizhou,H-B,Qiya,Qiya,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Qizheng Chemical Added LT,Guangxi,Guizhou,L-B,Qiya,Qiya,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Qizheng Chemical Added LT,Guizhou,Guizhou,L-B,Qiya,Qiya,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Qizheng Chemical Added LT,Henan,Guizhou,L-B,Qiya,Qiya,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Qizheng Chemical Added LT,Shanxi,Guizhou,L-B,Qiya,Qiya,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Qizheng Chemical Added LT,Other,Guizhou,L-B,Qiya,Qiya,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008129634854370054
SPIC - Wuchuan,Guangxi,Guizhou,H-B,SPIC,SPIC,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
SPIC - Wuchuan,Guizhou,Guizhou,H-B,SPIC,SPIC,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0876351782790882
SPIC - Wuchuan,Henan,Guizhou,H-B,SPIC,SPIC,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
SPIC - Wuchuan,Shanxi,Guizhou,H-B,SPIC,SPIC,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
SPIC - Wuchuan,Other,Guizhou,H-B,SPIC,SPIC,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Kaisheng,Guangxi,Guizhou,H-B,Private,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Kaisheng,Guizhou,Guizhou,H-B,Private,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12010526870776479
Kaisheng,Henan,Guizhou,H-B,Private,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Kaisheng,Shanxi,Guizhou,H-B,Private,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Kaisheng,Other,Guizhou,H-B,Private,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Huajin,Guangxi,Guizhou,H-B,"Chalco, Jinjiang",Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Huajin,Guizhou,Guizhou,H-B,"Chalco, Jinjiang",Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12615570628735956
Huajin,Henan,Guizhou,H-B,"Chalco, Jinjiang",Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Huajin,Shanxi,Guizhou,H-B,"Chalco, Jinjiang",Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
