,mine_status,creation_date_x,updation_date_x,Mine,creation_date_y,updation_date_y,County,creation_date_x,updation_date_x,Province,creation_date_y,updation_date_y,rsdatabase_id,index,tonnesproduced,gradeal2o3,asa,miningscale,mineautolevel,minetypeopenpit,minetypeunderground,depthopenpit,depthunderground,StrippingRatioOpenPit,strippingratiounderground,dressingautolevel,distanceopenpit,distanceunderground,localtaxandfees,distance,dressingratio,empty
97,Undeveloped or Shutdown,,2020-08-11 21:34:22.083,Wachangping Bx mine,,,Zunyi,,,Guizhou,,,32,30,0,0.6,6,1,2,0,1,0,123.657875,0,2.8,2,0,0,30,0,0,0
98,Undeveloped or Shutdown,,2020-08-11 21:34:22.083,Dazhuyuan Bx mine,,,Zunyi,,,Guizhou,,,33,31,0,0.664,6.51,3,3,0,1,0,133.657875,0,3,3,20,20,30,45,0,0
99,Undeveloped or Shutdown,,2020-08-11 21:34:22.083,Shilaogong Bx mine,,,Nanchuan,,,Guizhou,,,34,32,197.7022051,0.67,6.53,1,3,0,1,0,73.65787504,0,1.2,2,20,20,30,30,0,0
100,Undeveloped or Shutdown,,2020-08-11 21:34:22.083,County Total,,,Fusui,,,Guangxi,,2020-08-13 10:46:45.210,39,37,76.03659338,0.477,4,1,2,1,0,0,0,0,0,2,18,0,25,0,2,0
101,Undeveloped or Shutdown,,2020-08-11 21:34:22.083,County Total,,,Tiandong,,,Guangxi,,2020-08-13 10:46:45.210,43,41,159.350975,0.468,2.97,1,2,1,0,0,0,0,0,2,18,0,25,0,2,0
102,Undeveloped or Shutdown,,2020-08-11 21:34:22.083,County Total,,,Hequ County,,,Henan,,,79,77,20.12630412,0.6,4,1,2,1,0,80.67346586,0,15.12627485,0,2,10,0,27.25,0,0,0
103,Undeveloped or Shutdown,,2020-08-11 21:34:22.083,County Total,,,Jingle county,,,Shanxi,,,84,82,719.4462019,0.6803,8.72,1,2,1,0,95.09178842,0,18.38441243,0,2,10,0,0,0,0,0
104,Undeveloped or Shutdown,,2020-08-11 21:34:22.083,County Total,,,Zhongyang,,,Shanxi,,,98,96,3270.719242,0.649888828,7.48,1,2,1,0,80.09178842,0,21.35781024,0,2,10,0,0,0,0,0
105,Undeveloped or Shutdown,,2020-08-11 21:34:22.083,Other,,,Pinglu,,,Shanxi,,,101,99,4768.553886,0.622970004,4.868164381,1,2,0.5,0.5,80.09178842,165.0917884,16.01835768,0.6,2,10,10,0,0,0,0
106,Undeveloped or Shutdown,,2020-08-11 21:34:22.083,Other,,,Xiuwen,,,Guizhou,,,56,54,0,0.6797,8.92,1,1,0,1,0,0,0,0,1,0,0,30,0,0,0
107,Undeveloped or Shutdown,,2020-08-11 21:34:22.083,Other,,,Fengdu,,,Shanxi,,,100,98,98.56994405,0.584000868,5.036151015,1,2,1,0,80.09178842,0,26.69726281,0,2,5,0,0,0,0,0
108,Undeveloped or Shutdown,,2020-08-11 21:34:22.083,Other,,,Longzhou,,,Shanxi,,,111,109,3136.840421,0.632158931,4.566993801,1,2,1,0,80.09178842,0,32.03671537,0,2,5,0,0,0,0,0
109,Undeveloped or Shutdown,,2020-08-11 21:34:22.083,Fusui-Total,,,Fuquan,,,Guangxi,,2020-08-13 10:46:45.210,41,39,0,0.4771,3.8,1,2,1,0,0,0,0,0,2,0,0,0,0,2,0
110,Undeveloped or Shutdown,,2020-08-11 21:34:22.083,Fusui-Total,,,Lin,,,Shanxi,,,85,83,0,0.629698791,4.297074112,1,2,1,0,0,0,0,0,2,0,0,0,0,0,0
111,Undeveloped or Shutdown,,2020-08-11 21:34:22.083,Jingle county-Total,,,Xia,,,Shanxi,,,94,92,0,0.678,9.47,1,2,1,0,80.09178842,0,32.03671537,0,2,10,0,0,0,0,0
112,Undeveloped or Shutdown,,2020-08-11 21:34:22.083,Guangyuan-Total,,,Pingxiang,,,Sichuan,,,114,112,0,0.55,5,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
113,Undeveloped or Shutdown,,2020-08-11 21:34:22.083,Guinea 45/3 LT,,,Loufan,,,Shanxi,,,88,86,0,1.00E-06,0.0001,1,2,0.5,0.5,0,0,0,0,2,0,0,0,0,0,0
