,Ref. No.,Refinery,Province,Prov - Category,Technology,Ownership,Owner,Bauxite Previous,Bauxite Now,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
79,59.0,Qiangjin Aluminium,,,,,,,,0.0,0.0,0.5,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
80,60.0,Senze,,,,,,,,1.2,1.11,1.2,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,61.0,Taixing,,,,,,,,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,62.0,Wusheng,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,63.0,Xinfa - Jiaokou,,,,,,,,1.0,2.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,64.0,Xinfa - Xiaoyi,,,,,,,,2.65,1.4,0.56,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,65.1,Xingan Chemical,,,,,,,,1.8,0.95,0.38,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,65.2,Xingan Chemical import,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,66.0,Yangquan Zhaofeng,,,,,,,,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,67.0,Gangyuan Jiaohua,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,68.1,Chalco Xinghua,,,,,,,,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,68.2,Chalco Xinghua import,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,69.0,Tiantong,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,70.0,Fusheng,,,,,,,,0.8,0.4,0.14,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,71.0,YMG - Wenshan,,,,,,,,1.6,1.6,1.6,1.6,1.4,0.35,0.12,0.06,0.0,0.0,0.0,0.0
94,72.0,spare,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,73.0,spare,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,74.0,spare,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,75.0,spare,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,76.0,spare,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,77.0,spare,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,78.0,spare,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
