index,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
27, ,"Awaso,[$/dmt 42.9,[0.01 mln dmt]","AMR,[$/dmt 37.0,[0.04 mln dmt]","Metro LT,[$/dmt 42.2,[0.17 mln dmt]","AMR,[$/dmt 47.5,[0.28 mln dmt]","AMR,[$/dmt 45.3,[0.09 mln dmt]","Awaso,[$/dmt 48.6,[0.46 mln dmt]","Awaso,[$/dmt 47.5,[0.46 mln dmt]","Awaso,[$/dmt 47.0,[0.46 mln dmt]","Awaso,[$/dmt 48.2,[0.46 mln dmt]","Awaso,[$/dmt 48.2,[0.46 mln dmt]","Awaso,[$/dmt 48.2,[0.46 mln dmt]","Awaso,[$/dmt 48.2,[0.46 mln dmt]","Awaso,[$/dmt 48.2,[0.46 mln dmt]","Awaso,[$/dmt 48.2,[0.46 mln dmt]","Awaso,[$/dmt 48.2,[0.46 mln dmt]","Awaso,[$/dmt 48.2,[0.46 mln dmt]","Awaso,[$/dmt 48.2,[0.46 mln dmt]","Awaso,[$/dmt 48.2,[3.0 mln dmt]","Awaso,[$/dmt 48.2,[3.0 mln dmt]","Awaso,[$/dmt 48.2,[3.0 mln dmt]","Awaso,[$/dmt 48.2,[3.0 mln dmt]","Awaso,[$/dmt 48.2,[3.0 mln dmt]","Awaso,[$/dmt 48.2,[3.0 mln dmt]","Awaso,[$/dmt 48.2,[3.0 mln dmt]","Awaso,[$/dmt 48.2,[3.0 mln dmt]","Awaso,[$/dmt 48.2,[3.0 mln dmt]"
28, , ,"Metro BH1,[$/dmt 37.2,[2.8 mln dmt]","Discovery Bay,[$/dmt 42.4,[1.38 mln dmt]", , , , , , , , , , , , , , , , , , , , , , , 
29, , , , , , , ,"AMR,[$/dmt 48.2,[1.35 mln dmt]","AMR,[$/dmt 47.9,[3.37 mln dmt]","Aurum Xinfa-Fiji,[$/dmt 48.7,[3.37 mln dmt]","Aurum Xinfa-Fiji,[$/dmt 48.7,[3.37 mln dmt]","Aurum Xinfa-Fiji,[$/dmt 48.7,[3.37 mln dmt]","Aurum Xinfa-Fiji,[$/dmt 48.7,[3.74 mln dmt]","Aurum Xinfa-Fiji,[$/dmt 48.7,[3.74 mln dmt]","Aurum Xinfa-Fiji,[$/dmt 48.7,[3.74 mln dmt]","Aurum Xinfa-Fiji,[$/dmt 48.7,[3.74 mln dmt]","Aurum Xinfa-Fiji,[$/dmt 48.7,[3.74 mln dmt]","Aurum Xinfa-Fiji,[$/dmt 48.7,[3.74 mln dmt]", , , , , , , , , 
30, , , , , ,"Aurum Xinfa-Fiji,[$/dmt 46.0,[0.36 mln dmt]","Gujarat & Maharashtra,[$/dmt 49.2,[0.57 mln dmt]","Gujarat & Maharashtra,[$/dmt 48.6,[1.23 mln dmt]","Gujarat & Maharashtra,[$/dmt 48.3,[2.0 mln dmt]","Gujarat & Maharashtra,[$/dmt 49.1,[1.99 mln dmt]","Gujarat & Maharashtra,[$/dmt 49.1,[1.98 mln dmt]","Gujarat & Maharashtra,[$/dmt 49.1,[1.97 mln dmt]","Gujarat & Maharashtra,[$/dmt 49.1,[1.96 mln dmt]","Gujarat & Maharashtra,[$/dmt 49.1,[1.95 mln dmt]","Gujarat & Maharashtra,[$/dmt 49.1,[1.94 mln dmt]","Gujarat & Maharashtra,[$/dmt 49.1,[1.93 mln dmt]","Gujarat & Maharashtra,[$/dmt 49.1,[1.93 mln dmt]","Gujarat & Maharashtra,[$/dmt 49.1,[1.92 mln dmt]","Gujarat & Maharashtra,[$/dmt 49.1,[3.07 mln dmt]","Gujarat & Maharashtra,[$/dmt 49.1,[2.99 mln dmt]","Gujarat & Maharashtra,[$/dmt 49.1,[2.25 mln dmt]", , , , , , 
31, , , , , , , , , , , , , , , , , , , , , , , , , , , 
32, , , , , , , , , , , , , , , , , , , , , , , , , , , 
33, , , , ,"Gujarat & Maharashtra,[$/dmt 49.6,[0.57 mln dmt]","Gujarat & Maharashtra,[$/dmt 47.0,[0.73 mln dmt]","SMB Dabiss S,[$/dmt 50.1,[0.76 mln dmt]","SMB Dabiss S,[$/dmt 49.4,[0.76 mln dmt]", , , , , , , , , , , , , , , , , , , 
34, , , , , , , , , ,"Discovery Bay,[$/dmt 50.7,[0.82 mln dmt]","Discovery Bay,[$/dmt 50.7,[1.23 mln dmt]","Discovery Bay,[$/dmt 50.7,[1.23 mln dmt]","Discovery Bay,[$/dmt 50.7,[1.23 mln dmt]","Discovery Bay,[$/dmt 50.7,[1.23 mln dmt]","Discovery Bay,[$/dmt 50.7,[1.23 mln dmt]","Discovery Bay,[$/dmt 50.7,[1.23 mln dmt]","Discovery Bay,[$/dmt 50.7,[1.23 mln dmt]","Discovery Bay,[$/dmt 50.7,[1.23 mln dmt]","Discovery Bay,[$/dmt 50.7,[6.0 mln dmt]","Discovery Bay,[$/dmt 50.7,[6.0 mln dmt]","Discovery Bay,[$/dmt 50.7,[6.0 mln dmt]","Discovery Bay,[$/dmt 50.7,[6.0 mln dmt]","Discovery Bay,[$/dmt 50.7,[6.0 mln dmt]","Discovery Bay,[$/dmt 50.7,[6.0 mln dmt]","Discovery Bay,[$/dmt 50.7,[6.0 mln dmt]","Discovery Bay,[$/dmt 50.7,[6.0 mln dmt]","Discovery Bay,[$/dmt 50.7,[6.0 mln dmt]"
35, , , , , , , ,"SMB Kaboye,[$/dmt 52.0,[1.25 mln dmt]","SMB Kaboye,[$/dmt 51.7,[1.66 mln dmt]","Weiqiao Self Supply,[$/dmt 50.9,[2.49 mln dmt]","Weiqiao Self Supply,[$/dmt 50.9,[2.77 mln dmt]","Weiqiao Self Supply,[$/dmt 50.9,[2.77 mln dmt]","Weiqiao Self Supply,[$/dmt 50.9,[2.77 mln dmt]","Weiqiao Self Supply,[$/dmt 50.9,[2.77 mln dmt]","Weiqiao Self Supply,[$/dmt 50.9,[3.08 mln dmt]","Weiqiao Self Supply,[$/dmt 50.9,[3.08 mln dmt]","Weiqiao Self Supply,[$/dmt 50.9,[3.08 mln dmt]","Weiqiao Self Supply,[$/dmt 50.9,[3.4 mln dmt]","Weiqiao Self Supply,[$/dmt 50.9,[4.5 mln dmt]","Weiqiao Self Supply,[$/dmt 50.9,[2.67 mln dmt]","Weiqiao Self Supply,[$/dmt 50.9,[4.5 mln dmt]","Weiqiao Self Supply,[$/dmt 50.9,[4.5 mln dmt]","Weiqiao Self Supply,[$/dmt 50.9,[4.5 mln dmt]","Weiqiao Self Supply,[$/dmt 50.9,[4.5 mln dmt]","Weiqiao Self Supply,[$/dmt 50.9,[4.5 mln dmt]","Weiqiao Self Supply,[$/dmt 50.9,[4.5 mln dmt]","Weiqiao Self Supply,[$/dmt 50.9,[4.5 mln dmt]"
36, ,"SMB Kaboye,[$/dmt 51.0,[0.06 mln dmt]","Metro Blend,[$/dmt 42.1,[0.17 mln dmt]","Metro Blend,[$/dmt 50.2,[0.32 mln dmt]","Discovery Bay,[$/dmt 53.4,[0.21 mln dmt]","Discovery Bay,[$/dmt 50.1,[0.23 mln dmt]","Discovery Bay,[$/dmt 54.0,[0.19 mln dmt]","Discovery Bay,[$/dmt 52.9,[0.19 mln dmt]","Discovery Bay,[$/dmt 52.4,[0.19 mln dmt]","SMB Kaboye,[$/dmt 52.3,[0.19 mln dmt]","SMB Kaboye,[$/dmt 52.3,[0.19 mln dmt]","SMB Kaboye,[$/dmt 52.3,[0.19 mln dmt]","SMB Kaboye,[$/dmt 52.3,[0.19 mln dmt]","SMB Kaboye,[$/dmt 52.3,[0.19 mln dmt]","SMB Kaboye,[$/dmt 52.3,[0.19 mln dmt]","SMB Kaboye,[$/dmt 52.3,[0.19 mln dmt]","SMB Kaboye,[$/dmt 52.3,[0.19 mln dmt]","SMB Kaboye,[$/dmt 52.3,[0.19 mln dmt]","SMB Kaboye,[$/dmt 52.3,[0.5 mln dmt]", ,"SMB Kaboye,[$/dmt 52.3,[0.5 mln dmt]","SMB Kaboye,[$/dmt 52.3,[0.5 mln dmt]","SMB Kaboye,[$/dmt 52.3,[0.5 mln dmt]","SMB Kaboye,[$/dmt 52.3,[0.5 mln dmt]","SMB Kaboye,[$/dmt 52.3,[0.5 mln dmt]","SMB Kaboye,[$/dmt 52.3,[0.5 mln dmt]","SMB Kaboye,[$/dmt 52.3,[0.5 mln dmt]"
37, , , , , , , , , , , , , , , , , , , , , , , , , , , 
38, , , , ,"Metallica,[$/dmt 66.4,[0.07 mln dmt]", , , ,"Metallica,[$/dmt 60.7,[0.86 mln dmt]","Metallica,[$/dmt 61.2,[1.68 mln dmt]","Metallica,[$/dmt 61.2,[1.68 mln dmt]","Metallica,[$/dmt 61.2,[1.68 mln dmt]","Metallica,[$/dmt 61.2,[1.68 mln dmt]","Metallica,[$/dmt 61.2,[1.87 mln dmt]","Metallica,[$/dmt 61.2,[1.87 mln dmt]","Metallica,[$/dmt 61.2,[1.87 mln dmt]","Metallica,[$/dmt 61.2,[1.87 mln dmt]","Metallica,[$/dmt 61.2,[1.87 mln dmt]", , , , , , , , , 
39, , , ,"Mirai,[$/dmt 62.8,[3.06 mln dmt]", , , , , , , , , , , , , , , , , , , , , , , 
40, , , ,"Metallica,[$/dmt 67.9,[2.19 mln dmt]","Mirai,[$/dmt 71.1,[2.37 mln dmt]","Mirai,[$/dmt 68.0,[3.59 mln dmt]","Mirai,[$/dmt 73.1,[4.59 mln dmt]","Mirai,[$/dmt 71.9,[3.59 mln dmt]","Mirai,[$/dmt 71.3,[4.96 mln dmt]","Mirai,[$/dmt 72.6,[4.96 mln dmt]","Mirai,[$/dmt 72.6,[6.67 mln dmt]","Mirai,[$/dmt 72.6,[6.67 mln dmt]","Mirai,[$/dmt 72.6,[6.67 mln dmt]","Mirai,[$/dmt 72.6,[6.67 mln dmt]","Mirai,[$/dmt 72.6,[6.67 mln dmt]","Mirai,[$/dmt 72.6,[6.67 mln dmt]","Mirai,[$/dmt 72.6,[6.67 mln dmt]","Mirai,[$/dmt 72.6,[3.48 mln dmt]", , , , , , , , , 
41, , , , ,"Rondon do Para,[$/dmt 84.7,[11.0 mln dmt]","Rondon do Para,[$/dmt 82.5,[12.03 mln dmt]","Rondon do Para,[$/dmt 80.8,[3.31 mln dmt]","Rondon do Para,[$/dmt 79.7,[9.78 mln dmt]","Rondon do Para,[$/dmt 79.4,[10.2 mln dmt]","Rondon do Para,[$/dmt 80.2,[9.55 mln dmt]","Rondon do Para,[$/dmt 80.2,[11.52 mln dmt]","Rondon do Para,[$/dmt 80.2,[11.93 mln dmt]","Rondon do Para,[$/dmt 80.2,[11.67 mln dmt]","Rondon do Para,[$/dmt 80.2,[12.34 mln dmt]","Rondon do Para,[$/dmt 80.2,[13.72 mln dmt]","Rondon do Para,[$/dmt 80.2,[13.72 mln dmt]","Rondon do Para,[$/dmt 80.2,[13.72 mln dmt]","Rondon do Para,[$/dmt 80.2,[13.61 mln dmt]", , , , , , , , , 
42, , , , , , , , , , , , , , ,"0,[$/dmt nan,[0.61 mln dmt]","0,[$/dmt nan,[2.71 mln dmt]","0,[$/dmt nan,[0.87 mln dmt]","0,[$/dmt nan,[3.36 mln dmt]","0,[$/dmt nan,[9.0 mln dmt]", ,"0,[$/dmt nan,[3.27 mln dmt]","0,[$/dmt nan,[8.26 mln dmt]","0,[$/dmt nan,[7.8 mln dmt]","0,[$/dmt nan,[9.0 mln dmt]","0,[$/dmt nan,[9.0 mln dmt]","0,[$/dmt nan,[9.0 mln dmt]","0,[$/dmt nan,[9.0 mln dmt]"
43, , , , , ,"0,[$/dmt nan,[0.04 mln dmt]", , , , , , , , , , , ,"0,[$/dmt nan,[0.41 mln dmt]", , , , , , , , , 
44, , , , , , , , , , , , , , , , , , , , , , , , , , , 
45, , , , , , , , , , , , , , , , , , , , , , , , , , , 
46, , , , , , , , , , , , , , , , , , , , , , , , , , , 
47, , , , , , , , , , , , , , , , , , , , , , , , , , , 
