,,Day,Date,NAX,SAX,WA CIF VAT incl.,,Date,WA CIF VAT INCL.,USD: RMB,Australia (FOB WA),WA CIF RMB/t
HARD CODE VALUES,," 2,502 ",23-Jul-13,"2,469","2,245"," 2,547 ",,28/05/2013,430,6.1818,," 2,660.38 "
HARD CODE VALUES,," 2,501 ",24-Jul-13,"2,467","2,240"," 2,547 ",,29/05/2013,430,6.1856,," 2,661.95 "
HARD CODE VALUES,," 2,500 ",25-Jul-13,"2,467","2,240"," 2,550 ",,30/05/2013,429,6.182,," 2,653.23 "
HARD CODE VALUES,," 2,499 ",26-Jul-13,"2,467","2,240"," 2,548 ",,31/05/2013,428,6.1796,," 2,645.01 "
HARD CODE VALUES,," 2,496 ",29-Jul-13,"2,467","2,240"," 2,547 ",,03/06/2013,427,6.1806,," 2,638.19 "
HARD CODE VALUES,," 2,495 ",30-Jul-13,"2,467","2,240"," 2,550 ",,04/06/2013,427,6.1735,," 2,635.27 "
HARD CODE VALUES,," 2,494 ",31-Jul-13,"2,467","2,240"," 2,551 ",,05/06/2013,427,6.1757,," 2,636.17 "
HARD CODE VALUES,," 2,493 ",01-Aug-13,"2,467","2,240"," 2,550 ",,06/06/2013,426,6.1737,," 2,628.13 "
HARD CODE VALUES,," 2,492 ",02-Aug-13,"2,467","2,240"," 2,552 ",,07/06/2013,426,6.162,," 2,623.34 "
HARD CODE VALUES,," 2,489 ",05-Aug-13,"2,467","2,240"," 2,550 ",,13/06/2013,426,6.1612,," 2,623.01 "
HARD CODE VALUES,," 2,488 ",06-Aug-13,"2,467","2,240"," 2,549 ",,14/06/2013,422,6.1607,," 2,601.18 "
HARD CODE VALUES,," 2,487 ",07-Aug-13,"2,449","2,235"," 2,548 ",,17/06/2013,422,6.1598,," 2,600.82 "
HARD CODE VALUES,," 2,486 ",08-Aug-13,"2,443","2,235"," 2,547 ",,18/06/2013,422,6.1651,," 2,602.97 "
HARD CODE VALUES,," 2,485 ",09-Aug-13,"2,438","2,235"," 2,546 ",,19/06/2013,422,6.1677,," 2,604.02 "
HARD CODE VALUES,," 2,482 ",12-Aug-13,"2,438","2,235"," 2,546 ",,20/06/2013,422,6.1698,," 2,604.88 "
HARD CODE VALUES,," 2,481 ",13-Aug-13,"2,438","2,235"," 2,547 ",,21/06/2013,422,6.1766,," 2,607.64 "
HARD CODE VALUES,," 2,480 ",14-Aug-13,"2,438","2,235"," 2,548 ",,24/06/2013,421,6.1807,," 2,602.07 "
HARD CODE VALUES,," 2,479 ",15-Aug-13,"2,438","2,235"," 2,561 ",,25/06/2013,420,6.1767,," 2,593.22 "
HARD CODE VALUES,," 2,478 ",16-Aug-13,"2,438","2,235"," 2,557 ",,26/06/2013,420,6.1779,," 2,593.71 "
HARD CODE VALUES,," 2,475 ",19-Aug-13,"2,464","2,245"," 2,558 ",,27/06/2013,420,6.1797,," 2,594.44 "
HARD CODE VALUES,," 2,474 ",20-Aug-13,"2,464","2,245"," 2,558 ",,28/06/2013,418,6.1787,," 2,583.19 "
HARD CODE VALUES,," 2,473 ",21-Aug-13,"2,464","2,245"," 2,568 ",,01/07/2013,416,6.1805,," 2,569.45 "
HARD CODE VALUES,," 2,472 ",22-Aug-13,"2,464","2,250"," 2,569 ",,02/07/2013,416,6.1773,," 2,568.17 "
HARD CODE VALUES,," 2,471 ",23-Aug-13,"2,464","2,250"," 2,569 ",,03/07/2013,415,6.1803,," 2,565.75 "
HARD CODE VALUES,," 2,468 ",26-Aug-13,"2,466","2,250"," 2,568 ",,04/07/2013,418,6.1755,," 2,581.90 "
HARD CODE VALUES,," 2,467 ",27-Aug-13,"2,466","2,250"," 2,561 ",,05/07/2013,418,6.179,," 2,583.31 "
HARD CODE VALUES,," 2,466 ",28-Aug-13,"2,466","2,250"," 2,553 ",,08/07/2013,419,6.1807,," 2,587.61 "
HARD CODE VALUES,," 2,465 ",29-Aug-13,"2,440","2,250"," 2,532 ",,09/07/2013,418,6.173,," 2,577.29 "
HARD CODE VALUES,," 2,464 ",30-Aug-13,"2,440","2,250"," 2,533 ",,10/07/2013,418,6.1652,," 2,574.16 "
HARD CODE VALUES,," 2,461 ",02-Sep-13,"2,459","2,250"," 2,533 ",,11/07/2013,418,6.1599,," 2,572.03 "
HARD CODE VALUES,," 2,460 ",03-Sep-13,"2,459","2,275"," 2,515 ",,12/07/2013,418,6.1631,," 2,573.31 "
HARD CODE VALUES,," 2,459 ",04-Sep-13,"2,448","2,275"," 2,516 ",,15/07/2013,418,6.1663,," 2,574.60 "
HARD CODE VALUES,," 2,458 ",05-Sep-13,"2,448","2,275"," 2,515 ",,16/07/2013,418,6.1692,," 2,575.76 "
HARD CODE VALUES,," 2,457 ",06-Sep-13,"2,448","2,240"," 2,516 ",,17/07/2013,418,6.1652,," 2,574.16 "
HARD CODE VALUES,," 2,454 ",09-Sep-13,"2,448","2,275"," 2,512 ",,18/07/2013,418,6.172,," 2,576.89 "
HARD CODE VALUES,," 2,453 ",10-Sep-13,"2,451","2,275"," 2,511 ",,19/07/2013,413,6.1751,," 2,549.23 "
HARD CODE VALUES,," 2,452 ",11-Sep-13,"2,451","2,275"," 2,511 ",,22/07/2013,413,6.1721,," 2,548.04 "
HARD CODE VALUES,," 2,451 ",12-Sep-13,"2,451","2,275"," 2,510 ",,23/07/2013,413,6.1702,," 2,547.29 "
HARD CODE VALUES,," 2,450 ",13-Sep-13,"2,451","2,275"," 2,517 ",,24/07/2013,413,6.1695,," 2,547.01 "
HARD CODE VALUES,," 2,447 ",16-Sep-13,"2,451","2,275"," 2,516 ",,25/07/2013,413,6.1759,," 2,549.55 "
HARD CODE VALUES,," 2,446 ",17-Sep-13,"2,451","2,275"," 2,520 ",,26/07/2013,413,6.172,," 2,548.00 "
HARD CODE VALUES,," 2,445 ",18-Sep-13,"2,451","2,275"," 2,527 ",,29/07/2013,413,6.1705,," 2,547.41 "
HARD CODE VALUES,," 2,440 ",23-Sep-13,"2,452","2,265"," 2,531 ",,30/07/2013,413,6.177,," 2,549.98 "
HARD CODE VALUES,," 2,439 ",24-Sep-13,"2,452","2,265"," 2,531 ",,31/07/2013,413,6.1788,," 2,550.70 "
HARD CODE VALUES,," 2,438 ",25-Sep-13,"2,452","2,265"," 2,536 ",,01/08/2013,413,6.1778,," 2,550.30 "
HARD CODE VALUES,," 2,437 ",26-Sep-13,"2,452","2,265"," 2,538 ",,02/08/2013,413,6.1817,," 2,551.85 "
HARD CODE VALUES,," 2,436 ",27-Sep-13,"2,460","2,275"," 2,543 ",,05/08/2013,413,6.1767,," 2,549.86 "
HARD CODE VALUES,," 2,433 ",30-Sep-13,"2,460","2,275"," 2,542 ",,06/08/2013,413,6.1753,," 2,549.31 "
HARD CODE VALUES,," 2,425 ",08-Oct-13,"2,462","2,275"," 2,543 ",,07/08/2013,413,6.1726,," 2,548.24 "
HARD CODE VALUES,," 2,424 ",09-Oct-13,"2,469","2,275"," 2,551 ",,08/08/2013,413,6.1703,," 2,547.33 "
HARD CODE VALUES,," 2,423 ",10-Oct-13,"2,469","2,275"," 2,552 ",,09/08/2013,413,6.1668,," 2,545.94 "
HARD CODE VALUES,," 2,422 ",11-Oct-13,"2,465","2,275",#N/A,,12/08/2013,413,6.1665,," 2,545.82 "
HARD CODE VALUES,," 2,419 ",14-Oct-13,"2,465","2,290"," 2,556 ",,13/08/2013,413,6.1705,," 2,547.41 "
HARD CODE VALUES,," 2,418 ",15-Oct-13,"2,465","2,290"," 2,564 ",,14/08/2013,413,6.172,," 2,548.00 "
HARD CODE VALUES,," 2,417 ",16-Oct-13,"2,467","2,300"," 2,565 ",,15/08/2013,415,6.1696,," 2,561.49 "
HARD CODE VALUES,," 2,416 ",17-Oct-13,"2,470","2,300"," 2,575 ",,16/08/2013,415,6.1666,," 2,556.68 "
HARD CODE VALUES,," 2,415 ",18-Oct-13,"2,470","2,300"," 2,580 ",,19/08/2013,415,6.169,," 2,557.64 "
HARD CODE VALUES,," 2,412 ",21-Oct-13,"2,473","2,300"," 2,588 ",,20/08/2013,415,6.1697,," 2,557.92 "
HARD CODE VALUES,," 2,411 ",22-Oct-13,"2,473","2,300"," 2,587 ",,21/08/2013,416,6.1675,," 2,567.86 "
HARD CODE VALUES,," 2,410 ",23-Oct-13,"2,473","2,300"," 2,586 ",,22/08/2013,416,6.1698,," 2,568.78 "
HARD CODE VALUES,," 2,409 ",24-Oct-13,"2,473","2,300"," 2,579 ",,23/08/2013,416,6.171,," 2,569.26 "
HARD CODE VALUES,," 2,408 ",25-Oct-13,"2,477","2,300"," 2,569 ",,26/08/2013,416,6.168,," 2,568.06 "
HARD CODE VALUES,," 2,405 ",28-Oct-13,"2,477","2,300"," 2,587 ",,27/08/2013,415,6.1688,," 2,561.17 "
HARD CODE VALUES,," 2,404 ",29-Oct-13,"2,477","2,300"," 2,588 ",,28/08/2013,414,6.1667,," 2,553.11 "
HARD CODE VALUES,," 2,403 ",30-Oct-13,"2,481","2,310"," 2,590 ",,29/08/2013,411,6.169,," 2,532.38 "
HARD CODE VALUES,," 2,402 ",31-Oct-13,"2,481","2,310"," 2,590 ",,30/08/2013,410,6.1709,," 2,533.12 "
HARD CODE VALUES,," 2,401 ",01-Nov-13,"2,481","2,310"," 2,591 ",,02/09/2013,410,6.1702,," 2,532.85 "
HARD CODE VALUES,," 2,398 ",04-Nov-13,"2,485","2,320"," 2,593 ",,03/09/2013,408,6.1718,," 2,515.43 "
HARD CODE VALUES,," 2,397 ",05-Nov-13,"2,480","2,325"," 2,591 ",,04/09/2013,408,6.1729,," 2,515.86 "
HARD CODE VALUES,," 2,396 ",06-Nov-13,"2,480","2,335"," 2,592 ",,05/09/2013,408,6.1696,," 2,514.57 "
HARD CODE VALUES,," 2,395 ",07-Nov-13,"2,480","2,335"," 2,591 ",,06/09/2013,408,6.1728,," 2,515.82 "
HARD CODE VALUES,," 2,394 ",08-Nov-13,"2,480","2,335"," 2,587 ",,09/09/2013,408,6.1642,," 2,512.45 "
HARD CODE VALUES,," 2,391 ",11-Nov-13,"2,482","2,335"," 2,600 ",,10/09/2013,408,6.1612,," 2,511.28 "
HARD CODE VALUES,," 2,390 ",12-Nov-13,"2,482","2,335"," 2,591 ",,11/09/2013,408,6.1601,," 2,510.85 "
HARD CODE VALUES,," 2,389 ",13-Nov-13,"2,482","2,335"," 2,601 ",,12/09/2013,408,6.1575,," 2,509.83 "
HARD CODE VALUES,," 2,388 ",14-Nov-13,"2,482","2,335"," 2,607 ",,13/09/2013,409,6.1578,," 2,517.15 "
HARD CODE VALUES,," 2,387 ",15-Nov-13,"2,482","2,335"," 2,609 ",,16/09/2013,409,6.1554,," 2,516.21 "
HARD CODE VALUES,," 2,384 ",18-Nov-13,"2,481","2,340"," 2,601 ",,17/09/2013,409,6.1571,," 2,520.48 "
HARD CODE VALUES,," 2,383 ",19-Nov-13,"2,481","2,340"," 2,604 ",,18/09/2013,411,6.1557,," 2,527.13 "
HARD CODE VALUES,," 2,382 ",20-Nov-13,"2,488","2,340"," 2,596 ",,23/09/2013,412,6.1475,," 2,531.09 "
HARD CODE VALUES,," 2,381 ",21-Nov-13,"2,488","2,340"," 2,595 ",,24/09/2013,412,6.1485,," 2,531.49 "
HARD CODE VALUES,," 2,380 ",22-Nov-13,"2,488","2,340"," 2,596 ",,25/09/2013,412,6.1497,," 2,535.56 "
HARD CODE VALUES,," 2,377 ",25-Nov-13,"2,488","2,340"," 2,601 ",,26/09/2013,413,6.1477,," 2,538.36 "
HARD CODE VALUES,," 2,376 ",26-Nov-13,"2,488","2,340"," 2,602 ",,27/09/2013,413,6.1495,," 2,542.67 "
HARD CODE VALUES,," 2,375 ",27-Nov-13,"2,478","2,350"," 2,601 ",,30/09/2013,413,6.148,," 2,542.08 "
HARD CODE VALUES,," 2,374 ",28-Nov-13,"2,478","2,350"," 2,605 ",,08/10/2013,414,6.1415,," 2,543.09 "
HARD CODE VALUES,," 2,373 ",29-Nov-13,"2,478","2,350"," 2,604 ",,09/10/2013,415,6.143,," 2,550.87 "
HARD CODE VALUES,," 2,370 ",02-Dec-13,"2,478","2,350"," 2,597 ",,10/10/2013,415,6.1452,," 2,551.75 "
HARD CODE VALUES,," 2,369 ",03-Dec-13,"2,480","2,350"," 2,609 ",,14/10/2013,416,6.1458,," 2,555.59 "
HARD CODE VALUES,," 2,368 ",04-Dec-13,"2,480","2,350"," 2,621 ",,15/10/2013,418,6.1406,," 2,564.28 "
HARD CODE VALUES,," 2,367 ",05-Dec-13,"2,480","2,350"," 2,621 ",,16/10/2013,418,6.1412,," 2,564.52 "
HARD CODE VALUES,," 2,366 ",06-Dec-13,"2,482","2,355"," 2,618 ",,17/10/2013,419,6.1408,," 2,575.14 "
HARD CODE VALUES,," 2,363 ",09-Dec-13,"2,481","2,355"," 2,614 ",,18/10/2013,420,6.1431,," 2,579.66 "
HARD CODE VALUES,," 2,362 ",10-Dec-13,"2,481","2,355"," 2,613 ",,21/10/2013,422,6.1372,," 2,588.05 "
HARD CODE VALUES,," 2,361 ",11-Dec-13,"2,481","2,355"," 2,613 ",,22/10/2013,422,6.1352,," 2,587.24 "
HARD CODE VALUES,," 2,360 ",12-Dec-13,"2,481","2,355"," 2,613 ",,23/10/2013,422,6.133,," 2,586.35 "
HARD CODE VALUES,," 2,359 ",13-Dec-13,"2,478","2,355"," 2,615 ",,24/10/2013,421,6.1335,," 2,579.38 "
HARD CODE VALUES,," 2,356 ",16-Dec-13,"2,478","2,355"," 2,621 ",,25/10/2013,419,6.1333,," 2,568.53 "
HARD CODE VALUES,," 2,355 ",17-Dec-13,"2,480","2,355"," 2,627 ",,28/10/2013,422,6.1336,," 2,586.59 "
HARD CODE VALUES,," 2,354 ",18-Dec-13,"2,480","2,355"," 2,645 ",,29/10/2013,422,6.1373,," 2,588.09 "
HARD CODE VALUES,," 2,353 ",19-Dec-13,"2,474","2,355"," 2,641 ",,30/10/2013,422,6.1412,," 2,589.67 "
HARD CODE VALUES,," 2,352 ",20-Dec-13,"2,474","2,355"," 2,642 ",,31/10/2013,422,6.1425,," 2,590.20 "
HARD CODE VALUES,," 2,349 ",23-Dec-13,"2,474","2,355"," 2,640 ",,01/11/2013,422,6.1452,," 2,591.29 "
HARD CODE VALUES,," 2,348 ",24-Dec-13,"2,476","2,355"," 2,647 ",,04/11/2013,422,6.1482,," 2,592.51 "
HARD CODE VALUES,," 2,347 ",25-Dec-13,"2,476","2,355"," 2,647 ",,05/11/2013,422,6.1447,," 2,591.09 "
HARD CODE VALUES,," 2,346 ",26-Dec-13,"2,470","2,355"," 2,647 ",,06/11/2013,422,6.1475,," 2,592.23 "
HARD CODE VALUES,," 2,345 ",27-Dec-13,"2,470","2,355"," 2,650 ",,07/11/2013,422,6.145,," 2,591.21 "
HARD CODE VALUES,," 2,342 ",30-Dec-13,"2,482","2,355"," 2,642 ",,08/11/2013,422,6.1355,," 2,587.36 "
HARD CODE VALUES,," 2,341 ",31-Dec-13,"2,482","2,365"," 2,650 ",,11/11/2013,423,6.139,," 2,599.56 "
HARD CODE VALUES,," 2,339 ",02-Jan-14,"2,482","2,365"," 2,651 ",,12/11/2013,422,6.136,," 2,591.15 "
HARD CODE VALUES,," 2,338 ",03-Jan-14,"2,486","2,365"," 2,660 ",,13/11/2013,424,6.1342,," 2,601.19 "
HARD CODE VALUES,," 2,335 ",06-Jan-14,"2,486","2,365"," 2,661 ",,14/11/2013,425,6.1315,," 2,607.26 "
HARD CODE VALUES,," 2,334 ",07-Jan-14,"2,486","2,365"," 2,660 ",,15/11/2013,425,6.1351,," 2,608.73 "
HARD CODE VALUES,," 2,333 ",08-Jan-14,"2,484","2,365"," 2,662 ",,18/11/2013,424,6.1332,," 2,600.78 "
HARD CODE VALUES,," 2,332 ",09-Jan-14,"2,484","2,365"," 2,663 ",,19/11/2013,425,6.1317,," 2,603.76 "
HARD CODE VALUES,," 2,331 ",10-Jan-14,"2,485","2,365"," 2,659 ",,20/11/2013,423,6.1305,," 2,596.09 "
HARD CODE VALUES,," 2,328 ",13-Jan-14,"2,485","2,365"," 2,674 ",,21/11/2013,423,6.1366,," 2,594.99 "
HARD CODE VALUES,," 2,327 ",14-Jan-14,"2,483","2,365"," 2,681 ",,22/11/2013,423,6.138,," 2,595.56 "
HARD CODE VALUES,," 2,326 ",15-Jan-14,"2,483","2,365"," 2,684 ",,25/11/2013,424,6.1342,," 2,601.19 "
HARD CODE VALUES,," 2,325 ",16-Jan-14,"2,483","2,365"," 2,686 ",,26/11/2013,424,6.1357,," 2,601.80 "
HARD CODE VALUES,," 2,324 ",17-Jan-14,"2,482","2,365"," 2,685 ",,27/11/2013,424,6.133,," 2,600.70 "
HARD CODE VALUES,," 2,321 ",20-Jan-14,"2,482","2,365"," 2,684 ",,28/11/2013,425,6.1343,," 2,604.82 "
HARD CODE VALUES,," 2,320 ",21-Jan-14,"2,482","2,365"," 2,679 ",,29/11/2013,425,6.1325,," 2,604.08 "
HARD CODE VALUES,," 2,319 ",22-Jan-14,"2,482","2,365"," 2,666 ",,02/12/2013,423,6.1329,," 2,597.07 "
HARD CODE VALUES,," 2,318 ",23-Jan-14,"2,487","2,365"," 2,667 ",,03/12/2013,425,6.1352,," 2,608.78 "
HARD CODE VALUES,," 2,317 ",24-Jan-14,"2,487","2,365"," 2,664 ",,04/12/2013,428,6.13,," 2,620.99 "
HARD CODE VALUES,," 2,314 ",27-Jan-14,"2,498","2,365"," 2,660 ",,05/12/2013,428,6.131,," 2,621.40 "
HARD CODE VALUES,," 2,313 ",28-Jan-14,"2,498","2,365"," 2,668 ",,06/12/2013,428,6.1232,," 2,618.20 "
HARD CODE VALUES,," 2,312 ",29-Jan-14,"2,498","2,365"," 2,669 ",,09/12/2013,428,6.113,," 2,614.00 "
HARD CODE VALUES,," 2,311 ",30-Jan-14,"2,498","2,365"," 2,668 ",,10/12/2013,428,6.1114,," 2,613.34 "
HARD CODE VALUES,," 2,303 ",07-Feb-14,"2,498","2,365"," 2,662 ",,11/12/2013,428,6.11,," 2,612.77 "
HARD CODE VALUES,," 2,300 ",10-Feb-14,"2,498","2,365"," 2,651 ",,12/12/2013,428,6.1115,," 2,613.38 "
HARD CODE VALUES,," 2,299 ",11-Feb-14,"2,487","2,365"," 2,651 ",,13/12/2013,428,6.1148,," 2,614.74 "
HARD CODE VALUES,," 2,298 ",12-Feb-14,"2,488","2,365"," 2,651 ",,16/12/2013,429,6.1124,," 2,620.91 "
HARD CODE VALUES,," 2,297 ",13-Feb-14,"2,488","2,365"," 2,650 ",,17/12/2013,430,6.1108,," 2,627.40 "
HARD CODE VALUES,," 2,296 ",14-Feb-14,"2,488","2,365"," 2,653 ",,18/12/2013,433,6.1105,," 2,645.15 "
HARD CODE VALUES,," 2,293 ",17-Feb-14,"2,488","2,365"," 2,632 ",,19/12/2013,432,6.1183,," 2,641.24 "
HARD CODE VALUES,," 2,292 ",18-Feb-14,"2,488","2,365"," 2,630 ",,20/12/2013,432,6.1196,," 2,641.78 "
HARD CODE VALUES,," 2,291 ",19-Feb-14,"2,488","2,345"," 2,631 ",,23/12/2013,432,6.1161,," 2,640.32 "
HARD CODE VALUES,," 2,290 ",20-Feb-14,"2,483","2,345"," 2,625 ",,24/12/2013,433,6.1145,," 2,646.81 "
HARD CODE VALUES,," 2,289 ",21-Feb-14,"2,483","2,340"," 2,623 ",,25/12/2013,433,6.116,," 2,647.44 "
HARD CODE VALUES,," 2,286 ",24-Feb-14,"2,493","2,340"," 2,616 ",,26/12/2013,433,6.1156,," 2,647.27 "
HARD CODE VALUES,," 2,285 ",25-Feb-14,"2,493","2,340"," 2,623 ",,27/12/2013,434,6.105,," 2,650.00 "
HARD CODE VALUES,," 2,284 ",26-Feb-14,"2,485","2,330"," 2,591 ",,30/12/2013,433,6.1024,," 2,641.77 "
HARD CODE VALUES,," 2,283 ",27-Feb-14,"2,485","2,330"," 2,578 ",,31/12/2013,435,6.0969,," 2,650.18 "
HARD CODE VALUES,," 2,282 ",28-Feb-14,"2,485","2,325"," 2,578 ",,02/01/2014,435,6.099,," 2,651.06 "
HARD CODE VALUES,," 2,279 ",03-Mar-14,"2,492","2,330"," 2,563 ",,03/01/2014,436,6.1039,," 2,660.25 "
HARD CODE VALUES,," 2,278 ",04-Mar-14,"2,492","2,330"," 2,572 ",,06/01/2014,436,6.1059,," 2,661.09 "
HARD CODE VALUES,," 2,277 ",05-Mar-14,"2,490","2,330"," 2,573 ",,07/01/2014,436,6.1042,," 2,660.38 "
HARD CODE VALUES,," 2,276 ",06-Mar-14,"2,490","2,330"," 2,572 ",,08/01/2014,436,6.1079,," 2,661.93 "
HARD CODE VALUES,," 2,275 ",07-Mar-14,"2,490","2,330"," 2,585 ",,09/01/2014,436,6.1109,," 2,663.19 "
HARD CODE VALUES,," 2,272 ",10-Mar-14,"2,490","2,330"," 2,589 ",,10/01/2014,436,6.1008,," 2,658.95 "
HARD CODE VALUES,," 2,271 ",11-Mar-14,"2,490","2,330"," 2,590 ",,13/01/2014,439,6.095,," 2,674.35 "
HARD CODE VALUES,," 2,270 ",12-Mar-14,"2,490","2,330"," 2,590 ",,14/01/2014,440,6.093,," 2,680.63 "
HARD CODE VALUES,," 2,269 ",13-Mar-14,"2,490","2,330"," 2,590 ",,15/01/2014,440,6.1005,," 2,683.81 "
HARD CODE VALUES,," 2,268 ",14-Mar-14,"2,490","2,330"," 2,598 ",,16/01/2014,440,6.1065,," 2,686.35 "
HARD CODE VALUES,," 2,265 ",17-Mar-14,"2,490","2,300"," 2,597 ",,17/01/2014,440,6.1041,," 2,685.33 "
HARD CODE VALUES,," 2,264 ",18-Mar-14,"2,473","2,275"," 2,580 ",,20/01/2014,439,6.1083,," 2,683.54 "
HARD CODE VALUES,," 2,263 ",19-Mar-14,"2,473","2,275"," 2,580 ",,21/01/2014,439,6.1066,," 2,679.24 "
HARD CODE VALUES,," 2,262 ",20-Mar-14,"2,473","2,265"," 2,584 ",,22/01/2014,436,6.1087,," 2,665.84 "
HARD CODE VALUES,," 2,261 ",21-Mar-14,"2,473","2,265"," 2,578 ",,23/01/2014,436,6.1107,," 2,666.68 "
HARD CODE VALUES,," 2,258 ",24-Mar-14,"2,473","2,240"," 2,577 ",,24/01/2014,436,6.1035,," 2,663.65 "
HARD CODE VALUES,," 2,257 ",25-Mar-14,"2,473","2,240"," 2,576 ",,27/01/2014,436,6.1022,," 2,659.54 "
HARD CODE VALUES,," 2,256 ",26-Mar-14,"2,473","2,240"," 2,576 ",,28/01/2014,437,6.1053,," 2,667.98 "
HARD CODE VALUES,," 2,255 ",27-Mar-14,"2,473","2,240"," 2,577 ",,29/01/2014,437,6.1073,," 2,668.82 "
HARD CODE VALUES,," 2,254 ",28-Mar-14,"2,473","2,240"," 2,578 ",,30/01/2014,437,6.105,," 2,667.85 "
HARD CODE VALUES,," 2,251 ",31-Mar-14,"2,462","2,240"," 2,583 ",,07/02/2014,436,6.1089,," 2,662.35 "
HARD CODE VALUES,," 2,250 ",01-Apr-14,"2,438","2,210"," 2,583 ",,10/02/2014,434,6.1083,," 2,651.38 "
HARD CODE VALUES,," 2,249 ",02-Apr-14,"2,438","2,210"," 2,582 ",,11/02/2014,434,6.1069,," 2,650.79 "
HARD CODE VALUES,," 2,248 ",03-Apr-14,"2,438","2,210"," 2,576 ",,12/02/2014,434,6.1078,," 2,651.17 "
HARD CODE VALUES,," 2,247 ",04-Apr-14,"2,430","2,205"," 2,578 ",,13/02/2014,434,6.11,," 2,650.30 "
HARD CODE VALUES,," 2,243 ",08-Apr-14,"2,430","2,205"," 2,587 ",,14/02/2014,434,6.107,," 2,652.62 "
HARD CODE VALUES,," 2,242 ",09-Apr-14,"2,424","2,205"," 2,586 ",,17/02/2014,431,6.1053,," 2,632.26 "
HARD CODE VALUES,," 2,241 ",10-Apr-14,"2,424","2,205"," 2,586 ",,18/02/2014,431,6.1073,," 2,629.52 "
HARD CODE VALUES,," 2,240 ",11-Apr-14,"2,424","2,205"," 2,600 ",,19/02/2014,431,6.1103,," 2,630.76 "
HARD CODE VALUES,," 2,237 ",14-Apr-14,"2,424","2,205"," 2,602 ",,20/02/2014,429,6.1146,," 2,625.39 "
HARD CODE VALUES,," 2,236 ",15-Apr-14,"2,427","2,205"," 2,603 ",,21/02/2014,429,6.1176,," 2,623.05 "
HARD CODE VALUES,," 2,235 ",16-Apr-14,"2,427","2,205"," 2,604 ",,24/02/2014,428,6.1189,," 2,616.43 "
HARD CODE VALUES,," 2,234 ",17-Apr-14,"2,427","2,205"," 2,603 ",,25/02/2014,429,6.1184,," 2,623.38 "
HARD CODE VALUES,," 2,233 ",18-Apr-14,"2,427","2,205"," 2,604 ",,26/02/2014,424,6.1192,," 2,591.49 "
HARD CODE VALUES,," 2,230 ",21-Apr-14,"2,412","2,200"," 2,604 ",,27/02/2014,421,6.1224,," 2,578.47 "
HARD CODE VALUES,," 2,229 ",22-Apr-14,"2,412","2,200"," 2,605 ",,28/02/2014,421,6.1214,," 2,578.07 "
HARD CODE VALUES,," 2,228 ",23-Apr-14,"2,418","2,200"," 2,612 ",,03/03/2014,419,6.119,," 2,562.78 "
HARD CODE VALUES,," 2,227 ",24-Apr-14,"2,418","2,200"," 2,611 ",,04/03/2014,420,6.1236,," 2,571.79 "
HARD CODE VALUES,," 2,226 ",25-Apr-14,"2,418","2,200"," 2,611 ",,05/03/2014,420,6.1257,," 2,572.64 "
HARD CODE VALUES,," 2,223 ",28-Apr-14,"2,408","2,200"," 2,610 ",,06/03/2014,420,6.1249,," 2,572.32 "
HARD CODE VALUES,," 2,222 ",29-Apr-14,"2,408","2,200"," 2,610 ",,07/03/2014,422,6.1201,," 2,584.70 "
HARD CODE VALUES,," 2,221 ",30-Apr-14,"2,386","2,190"," 2,611 ",,10/03/2014,422,6.1312,," 2,589.21 "
HARD CODE VALUES,," 2,216 ",05-May-14,"2,386","2,190"," 2,610 ",,11/03/2014,422,6.1327,," 2,589.81 "
HARD CODE VALUES,," 2,215 ",06-May-14,"2,389","2,190"," 2,574 ",,12/03/2014,422,6.1343,," 2,590.46 "
HARD CODE VALUES,," 2,214 ",07-May-14,"2,389","2,190"," 2,573 ",,13/03/2014,422,6.132,," 2,589.53 "
HARD CODE VALUES,," 2,213 ",08-May-14,"2,383","2,195"," 2,578 ",,14/03/2014,423,6.1346,," 2,597.76 "
HARD CODE VALUES,," 2,212 ",09-May-14,"2,383","2,200"," 2,586 ",,17/03/2014,423,6.1321,," 2,596.75 "
HARD CODE VALUES,," 2,209 ",12-May-14,"2,383","2,200"," 2,587 ",,18/03/2014,421,6.1341,," 2,579.62 "
HARD CODE VALUES,," 2,208 ",13-May-14,"2,384","2,205"," 2,588 ",,19/03/2014,421,6.1351,," 2,580.02 "
HARD CODE VALUES,," 2,207 ",14-May-14,"2,384","2,205"," 2,589 ",,20/03/2014,421,6.146,," 2,584.43 "
HARD CODE VALUES,," 2,206 ",15-May-14,"2,384","2,205"," 2,552 ",,21/03/2014,419,6.1475,," 2,577.84 "
HARD CODE VALUES,," 2,205 ",16-May-14,"2,359","2,205"," 2,544 ",,24/03/2014,419,6.1452,," 2,576.92 "
HARD CODE VALUES,," 2,202 ",19-May-14,"2,359","2,205"," 2,545 ",,25/03/2014,419,6.1426,," 2,575.87 "
HARD CODE VALUES,," 2,201 ",20-May-14,"2,358","2,205"," 2,541 ",,26/03/2014,419,6.144,," 2,576.43 "
HARD CODE VALUES,," 2,200 ",21-May-14,"2,358","2,205"," 2,541 ",,27/03/2014,419,6.1465,," 2,577.44 "
HARD CODE VALUES,," 2,199 ",22-May-14,"2,358","2,205"," 2,528 ",,28/03/2014,419,6.149,," 2,578.45 "
