No,Ref .No.,Refiney Name,Province,Province category,Technology,Ownership,Owner,Bauxite,ref cell,ref cell row,column 1,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
,49.2,Nanshan Donghai L-B,Shandong,Other,L-B,Nanshan Group,Nanshan,Imported,0,-,General Imports,-,,,,975.0,1000.0,1500.0,1650.0,1675.0,1675.0,1750.0,1750.0,1847.9999999999998,1861.9999999999998,1868.9999999999998,1875.9999999999998,1889.9999999999998,1861.9999999999998,1868.9999999999998,1875.9999999999998,1882.9999999999998,1882.9999999999998,1889.9999999999998,1889.9999999999998,1861.9999999999998,1854.9999999999998,
,50,Bochuang,Shandong,Other,L-B,Chuangxin Group,Other,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,250.0,1000.0,1250.0,1125.0,250.0,0.0,1037.4,1335.0,2144.0,2160.0,3192.0,3204.0,3216.0,3228.0,3228.0,3779.9999999999995,3779.9999999999995,3723.9999999999995,3709.9999999999995,
,51,Nanhan,Shandong,Other,L-B,Private,Other,Imported,0,-,General Imports,-,,,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,52.1,Weiqiao - Binzhou L-B,Shandong,Other,L-B,Weiqiao,Weiqiao,Imported,0,-,General Imports,-,,,,7300.0,8800.0,13000.0,13500.0,7500.0,7500.0,9000.0,10000.0,10560.0,10108.0,10680.0,10720.0,10800.0,10640.0,10680.0,10720.0,10760.0,10760.0,10800.0,10800.0,10640.0,10600.0,
,52.2,Weiqiao - Binzhou H-B,Shandong,Other,H-B,Weiqiao,Weiqiao,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,2500.0,2500.0,4500.0,5000.0,5280.0,5320.0,5340.0,5360.0,5400.0,5320.0,5340.0,5360.0,5380.0,5380.0,5400.0,5400.0,5320.0,5300.0,
,53.1,Weiqiao-Wudi-Zhanhua L-B,Shandong,Other,L-B,Weiqiao,Weiqiao,Imported,0,-,General Imports,-,,,,0.0,0.0,750.0,2250.0,7500.0,11250.0,11250.0,15000.0,18480.0,19152.0,21360.0,22780.0,24300.0,23940.0,24030.0,24120.0,24210.0,24210.0,24300.0,24300.0,23940.0,23850.0,
,53.2,Weiqiao-Wudi-Zhanhua H-B,Shandong,Other,H-B,Weiqiao,Weiqiao,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,1750.0,4500.0,7500.0,5280.0,7447.999999999999,5340.0,5360.0,6750.0,6650.0,6675.0,6700.0,6725.0,6725.0,6750.0,6750.0,6650.0,6625.0,
,54,Aokaida,Shanxi,Shanxi,H-B,Aokaida,Other,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,55,Chalco Lvliang (Xing),Shanxi,Shanxi,H-B,Chalco,Chalco,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1742.0,2808.0,3112.2,3471.0,3350.0,3362.5,3362.5,3240.0,3240.0,3192.0,3180.0,
,56.1,Chalco Shanxi,Shanxi,Shanxi,"H-B (Lime), sinter",Chalco,Chalco,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1728.0,1915.1999999999998,2136.0,1340.0,1345.0,538.0,0.0,0.0,0.0,0.0,
,56.2,Chalco Shanxi import,Shanxi,Shanxi,L-B,Chalco,Chalco,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1330.0,2670.0,2680.0,2700.0,2660.0,2670.0,2680.0,2690.0,2690.0,2700.0,2700.0,2660.0,2650.0,
,57.1,SPIC Shanxi,Shanxi,Shanxi,H-B & Sinter,SPIC,SPIC,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2144.0,2152.0,2152.0,2160.0,2160.0,2128.0,2120.0,
,57.2,SPIC Shanxi import,Shanxi,Shanxi,L-B,SPIC,SPIC,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1463.0000000000002,5073.0,5092.0,5130.0,5054.0,5073.0,5092.0,4035.0,4035.0,4050.0,4050.0,3990.0,3975.0,
,58.1,Dongxu Tianyuan,Shanxi,Shanxi,H-B,Tianyuan Chemical,Other,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,58.2,Dongxu Tianyuan import,Shanxi,Shanxi,L-B,Tianyuan Chemical,Other,Imported,0,-,General Imports,-,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,801.0,804.0,810.0,798.0,801.0,804.0,0.0,0.0,0.0,0.0,0.0,0.0,
