refinery,province,category,technology,ownership,owner,bauxite,Factor X,Alumina Grade,A/S,open stock,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
Qingzhen Guanglv,Other,Guizhou,H-B,Guangdong Guang Al Group Co.Ltd,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qizheng Chemical,Guangxi,Guizhou,H-B,Qiya,Qiya,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qizheng Chemical,Guizhou,Guizhou,H-B,Qiya,Qiya,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qizheng Chemical,Henan,Guizhou,H-B,Qiya,Qiya,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qizheng Chemical,Shanxi,Guizhou,H-B,Qiya,Qiya,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qizheng Chemical,Other,Guizhou,H-B,Qiya,Qiya,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qizheng Chemical Added LT,Guangxi,Guizhou,L-B,Qiya,Qiya,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qizheng Chemical Added LT,Guizhou,Guizhou,L-B,Qiya,Qiya,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qizheng Chemical Added LT,Henan,Guizhou,L-B,Qiya,Qiya,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qizheng Chemical Added LT,Shanxi,Guizhou,L-B,Qiya,Qiya,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qizheng Chemical Added LT,Other,Guizhou,L-B,Qiya,Qiya,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPIC - Wuchuan,Guangxi,Guizhou,H-B,SPIC,SPIC,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPIC - Wuchuan,Guizhou,Guizhou,H-B,SPIC,SPIC,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPIC - Wuchuan,Henan,Guizhou,H-B,SPIC,SPIC,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPIC - Wuchuan,Shanxi,Guizhou,H-B,SPIC,SPIC,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPIC - Wuchuan,Other,Guizhou,H-B,SPIC,SPIC,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaisheng,Guangxi,Guizhou,H-B,Private,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaisheng,Guizhou,Guizhou,H-B,Private,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaisheng,Henan,Guizhou,H-B,Private,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaisheng,Shanxi,Guizhou,H-B,Private,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaisheng,Other,Guizhou,H-B,Private,Other,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huajin,Guangxi,Guizhou,H-B,"Chalco, Jinjiang",Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huajin,Guizhou,Guizhou,H-B,"Chalco, Jinjiang",Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huajin,Henan,Guizhou,H-B,"Chalco, Jinjiang",Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huajin,Shanxi,Guizhou,H-B,"Chalco, Jinjiang",Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huajin,Other,Guizhou,H-B,"Chalco, Jinjiang",Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalco Zhengzhou domestic,Guangxi,Henan,H-B,Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalco Zhengzhou domestic,Guizhou,Henan,H-B,Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalco Zhengzhou domestic,Henan,Henan,H-B,Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalco Zhengzhou domestic,Shanxi,Henan,H-B,Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalco Zhengzhou domestic,Other,Henan,H-B,Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalco Zhengzhou import,Guangxi,Henan,L-B,Chalco,Chalco,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalco Zhengzhou import,Guizhou,Henan,L-B,Chalco,Chalco,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalco Zhengzhou import,Henan,Henan,L-B,Chalco,Chalco,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalco Zhengzhou import,Shanxi,Henan,L-B,Chalco,Chalco,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalco Zhengzhou import,Other,Henan,L-B,Chalco,Chalco,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalco Zhongzhou Dom. Sinter,Guangxi,Henan,Sinter,Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalco Zhongzhou Dom. Sinter,Guizhou,Henan,Sinter,Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalco Zhongzhou Dom. Sinter,Henan,Henan,Sinter,Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalco Zhongzhou Dom. Sinter,Shanxi,Henan,Sinter,Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalco Zhongzhou Dom. Sinter,Other,Henan,Sinter,Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalco Zhongzhou Dom. Bayer,Guangxi,Henan,H-B-ODT-Sweet,Chalco,Chalco,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
