No,Ref .No.,Refiney Name,Province,Province category,Technology,Ownership,Owner,Bauxite,ref cell,ref cell row,column 1,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
56,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Jiaxian,,,0.8,,,,,,,10.639304446047182,10.852435746283689,12.447009630905624,12.551403890519508,12.654981919270398,12.758755957247278,6.418733637376458,10.870359695363996,10.946795937256917,8.261527579641225,9.00335111904624,9.760830381211237,9.827876636142607,8.47989912990346,7.1187361786940295,7.1967037394249385,7.281584516455288,7.348374010123132,5.922148749948234,5.9587218451885935,5.998274432217647,6.041595414553617,
57,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Lushan,,,0.8,,,,,,,76.8065051613736,78.3451273894223,89.85656104756045,90.61019661467033,91.35793970635484,92.1070978138145,46.337662461741246,78.47452267973755,79.02632572637808,59.641028593959845,64.9963479944972,70.46468806824372,70.94870359308851,61.21748085992963,51.39107070617381,51.953928540167176,52.56669377046427,53.0488557027728,42.75275238489064,43.01677825637416,43.30231346172505,43.61505319675723,
58,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Mianchi,,,0.8,,,,,,,35.65182534148251,36.36601863573099,41.709363204628254,42.05918362092344,42.40626888471752,42.754010966513725,21.508884505910057,36.42608097394879,36.68221534434349,27.684003199348197,30.169820143038912,32.708098701703044,32.93276765282999,28.41575633311536,23.854561186956627,24.115826937135672,24.40025856073299,24.624067116542925,19.844851131962532,19.967405910831662,20.09994483118256,20.245111472826814,
59,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Pingdingshan,,,1,,,,,,,21.338608880144914,21.766073427186164,24.964213740492315,25.173590987522836,25.381331169721765,25.589464475759886,12.873665500256777,21.802022406835338,21.95532595015364,16.56964575724602,18.057476324152063,19.576706626483045,19.711177241372773,17.007620356546813,14.277618222921154,14.433993039734851,14.604233275990742,14.73818892035719,11.877695252168,11.951047695349589,12.03037592484907,12.117262196696885,
60,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Ruzhou,,,0.5,,,,,,,19.084902476017206,19.46721976942934,22.327584113089053,22.514847695392795,22.700647113709405,22.88679813555248,11.513995685533144,19.499371948353957,19.636484127966565,14.81961992533812,16.150311229055685,17.509085942133424,17.62935425884869,15.211337237444909,12.769668018415166,12.909527094766265,13.061787175293864,13.181594910803017,10.623216199365446,10.688821423790401,10.759771293676314,10.83748095291578,
61,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Sanmenxia,,,0.8,,,,,,,21.853592920503857,22.29137385793316,25.56669779784928,25.78112813626175,25.993881901069297,26.20703827733092,13.184357369196771,22.32819042697818,22.485193784027675,16.96953607658745,18.493273810685995,20.049169078560173,20.186884995004203,17.418080714918876,14.62219295881146,14.782341711190753,14.956690509780351,15.093879027449468,12.164350465985862,12.239473190340517,12.320715920094985,12.409699097302434,
62,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Shaan,,,0.8,,,,,,,67.92571089268118,69.28642908205725,79.46684691229339,80.13334295377311,80.7946278405291,81.45716413108543,40.97984483483288,69.40086297098846,69.88886348783339,52.745001964401304,57.48110962318075,62.31716987786566,62.74522084228722,54.139176072823396,45.44894998045593,45.94672706880523,46.48864098339874,46.91505267793731,37.80944195105638,38.0429396863966,38.29545972708322,38.572038758791756,
63,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Xin'an,,,0.85,,,,,,,194.90067097640733,198.80500829778197,228.01589530738696,229.9282864179158,231.8257250525873,233.72675436650448,117.58433073209937,199.1333558622317,200.5335860095493,151.3423435458131,164.9317568678322,178.8079662756307,180.036181911234,155.3426766393999,130.40762812713479,131.8359103967049,133.39083539016724,134.61434743421574,108.48742705316923,109.15740701644384,109.88196808055355,110.67556211364607,
64,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Xingyang,,,1,,,,,,,194.39083582229523,198.28495989807158,227.41943497432771,229.32682351502615,231.21929869362597,233.1153551587152,117.27674520620229,198.61244854741196,200.00901587228074,150.94645138875268,164.50031654872282,178.34022757270108,179.56523035375278,154.93632012411513,130.0664985001791,131.49104456654698,133.04190207568664,134.26221356917566,108.20363786037791,108.87186524201122,109.59453094732136,110.3860490402227,
65,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Xinmi,,,0.8,,,,,,,451.62328084156513,460.6704001857814,528.357784541513,532.7891717874493,537.1859111988267,541.5909709219469,272.4660769752742,461.43124622889775,464.6758555465403,350.6900483204858,382.17939824655787,414.33331124746866,417.17932902746503,359.95960879523363,302.18018525278757,305.48979686838425,309.09286464384104,311.92798327485514,251.38675762559654,252.93923329228534,254.61818413069932,256.4570979686354,
