No,Ref .No.,Refiney Name,Province,Province category,Technology,Ownership,Owner,Bauxite,ref cell,ref cell row,column 1,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
67,23.1,Chalco Zhengzhou domestic,Henan,Henan,Henan,Yuzhou,,,0.8,,,,,,,1.1232485738951141,1.0581598584733898,0.0,0.0,11.063513261979496,10.870546652998339,24.635350715717582,35.28043208863356,38.21876615947974,9.521115671342793,4.143584035062453,0.0,6.70325461330879,62.138129992931724,114.12729639837497,42.33001721630977,21.42839587370676,0.0,0.0,0.0,0.0,0.0,
68,24.1,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Henan,Baofeng,,,0.5,,,,,,,0.18934933725634537,0.17624088664401713,0.0,0.0,1.3496776974354514,1.1935233073036087,5.409638760843294,4.088787228562988,4.982987535220536,0.7356262164600778,0.2955176345211608,0.0,0.6658854756454509,7.201430857864711,15.871990369225843,5.886949457220289,2.9801047047345546,0.0,0.0,0.0,0.0,0.0,
69,24.1,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Henan,Dengfeng,,,0.3,,,,,,,0.7023324651496885,0.6537107452839068,0.0,0.0,5.006209570800225,4.427003435968255,20.065372192608788,15.166084314419598,18.482842190694427,2.72857661675196,1.0961307377984826,0.0,2.4698950331381213,26.711467598969193,58.87221093231966,21.835807742509488,11.053771373103993,0.0,0.0,0.0,0.0,0.0,
70,24.1,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Henan,Gongyi,,,0.85,,,,,,,4.75007236058134,4.421229968810152,0.0,0.0,33.858405945206755,29.9410716503182,135.7077660315397,102.57250162117575,125.00466971335653,18.454132500054175,7.413441040477173,0.0,16.704596060422805,180.65718195923813,398.1693511723467,147.68172051758435,74.759770457679,0.0,0.0,0.0,0.0,0.0,
71,24.1,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Henan,Jiaxian,,,0.8,,,,,,,0.08045930497187588,0.07488919397593286,0.0,0.0,0.57351206529274,0.5071581298611855,2.2986918314750273,1.7374287301712539,2.1173969741683343,0.31258611703160377,0.12557288990304413,0.0,0.28295151880445535,3.0600694463608287,6.74440867938883,2.5015131745153933,1.2663215871822353,0.0,0.0,0.0,0.0,0.0,
72,24.1,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Henan,Jiyuan,,,1,,,,,,,0.18586985165737582,0.17300228208424892,0.0,0.0,1.3248760045458734,1.1715911092828932,5.310231176762346,4.013651627429223,4.891420098968188,0.7221083406465911,0.29008719907070096,0.0,0.6536491564872031,7.06909728160301,15.580326491670576,5.778770806293571,2.9253422664086823,0.0,0.0,0.0,0.0,0.0,
73,24.1,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Henan,Lushan,,,0.8,,,,,,,0.13468894041086404,0.12536457018076194,0.0,0.0,0.9600596526918329,0.848983112091701,3.8480119511435236,2.9084570738953937,3.544524216056667,0.5232694081169299,0.21020911740765158,0.0,0.47366106715361345,5.1225586830269885,11.290145484630298,4.18753504044145,2.119823342453642,0.0,0.0,0.0,0.0,0.0,
74,24.1,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Henan,Mianchi,,,0.8,,,,,,,1.312910123549712,1.222018770232338,0.0,0.0,9.358393000833635,8.275649947113454,37.50934435140237,28.35082616715746,34.55103078420641,5.100683850989514,2.0490596886802357,0.0,4.617115616919492,49.93326944965066,110.05318074300158,40.81892047367592,20.66344510510298,0.0,0.0,0.0,0.0,0.0,
75,24.1,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Henan,Qinyang,,,1,,,,,,,0.2604650706044572,0.24243335439288807,0.0,0.0,1.8565890002554282,1.6417862191090506,7.441388294272672,5.624451976467492,6.854495605787247,1.0119123583166538,0.40650800607878496,0.0,0.9159784234875253,9.906140808443686,21.83318490603871,8.097967113261545,4.099371001634434,0.0,0.0,0.0,0.0,0.0,
76,24.1,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Henan,Ruzhou,,,0.5,,,,,,,0.03765098995166394,0.03504445248267624,0.0,0.0,0.26837538573124403,0.23732501365731068,1.0756745050071048,0.8130310308332381,0.9908374454137037,0.14627489953462083,0.058761924647417044,0.0,0.1324073678617836,1.4319617105392357,3.156050919236068,1.1705848991680423,0.5925761025556854,0.0,0.0,0.0,0.0,0.0,
