No,Ref .No.,Refiney Name,Province,Province category,Technology,Ownership,Owner,Bauxite,ref cell,ref cell row,column 1,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
37,18,Qingzhen Guanglv,Guizhou,Guizhou,Guizhou,Qingzhen,,,0.6,,,,,,24559.494793548198,24559.494793548198,24559.494793548198,24190.143572366167,22720.320227377073,21305.76102299887,20368.287932757263,19421.22058428392,18359.12200076822,17157.224342881455,16076.23732508448,14717.55359034489,13351.671722813371,11918.409572848806,9510.893138415582,7066.515250865139,4707.435366674493,1280.9408807021318,1280.9408807021318,1280.9408807021318,1280.9408807021318,1280.9408807021318,1280.9408807021318,
38,18,Qingzhen Guanglv,Guizhou,Guizhou,Guizhou,Zhijin,,,0,,,,,,3668.586527468698,3668.586527468698,3668.586527468698,3613.414508446203,3393.858928556893,3182.558456657447,3042.522956023766,2901.054308381733,2742.402813834179,2562.8687642869595,2401.3958006452017,2198.441754307655,1994.4124833693836,1780.3182498401127,1420.6943068288165,1055.5641662582661,703.175456591577,191.34116955297554,191.34116955297554,191.34116955297554,191.34116955297554,191.34116955297554,191.34116955297554,
39,19.1,Qizheng Chemical,Guizhou,Guizhou,Guizhou,Fuquan,,,0.2,,,,,,2305.2364485048297,2305.2364485048297,2298.6606144196653,2270.56345407657,2164.6757755967174,1994.9506832615803,1920.6921472698566,1830.7188365190495,1678.9723945767598,1522.2054672129486,1382.3045053158423,1185.6158280800348,987.2542632400148,778.2298864072211,558.2248122736377,334.54351747264604,139.76973234005072,139.76973234005072,139.76973234005072,139.76973234005072,139.76973234005072,139.76973234005072,139.76973234005072,
40,19.1,Qizheng Chemical,Guizhou,Guizhou,Guizhou,Huangping,,,0.5,,,,,,6575.986861933834,6575.986861933834,6557.228439743198,6477.077634651737,6175.0192566594,5690.856350914839,5479.024216564915,5222.363642849907,4789.48717622761,4342.289121815969,3943.203428023483,3382.123388605954,2816.2712196682933,2220.001992375847,1592.4088975331974,954.3289049902598,398.71134440908247,398.71134440908247,398.71134440908247,398.71134440908247,398.71134440908247,398.71134440908247,398.71134440908247,
41,19.1,Qizheng Chemical,Guizhou,Guizhou,Guizhou,Kaili,,,0.7,,,,,,27219.84625956133,27219.84625956133,27142.199910987132,26810.433343021687,25560.12935321931,23556.04386222825,22679.211494569896,21616.82169603571,19825.025100600295,17973.94745336179,16322.020304251382,13999.553314443181,11657.333147720861,9189.2082811461,6591.4251781921,3950.2338767220763,1650.3776124587057,1650.3776124587057,1650.3776124587057,1650.3776124587057,1650.3776124587057,1650.3776124587057,1650.3776124587057,
42,20,SPIC - Wuchuan,Guizhou,Guizhou,Guizhou,Daozhen,,,1,,,,,,81979.2045514319,81979.2045514319,81979.2045514319,81979.2045514319,81979.2045514319,81979.2045514319,81979.2045514319,81979.2045514319,81979.2045514319,81979.2045514319,81979.2045514319,80773.97249961602,79313.4049915892,77769.48399401495,76145.67169149224,74507.30003539307,72950.4959907196,71133.65053694321,69090.58111744982,66805.07751739252,65054.480455269266,63846.90284100222,62635.38790584883,
43,20,SPIC - Wuchuan,Guizhou,Guizhou,Guizhou,Wuchuan,,,1,,,,,,39018.57028709252,39018.57028709252,39018.57028709252,39018.57028709252,39018.57028709252,39018.57028709252,39018.57028709252,39018.57028709252,39018.57028709252,39018.57028709252,39018.57028709252,38444.931743228255,37749.76452023777,37014.9246264965,36242.05991274732,35462.26557380884,34721.29390455811,33856.55372530346,32884.14068248236,31796.339412048084,30963.130613712157,30388.375683151233,29811.746757440105,
44,20,SPIC - Wuchuan,Guizhou,Guizhou,Guizhou,Zheng'an,,,1,,,,,,4362.894661475574,4362.894661475574,4362.894661475574,4362.894661475574,4362.894661475574,4362.894661475574,4362.894661475574,4362.894661475574,4362.894661475574,4362.894661475574,4362.894661475574,4298.752779232647,4221.022064249958,4138.85531580547,4052.436789733166,3965.2434217196537,3882.3910435752887,3785.699384094327,3676.9681916888253,3555.334766358169,3462.1688150840178,3397.9021031119864,3333.425848776504,
45,21,Kaisheng,Guizhou,Guizhou,Guizhou,Kaili,,,0.7,,,,,,847.8342750994161,685.3355431476957,555.0129353634417,555.0129353634417,555.0129353634417,555.0129353634417,555.0129353634417,555.0129353634417,555.0129353634417,555.0129353634417,555.0129353634417,555.0129353634417,555.0129353634417,555.0129353634417,555.0129353634417,555.0129353634417,555.0129353634417,555.0129353634417,555.0129353634417,555.0129353634417,555.0129353634417,555.0129353634417,555.0129353634417,
46,21,Kaisheng,Guizhou,Guizhou,Guizhou,Kaiyang,,,0,,,,,,135.03134540058372,109.1507894408041,88.39480259047663,88.39480259047663,88.39480259047663,88.39480259047663,88.39480259047663,88.39480259047663,88.39480259047663,88.39480259047663,88.39480259047663,88.39480259047663,88.39480259047663,88.39480259047663,88.39480259047663,88.39480259047663,88.39480259047663,88.39480259047663,88.39480259047663,88.39480259047663,88.39480259047663,88.39480259047663,88.39480259047663,
