No,Ref .No.,Refiney Name,Province,Province category,Technology,Ownership,Owner,Bauxite,ref cell,ref cell row,,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
76,24.1,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Henan,Ruzhou,,,0.5,,,,,,2.185213333,2.207865605,2.229613575,2.250663509,2.271119788,2.291069689,2.309578599,2.327595273,2.345136725,2.363262894,2.377627124,2.387089149,2.396915617,2.408935911,2.424020259,2.444208526,2.476873176,2.512569795,2.54067347,2.565785963,2.590140604,2.616986247,2.647104385,
77,24.1,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Henan,Sanmenxia,,,0.8,,,,,,2.185213333,2.207865605,2.229613575,2.250663509,2.271119788,2.291069689,2.309578599,2.327595273,2.345136725,2.363262894,2.377627124,2.387089149,2.396915617,2.408935911,2.424020259,2.444208526,2.476873176,2.512569795,2.54067347,2.565785963,2.590140604,2.616986247,2.647104385,
78,24.1,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Henan,Shaan,,,0.8,,,,,,2.185213333,2.207865605,2.229613575,2.250663509,2.271119788,2.291069689,2.309578599,2.327595273,2.345136725,2.363262894,2.377627124,2.387089149,2.396915617,2.408935911,2.424020259,2.444208526,2.476873176,2.512569795,2.54067347,2.565785963,2.590140604,2.616986247,2.647104385,
79,24.1,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Henan,Xin'an,,,0.85,,,,,,2.185213333,2.207865605,2.229613575,2.250663509,2.271119788,2.291069689,2.309578599,2.327595273,2.345136725,2.363262894,2.377627124,2.387089149,2.396915617,2.408935911,2.424020259,2.444208526,2.476873176,2.512569795,2.54067347,2.565785963,2.590140604,2.616986247,2.647104385,
80,24.1,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Henan,Xingyang,,,1,,,,,,2.185213333,2.207865605,2.229613575,2.250663509,2.271119788,2.291069689,2.309578599,2.327595273,2.345136725,2.363262894,2.377627124,2.387089149,2.396915617,2.408935911,2.424020259,2.444208526,2.476873176,2.512569795,2.54067347,2.565785963,2.590140604,2.616986247,2.647104385,
81,24.1,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Henan,Xinmi,,,0.8,,,,,,2.185213333,2.207865605,2.229613575,2.250663509,2.271119788,2.291069689,2.309578599,2.327595273,2.345136725,2.363262894,2.377627124,2.387089149,2.396915617,2.408935911,2.424020259,2.444208526,2.476873176,2.512569795,2.54067347,2.565785963,2.590140604,2.616986247,2.647104385,
82,24.1,Chalco Zhongzhou Dom. Sinter,Henan,Henan,Henan,Yanshi,,,0.8,,,,,,2.185213333,2.207865605,2.229613575,2.250663509,2.271119788,2.291069689,2.309578599,2.327595273,2.345136725,2.363262894,2.377627124,2.387089149,2.396915617,2.408935911,2.424020259,2.444208526,2.476873176,2.512569795,2.54067347,2.565785963,2.590140604,2.616986247,2.647104385,
83,24.2,Chalco Zhongzhou Dom. Bayer,Henan,Henan,Henan,Baofeng,,,0.5,,,,,,2.430187602,2.474000777,2.527955179,2.59324286,2.659896152,2.733297566,2.829074366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
84,24.2,Chalco Zhongzhou Dom. Bayer,Henan,Henan,Henan,Dengfeng,,,0.3,,,,,,2.430187602,2.474000777,2.527955179,2.59324286,2.659896152,2.733297566,2.829074366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
85,24.2,Chalco Zhongzhou Dom. Bayer,Henan,Henan,Henan,Gongyi,,,0.85,,,,,,2.430187602,2.474000777,2.527955179,2.59324286,2.659896152,2.733297566,2.829074366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
86,24.2,Chalco Zhongzhou Dom. Bayer,Henan,Henan,Henan,Jiaxian,,,0.8,,,,,,2.430187602,2.474000777,2.527955179,2.59324286,2.659896152,2.733297566,2.829074366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
87,24.2,Chalco Zhongzhou Dom. Bayer,Henan,Henan,Henan,Jiyuan,,,1,,,,,,2.430187602,2.474000777,2.527955179,2.59324286,2.659896152,2.733297566,2.829074366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
88,24.2,Chalco Zhongzhou Dom. Bayer,Henan,Henan,Henan,Lushan,,,0.8,,,,,,2.430187602,2.474000777,2.527955179,2.59324286,2.659896152,2.733297566,2.829074366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
89,24.2,Chalco Zhongzhou Dom. Bayer,Henan,Henan,Henan,Mianchi,,,0.8,,,,,,2.430187602,2.474000777,2.527955179,2.59324286,2.659896152,2.733297566,2.829074366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
90,24.2,Chalco Zhongzhou Dom. Bayer,Henan,Henan,Henan,Qinyang,,,1,,,,,,2.430187602,2.474000777,2.527955179,2.59324286,2.659896152,2.733297566,2.829074366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
91,24.2,Chalco Zhongzhou Dom. Bayer,Henan,Henan,Henan,Ruzhou,,,0.5,,,,,,2.430187602,2.474000777,2.527955179,2.59324286,2.659896152,2.733297566,2.829074366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
92,24.2,Chalco Zhongzhou Dom. Bayer,Henan,Henan,Henan,Sanmenxia,,,0.8,,,,,,2.430187602,2.474000777,2.527955179,2.59324286,2.659896152,2.733297566,2.829074366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
93,24.2,Chalco Zhongzhou Dom. Bayer,Henan,Henan,Henan,Shaan,,,0.8,,,,,,2.430187602,2.474000777,2.527955179,2.59324286,2.659896152,2.733297566,2.829074366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
94,24.2,Chalco Zhongzhou Dom. Bayer,Henan,Henan,Henan,Xingyang,,,1,,,,,,2.430187602,2.474000777,2.527955179,2.59324286,2.659896152,2.733297566,2.829074366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
95,24.2,Chalco Zhongzhou Dom. Bayer,Henan,Henan,Henan,Xinmi,,,0.8,,,,,,2.430187602,2.474000777,2.527955179,2.59324286,2.659896152,2.733297566,2.829074366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
96,24.2,Chalco Zhongzhou Dom. Bayer,Henan,Henan,Henan,Yanshi,,,0.8,,,,,,2.430187602,2.474000777,2.527955179,2.59324286,2.659896152,2.733297566,2.829074366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
97,25.1,Kaiman,Henan,Henan,Henan,Hubin,,,1,,,,,,2.100768506,2.137910517,2.172395613,2.208857427,2.248727406,2.288126175,2.325754014,2.364758958,2.408341761,2.455590207,2.508083185,2.562454306,2.616206615,2.676373076,2.756402792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
98,25.1,Kaiman,Henan,Henan,Henan,Mianchi,,,1,,,,,,2.100768506,2.137910517,2.172395613,2.208857427,2.248727406,2.288126175,2.325754014,2.364758958,2.408341761,2.455590207,2.508083185,2.562454306,2.616206615,2.676373076,2.756402792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
99,25.1,Kaiman,Henan,Henan,Henan,Ruzhou,,,0,,,,,,2.100768506,2.137910517,2.172395613,2.208857427,2.248727406,2.288126175,2.325754014,2.364758958,2.408341761,2.455590207,2.508083185,2.562454306,2.616206615,2.676373076,2.756402792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
100,25.1,Kaiman,Henan,Henan,Henan,Sanmenxia,,,1,,,,,,2.100768506,2.137910517,2.172395613,2.208857427,2.248727406,2.288126175,2.325754014,2.364758958,2.408341761,2.455590207,2.508083185,2.562454306,2.616206615,2.676373076,2.756402792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
101,25.1,Kaiman,Henan,Henan,Henan,Shaan,,,1,,,,,,2.100768506,2.137910517,2.172395613,2.208857427,2.248727406,2.288126175,2.325754014,2.364758958,2.408341761,2.455590207,2.508083185,2.562454306,2.616206615,2.676373076,2.756402792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
102,25.1,Kaiman,Henan,Henan,Henan,Xin'an,,,0,,,,,,2.100768506,2.137910517,2.172395613,2.208857427,2.248727406,2.288126175,2.325754014,2.364758958,2.408341761,2.455590207,2.508083185,2.562454306,2.616206615,2.676373076,2.756402792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
103,26.1,East Hope Mianchi,Henan,Henan,Henan,Mianchi,,,0.7,,,,,,2.065819027,2.10945663,2.148237325,2.184377372,2.222078621,2.26147603,2.302980138,2.347635174,2.398405993,2.455830939,2.50869966,2.562689347,2.630854374,2.715428783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
104,26.1,East Hope Mianchi,Henan,Henan,Henan,Ruzhou,,,0,,,,,,2.065819027,2.10945663,2.148237325,2.184377372,2.222078621,2.26147603,2.302980138,2.347635174,2.398405993,2.455830939,2.50869966,2.562689347,2.630854374,2.715428783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
105,26.1,East Hope Mianchi,Henan,Henan,Henan,Sanmenxia,,,1,,,,,,2.065819027,2.10945663,2.148237325,2.184377372,2.222078621,2.26147603,2.302980138,2.347635174,2.398405993,2.455830939,2.50869966,2.562689347,2.630854374,2.715428783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
106,26.1,East Hope Mianchi,Henan,Henan,Henan,Xin'an,,,0,,,,,,2.065819027,2.10945663,2.148237325,2.184377372,2.222078621,2.26147603,2.302980138,2.347635174,2.398405993,2.455830939,2.50869966,2.562689347,2.630854374,2.715428783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
107,26.1,East Hope Mianchi,Henan,Henan,Henan,Xinmi,,,0,,,,,,2.065819027,2.10945663,2.148237325,2.184377372,2.222078621,2.26147603,2.302980138,2.347635174,2.398405993,2.455830939,2.50869966,2.562689347,2.630854374,2.715428783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
108,27,Huiyuan Lushan,Henan,Henan,Henan,Baofeng,,,0.5,,,,,,2.41655685,2.499851027,2.614714062,2.745100876,2.923902563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
109,27,Huiyuan Lushan,Henan,Henan,Henan,Jiaxian,,,0.2,,,,,,2.41655685,2.499851027,2.614714062,2.745100876,2.923902563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
110,27,Huiyuan Lushan,Henan,Henan,Henan,Jiyuan,,,0,,,,,,2.41655685,2.499851027,2.614714062,2.745100876,2.923902563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
111,27,Huiyuan Lushan,Henan,Henan,Henan,Lushan,,,0,,,,,,2.41655685,2.499851027,2.614714062,2.745100876,2.923902563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
112,27,Huiyuan Lushan,Henan,Henan,Henan,Pingdingshan,,,0.8,,,,,,2.41655685,2.499851027,2.614714062,2.745100876,2.923902563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
113,27,Huiyuan Lushan,Henan,Henan,Henan,Ruzhou,,,0.8,,,,,,2.41655685,2.499851027,2.614714062,2.745100876,2.923902563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
114,27,Huiyuan Lushan,Henan,Henan,Henan,Yuzhou,,,0,,,,,,2.41655685,2.499851027,2.614714062,2.745100876,2.923902563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
115,28,Jingxin,Henan,Henan,Henan,Dengfeng,,,0,,,,,,2.284333275,2.322999287,2.362192013,2.399567472,2.435890342,2.471699968,2.507403177,2.543336372,2.579801701,2.617091417,2.657649039,2.679895456,2.679895456,2.679895456,2.679895456,2.679895456,2.679895456,2.679895456,2.679895456,2.679895456,2.679895456,2.679895456,2.679895456,
116,28,Jingxin,Henan,Henan,Henan,Gongyi,,,0.75,,,,,,2.284333275,2.322999287,2.362192013,2.399567472,2.435890342,2.471699968,2.507403177,2.543336372,2.579801701,2.617091417,2.657649039,2.679895456,2.679895456,2.679895456,2.679895456,2.679895456,2.679895456,2.679895456,2.679895456,2.679895456,2.679895456,2.679895456,2.679895456,
117,29,Shenhuo,Henan,Henan,Henan,Ruzhou,,,0.8,,,,,,1.847700811,1.8674337,1.883356594,1.895267244,1.907171204,1.922045559,1.937927048,1.946624284,1.946624284,1.946624284,1.946624284,1.946624284,1.946624284,1.946624284,1.946624284,1.946624284,1.946624284,1.946624284,1.946624284,1.946624284,1.946624284,1.946624284,1.946624284,
118,29,Shenhuo,Henan,Henan,Henan,Yuzhou,,,0,,,,,,1.847700811,1.8674337,1.883356594,1.895267244,1.907171204,1.922045559,1.937927048,1.946624284,1.946624284,1.946624284,1.946624284,1.946624284,1.946624284,1.946624284,1.946624284,1.946624284,1.946624284,1.946624284,1.946624284,1.946624284,1.946624284,1.946624284,1.946624284,
119,30.1,Wanji,Henan,Henan,Henan,Xin'an,,,1,,,,,,2.371880833,2.406673133,2.43390768,2.458504043,2.481961923,2.507229364,2.536811106,2.565180101,2.593606422,2.620973368,2.641228376,2.65226088,2.657386926,2.662314444,2.664747102,2.664747102,2.664747102,2.664747102,2.664747102,2.664747102,2.664747102,2.664747102,2.664747102,
120,30.1,Wanji,Henan,Henan,Henan,Yichuan,,,0.5,,,,,,2.371880833,2.406673133,2.43390768,2.458504043,2.481961923,2.507229364,2.536811106,2.565180101,2.593606422,2.620973368,2.641228376,2.65226088,2.657386926,2.662314444,2.664747102,2.664747102,2.664747102,2.664747102,2.664747102,2.664747102,2.664747102,2.664747102,2.664747102,
121,31,Weilai,Henan,Shanxi,Shanxi,Jiaokou,,,0,,,,,,2.333648596,2.382285881,2.440059168,2.501954059,2.557912051,2.61665867,2.689886711,2.773718841,2.875752859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
122,31,Weilai,Henan,Shanxi,Shanxi,Jincheng,,,0,,,,,,2.333648596,2.382285881,2.440059168,2.501954059,2.557912051,2.61665867,2.689886711,2.773718841,2.875752859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
123,32,Yifeng Gongyi (Yulian Xinya),Henan,Henan,Henan,Gongyi,,,0,,,,,,2.23936239,2.293017601,2.339036067,2.360321475,2.360321475,2.360321475,2.360321475,2.360321475,2.384823457,2.384823457,2.384823457,2.384823457,2.384823457,2.384823457,2.384823457,2.384823457,2.384823457,2.384823457,2.384823457,2.384823457,2.384823457,2.384823457,2.384823457,
124,32,Yifeng Gongyi (Yulian Xinya),Henan,Henan,Henan,Xin'an,,,0,,,,,,2.23936239,2.293017601,2.339036067,2.360321475,2.360321475,2.360321475,2.360321475,2.360321475,2.384823457,2.384823457,2.384823457,2.384823457,2.384823457,2.384823457,2.384823457,2.384823457,2.384823457,2.384823457,2.384823457,2.384823457,2.384823457,2.384823457,2.384823457,
125,33,Yima Yixiang,Henan,Henan,Henan,Mianchi,,,0.85,,,,,,2.058305612,2.106963692,2.151395554,2.193918668,2.22901455,2.26524818,2.312198389,2.362443753,2.414977694,2.461606171,2.518452298,2.591104831,2.665503471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
126,33,Yima Yixiang,Henan,Henan,Henan,Ruzhou,,,0,,,,,,2.058305612,2.106963692,2.151395554,2.193918668,2.22901455,2.26524818,2.312198389,2.362443753,2.414977694,2.461606171,2.518452298,2.591104831,2.665503471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
127,33,Yima Yixiang,Henan,Henan,Henan,Xinmi,,,0,,,,,,2.058305612,2.106963692,2.151395554,2.193918668,2.22901455,2.26524818,2.312198389,2.362443753,2.414977694,2.461606171,2.518452298,2.591104831,2.665503471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
128,34,Zhongmei,Henan,Henan,Henan,Baofeng,,,0,,,,,,2.145601006,2.176502774,2.206305981,2.236164595,2.2643815,2.291088971,2.316789017,2.341823475,2.367954892,2.389354511,2.406093045,2.421868481,2.434848982,2.441214659,2.441214659,2.441214659,2.441214659,2.441214659,2.441214659,2.441214659,2.441214659,2.441214659,2.441214659,
129,34,Zhongmei,Henan,Henan,Henan,Dengfeng,,,0.7,,,,,,2.145601006,2.176502774,2.206305981,2.236164595,2.2643815,2.291088971,2.316789017,2.341823475,2.367954892,2.389354511,2.406093045,2.421868481,2.434848982,2.441214659,2.441214659,2.441214659,2.441214659,2.441214659,2.441214659,2.441214659,2.441214659,2.441214659,2.441214659,
130,34,Zhongmei,Henan,Henan,Henan,Ruzhou,,,0,,,,,,2.145601006,2.176502774,2.206305981,2.236164595,2.2643815,2.291088971,2.316789017,2.341823475,2.367954892,2.389354511,2.406093045,2.421868481,2.434848982,2.441214659,2.441214659,2.441214659,2.441214659,2.441214659,2.441214659,2.441214659,2.441214659,2.441214659,2.441214659,
131,34,Zhongmei,Henan,Henan,Henan,Xinmi,,,0,,,,,,2.145601006,2.176502774,2.206305981,2.236164595,2.2643815,2.291088971,2.316789017,2.341823475,2.367954892,2.389354511,2.406093045,2.421868481,2.434848982,2.441214659,2.441214659,2.441214659,2.441214659,2.441214659,2.441214659,2.441214659,2.441214659,2.441214659,2.441214659,
132,34,Zhongmei,Henan,Henan,Henan,Yuzhou,,,0,,,,,,2.145601006,2.176502774,2.206305981,2.236164595,2.2643815,2.291088971,2.316789017,2.341823475,2.367954892,2.389354511,2.406093045,2.421868481,2.434848982,2.441214659,2.441214659,2.441214659,2.441214659,2.441214659,2.441214659,2.441214659,2.441214659,2.441214659,2.441214659,
133,35,Shaoxing,Henan,Henan,Henan,Mianchi,,,0.7,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
134,36,Zhongchao,Henan,Henan,Henan,Xin'an,,,0,,,,,,2.561476312,2.625786207,2.660458167,2.660458167,2.660458167,2.660458167,2.660458167,2.660458167,2.660458167,2.660458167,2.660458167,2.660458167,2.660458167,2.660458167,2.660458167,2.660458167,2.660458167,2.660458167,2.660458167,2.660458167,2.660458167,2.660458167,2.660458167,
135,37,Jialu Xianfeng,Hubei,Other,Hubei,Yicheng,,,0.5,,,,,,2.154029361,2.183228376,2.228974098,2.274541885,2.290842089,2.290842089,2.368954978,2.418783589,2.443523027,2.443523027,2.443523027,2.443523027,2.443523027,2.443523027,2.443523027,2.443523027,2.443523027,2.443523027,2.443523027,2.443523027,2.443523027,2.443523027,2.443523027,
136,38,Jinshi,Hubei,Other,Hubei,Yicheng,,,1,,,,,,2.026434097,2.026434097,2.026434097,2.186112681,2.22545838,2.269639432,2.316656255,2.360202394,2.381472704,2.381472704,2.381472704,2.381472704,2.381472704,2.381472704,2.381472704,2.381472704,2.381472704,2.381472704,2.381472704,2.381472704,2.381472704,2.381472704,2.381472704,
137,39,Huixiang,Hunan,Other,Hunan,Chenxi,,,0.5,,,,,,2.349873393,2.463640265,2.593253937,2.672393657,2.672393657,2.971147422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
138,40.2,Xinwang H-B,Inner Mongolia,Shanxi,Shanxi,Huairen,,,0,,,,,,2.105506696,2.105506696,2.105506696,2.105506696,2.105506696,2.105506696,2.105506696,2.105506696,2.46431383,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,
139,40.2,Xinwang H-B,Inner Mongolia,Shanxi,Shanxi,Loufan,,,0,,,,,,2.105506696,2.105506696,2.105506696,2.105506696,2.105506696,2.105506696,2.105506696,2.105506696,2.46431383,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,
140,40.2,Xinwang H-B,Inner Mongolia,Shanxi,Shanxi,Ningwu,,,0,,,,,,2.105506696,2.105506696,2.105506696,2.105506696,2.105506696,2.105506696,2.105506696,2.105506696,2.46431383,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,
141,40.2,Xinwang H-B,Inner Mongolia,Shanxi,Shanxi,Shenchi,,,0,,,,,,2.105506696,2.105506696,2.105506696,2.105506696,2.105506696,2.105506696,2.105506696,2.105506696,2.46431383,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,
142,40.2,Xinwang H-B,Inner Mongolia,Shanxi,Shanxi,Shuozhou,,,0,,,,,,2.105506696,2.105506696,2.105506696,2.105506696,2.105506696,2.105506696,2.105506696,2.105506696,2.46431383,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,
143,40.2,Xinwang H-B,Inner Mongolia,Shanxi,Shanxi,Wutai,,,0,,,,,,2.105506696,2.105506696,2.105506696,2.105506696,2.105506696,2.105506696,2.105506696,2.105506696,2.46431383,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,2.550416156,
144,46.2,Chalco Shandong sinter,Shandong,Shanxi,Shanxi,Yangquan,,,1,,,,,,1.936941839,1.944174478,1.954637449,1.970111145,1.987946272,2.007773759,2.037910137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
145,54,Aokaida,Shanxi,Shanxi,Shanxi,Lin,,,0,,,,,,2.023409329,2.023409329,2.12570164,2.179820086,2.238203831,2.286517351,2.330267281,2.3742819,2.419798795,2.462831313,2.52202879,2.589020322,2.650009236,2.686187504,2.686187504,2.686187504,2.686187504,2.686187504,2.686187504,2.686187504,2.686187504,2.686187504,2.686187504,
146,54,Aokaida,Shanxi,Shanxi,Shanxi,Xing,,,1,,,,,,2.023409329,2.023409329,2.12570164,2.179820086,2.238203831,2.286517351,2.330267281,2.3742819,2.419798795,2.462831313,2.52202879,2.589020322,2.650009236,2.686187504,2.686187504,2.686187504,2.686187504,2.686187504,2.686187504,2.686187504,2.686187504,2.686187504,2.686187504,
147,55,Chalco Lvliang (Xing),Shanxi,Shanxi,Shanxi,Xing,,,1,,,,,,2.029061441,2.029061441,2.029061441,2.029061441,2.029061441,2.029061441,2.212268851,2.312415126,2.428188966,2.555041535,2.66860346,2.769071524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
148,55,Chalco Lvliang (Xing),Shanxi,Shanxi,Shanxi,Yuanping,,,0.8,,,,,,2.029061441,2.029061441,2.029061441,2.029061441,2.029061441,2.029061441,2.212268851,2.312415126,2.428188966,2.555041535,2.66860346,2.769071524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
149,56.1,Chalco Shanxi,Shanxi,Shanxi,Shanxi,Gu,,,1,,,,,,2.198705901,2.220282967,2.241582403,2.268705193,2.303697187,2.342543163,2.383921014,2.425253487,2.469288984,2.522743764,2.575898368,2.619618083,2.668297138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
150,56.1,Chalco Shanxi,Shanxi,Shanxi,Shanxi,Jiaokou,,,0.8,,,,,,2.198705901,2.220282967,2.241582403,2.268705193,2.303697187,2.342543163,2.383921014,2.425253487,2.469288984,2.522743764,2.575898368,2.619618083,2.668297138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
151,56.1,Chalco Shanxi,Shanxi,Shanxi,Shanxi,Loufan,,,0.5,,,,,,2.198705901,2.220282967,2.241582403,2.268705193,2.303697187,2.342543163,2.383921014,2.425253487,2.469288984,2.522743764,2.575898368,2.619618083,2.668297138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
152,56.1,Chalco Shanxi,Shanxi,Shanxi,Shanxi,Ningwu,,,0,,,,,,2.198705901,2.220282967,2.241582403,2.268705193,2.303697187,2.342543163,2.383921014,2.425253487,2.469288984,2.522743764,2.575898368,2.619618083,2.668297138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
153,56.1,Chalco Shanxi,Shanxi,Shanxi,Shanxi,Pinglu,,,1,,,,,,2.198705901,2.220282967,2.241582403,2.268705193,2.303697187,2.342543163,2.383921014,2.425253487,2.469288984,2.522743764,2.575898368,2.619618083,2.668297138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
154,56.1,Chalco Shanxi,Shanxi,Shanxi,Shanxi,Qinyuan,,,1,,,,,,2.198705901,2.220282967,2.241582403,2.268705193,2.303697187,2.342543163,2.383921014,2.425253487,2.469288984,2.522743764,2.575898368,2.619618083,2.668297138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
155,56.1,Chalco Shanxi,Shanxi,Shanxi,Shanxi,Xia,,,1,,,,,,2.198705901,2.220282967,2.241582403,2.268705193,2.303697187,2.342543163,2.383921014,2.425253487,2.469288984,2.522743764,2.575898368,2.619618083,2.668297138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
156,56.1,Chalco Shanxi,Shanxi,Shanxi,Shanxi,Xiaoyi,,,1,,,,,,2.198705901,2.220282967,2.241582403,2.268705193,2.303697187,2.342543163,2.383921014,2.425253487,2.469288984,2.522743764,2.575898368,2.619618083,2.668297138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
