Ref. No.,Refinery,Ownership,Alumina Produced,Digestion Technology Code,,Bauxite 1 Aa Grade (Reacting),Bauxite 1 A/S ratio (Reacting),Bauxite 1 Moisture,Bauxite 1 Mining-Dressing (FAW) Cost,Bauxite 1 Transport distance,,Bauxite 2 Aa Grade (Reacting),Bauxite 2 A/S ratio (Reacting),Bauxite 2 Moisture,Bauxite 2 Transport distance,,Bauxite 3 Transport distance,Bauxite 3 Transport fee,Domestic Self Supply,Domestic Purchased,,Custom Multiplier BAR,Custom Multiplier Caustic,,For Check Bar,For Check Caustic
56.2,Dongxu Tianyuan import,Private,SGA,4,,,,,,,,,,,,,12.5,,0,0,,1,1,,0,0
57.1,East Hope Lingshi,Private,SGA,4,,0.633,5.2,0.05,240,42.5,,0.6,5,0.05,113.75,,12.5,,0,0,,1,1,,0,0
57.2,East Hope Lingshi import,Private,SGA,4,,,,,,,,,,,,,,,0,0,,1,1,,0,0
58,Huaqing,Private,SGA,4,,0.6,5,0.05,130,50,,0.6,5,0.05,113.75,,12.5,,0,0,,1,1,,0,0
59,Qiangjin Aluminium,Private,SGA,4,,0,0,0,160,20,,0.6,5,0.05,113.75,,12.5,,0,0,,1,1,,0,0
60,Senze,Private,SGA,4,,0.58,4.8,0.05,280,30,,0.6,5,0.05,50,,12.5,,0,0,,1,1,,0,0
61,Taixing,Private,SGA,4,,0.6,5,0.05,240,50,,0.58,4.8,0.05,100,,12.5,,0,0,,1,1,,0,0
62,Wusheng,Private,SGA,4,,0.56,4.5,0.05,114,137.5,,0.58,5,0.05,113.75,,12.5,,0,0,,1,1,,0,0
63,Xinfa - Jiaokou,Private,SGA,4,,0.655003888,4.5,0.05,240,50,,0.6,5,0.05,113.75,,12.5,,0,0,,1,1,,0,0
64,Xinfa - Xiaoyi,Private,SGA,4,,0.65,4.5,0.05,240,50,,0.58,4.9,0.05,50,,12.5,,0,0,,1,1,,0,0
65.1,Xingan Chemical,Private,SGA,4,,0.65,4.5,0.05,114,50,,0.6,4.65,0.05,50,,12.5,,0,0,,1,1,,0,0
65.2,Xingan Chemical import,Private,SGA,4,,0.65,4.5,0.05,114,50,,0.6,4.5,0.05,50,,12.5,,0,0,,1,1,,0,0
66,Yangquan Zhaofeng,Private,SGA,4,,0.6,5,0.05,240,50,,0.58,5,0.05,80,,12.5,,0,0,,1,1,,0,0
67,Gangyuan Jiaohua,Private,SGA,4,,0.670648871,5,0.05,114,232.5,,0.6,5,0.05,113.75,,12.5,,0,0,,1,1,,0,0
68.1,Chalco Xinghua,SOE,SGA,4,,0.59,4.5,0.05,240,60,,0.59,4.6,0.05,100,,12.5,,0,0,,1,1,,0,0
68.2,Chalco Xinghua import,SOE,SGA,4,,0.59,4.5,0.05,240,60,,0.64,4.5,0.05,100,,12.5,,0,0,,1,1,,0,0
69,Tiantong,Private,SGA,4,,0.668226403,6,0.05,114,232.5,,0.6,5,0.05,120,,12.5,,0,0,,1,1,,0,0
70,Fusheng,Private,SGA,4,,0.56,5,0.05,240,50,,0.58,5,0.05,113.75,,12.5,,0,0,,1,1,,0,0
71,YMG - Wenshan,SOE,SGA,4,,0.58,5.5,0.05,160,100,,0.62015196,11.42919813,0.05,113.75,,12.5,,0,0,,1,1,,0,0
