as,shanxi1,shanxi2,henan1,henan2,guizhou1,guizhou2,guangxi1,guangxi2,shandog l1,shandog l2,shanxi l1,shanxi l2,shanxi s1,shanxi s2,henan l1,henan l2,henan s1,henan s2,guangxi l1,guangxi l2,guangxi s1,guangxi s2,guizhou s1,guizhou s2
43938,370,460,320,450,350,400,340,380,1600,1700,1650,1750,1850,1950,1650,1750,1900,2000,2250,2350,2150,2300,2050,2200
43945,370,460,320,450,350,400,340,380,1550,1650,1650,1750,1750,1850,1650,1750,1800,1900,2250,2350,2050,2200,1950,2100
43952,370,460,320,450,320,370,340,380,1500,1600,1450,1550,1750,1850,1500,1600,1800,1900,2250,2350,2050,2200,1950,2100
43959,370,460,320,450,320,370,340,380,1450,1550,1450,1550,1800,1900,1500,1600,1850,1950,2150,2250,2100,2250,2000,2150
43966,340,430,280,410,300,350,340,380,1450,1550,1450,1550,1800,1900,1500,1600,1850,1950,2150,2250,2100,2250,2000,2150
43973,340,430,280,410,300,350,340,380,1450,1550,1450,1550,1850,1900,1500,1600,1900,1950,2150,2250,2100,2250,2000,2150
43980,340,430,280,410,300,350,340,380,1450,1550,1450,1550,1850,1900,1500,1600,1900,1950,2150,2250,2100,2250,2000,2150
43987,340,430,280,410,300,350,340,380,1450,1550,1580,1680,1900,2000,1500,1600,1950,2050,2250,2350,2150,2250,2050,2150
43994,340,430,280,410,300,350,340,380,1450,1550,1580,1680,1900,2000,1500,1600,1950,2050,2250,2350,2150,2250,2050,2150
44001,340,430,280,410,300,350,340,380,1450,1550,1580,1680,1850,1950,1500,1600,1900,2000,2250,2350,2100,2200,2000,2100
44008,340,430,280,410,300,350,340,380,1450,1550,1580,1680,1800,1900,1500,1600,1850,1950,2250,2350,2050,2150,1950,2050
44015,360,450,280,410,300,350,340,380,1450,1550,1580,1680,1800,1900,1500,1600,1850,1950,2250,2350,2050,2150,1950,2050
44022,360,450,280,410,300,350,340,380,1450,1550,1580,1680,1800,1900,1700,1800,1850,1950,2200,2300,2150,2250,2150,2250
44029,360,450,280,410,300,350,340,380,1450,1550,1580,1680,1800,1900,1700,1800,1850,1950,2200,2300,2050,2150,2050,2150
44036,360,450,280,410,300,350,340,380,1450,1550,1580,1680,1750,1850,1700,1800,1800,1900,2200,2300,2050,2150,2050,2150
44043,360,450,280,410,300,350,340,380,1430,1530,1540,1640,1750,1850,1700,1800,1800,1900,2200,2300,2050,2150,2050,2150
44050,360,450,280,410,300,350,340,380,1430,1530,1540,1640,1650,1750,1650,1750,1700,1800,2150,2250,1950,2050,1950,2050
44057,360,450,280,410,300,350,340,380,1430,1530,1540,1640,1650,1750,1650,1750,1700,1800,2150,2250,1950,2050,1950,2050
